Year;Nominal Return S&P 500 (includes dividends);Nominal Return US T. Bond (10-year);Nominal Value S&P 500 (includes dividends);Nominal Value US T. Bond (10-year);Nominal Historical Risk Premium;Inflation Rate (CPI for all urban consumers);Real Return S&P 500 (includes dividends);Real Return US T. Bond (10-year)
1928;0.43811155152887893;0.008354708589799302;143.8111551528879;100.83547085897993;;-0.0115607;0.45493157903462444;0.02014833747484457
1929;-0.0829794661190966;0.04203804156320426;131.8777822763307;105.074396573995;;0.005848;-0.08831102325510076;0.03597963267134219
1930;-0.25123636363636365;0.045409314348970366;98.74528781279727;109.84575287805193;;-0.0639535;-0.20007858972429649;0.11683480932728285
1931;-0.4383754889178619;-0.02558855961942253;55.457773989527276;107.03495828159154;;-0.0931677;-0.3806743417915991;0.07452220259531717
1932;-0.08642364532019696;0.08790306990477326;50.66491100000872;116.44365970167279;;-0.1027397;0.01818430468817467;0.21247208853971733
1933;0.49982225433526023;0.01855272089185736;75.9883610317284;118.60400641974435;;0.007633600000000001;0.4884599464877515;0.010836400147690162
1934;-0.011885656970912803;0.0796344261796561;75.0851894387234;128.04896841358894;;0.0151515;-0.02663361771214723;0.0635204953936983
1935;0.4674042105263158;0.04472047729656613;110.18032313054879;133.77537939837757;;0.029850699999999997;0.42487081916467706;0.014438769907682891
1936;0.3194341027550261;0.0501787540454506;145.3756757910145;140.4880612585456;;0.014492799999999998;0.30058498468892636;0.03517615309389144
1937;-0.3533672875436554;0.01379146059646038;94.00466756191786;142.42559681966594;;0.028571399999999997;-0.371329289871034;-0.014369385930368517
1938;0.29282654028436017;0.04213248532204607;121.53172913465568;148.42634118715418;;-0.0277778;0.3297644718299584;0.07190772368913834
1939;-0.010975646879756443;0.04412261394206067;120.19783979098749;154.97529933818757;;0.0;-0.010975646879756495;0.04412261394206074
1940;-0.10672873194221515;0.05402481596284551;107.36927676790187;163.34781136372007;;0.0071429;-0.1130640269044394;0.04654941812412661
1941;-0.1277145557655955;-0.020221975848580105;93.656657282616;160.0445958674045;;0.09929080000000001;-0.2065016424822217;-0.10871807154993018
