Year,EMBIBrasil
1995,1117.576
1996,690.2948207171315
1997,445.02
1998,800.432
1999,1034.2868525896415
2000,727.3359375
2001,889.7413127413128
2002,1364.3976833976833
2003,834.8875968992248
2004,540.2923076923076
2005,398.0346153846154
2006,235.42857142857142
2007,180.62790697674419
2008,299.9496124031008
2009,305.79457364341084
2010,203.43410852713177
2011,193.7992277992278
2012,183.996138996139
2013,204.7093023255814
2014,230.7015503875969
2015,345.95752895752895
2016,381.6833976833977
2017,268.12451361867704
2018,272.25291828793775
2019,241.4980694980695
2020,320.7490494296578
2021,301.11583011583014
2022,303.2213438735178
2023,228.42914979757086
