Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2013;485.721.995;147.200.279;109.272.438;140.942.086;24.819.862;8.536.716;3.906.356;1.467.715;1.729.678;11.248.314;36.598.551
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2013;387.713.654;105.416.338;118.696.046;25.966.357;18.974.850;9.950.216;3.604.581;3.191.040;2.606.658;13.804.730;85.502.838
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2013;383.530.305;40.533.924;184.062.465;54.506.041;70.778.848;13.562.242;4.671.932;1.748.198;1.255.585;12.411.068;0
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2013;325.730.877;37.823.191;108.732.027;41.578.850;54.458.075;7.298.334;2.713.550;2.155.878;1.750.259;10.620.165;58.600.548
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2013;251.653.948;90.957.773;119.900.501;31.915.374;7.769.266;217.370;628.994;19.379;55.153;190.139;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2013;210.750.261;34.261.510;103.006.975;18.405.279;13.821.366;5.187.776;2.290.629;3.613.405;1.554.641;9.006.924;19.601.756
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2013;62.758.816;6.007.672;32.608.194;9.379.134;6.367.050;1.705.851;1.145.232;577.472;506.982;2.465.910;1.995.318
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2013;58.487.798;22.478.838;18.220.549;4.824.400;1.968.793;742.091;369.855;423.092;462.772;2.220.929;6.776.478
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2013;48.465.374;27.032.647;9.297.291;2.790.222;1.234.673;369.057;259.627;208.288;174.635;928.905;6.170.028
BMG;30.290;b1;C;2;;199;BELO HORIZONTE;MG;03/2013;23.369.176;0;21.125.470;817.622;290.637;209.853;112.182;126.037;80.724;606.652;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2013;23.243.405;3.402.653;10.613.103;4.437.768;1.787.640;1.101.877;432.448;603.996;114.531;684.834;64.555
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2013;22.628.068;4.786.006;9.199.975;3.612.251;1.666.059;1.137.762;424.056;304.972;237.067;1.259.920;0
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2013;21.367.269;416.823;14.794.808;2.729.977;1.926.966;393.449;208.930;163.352;112.577;620.387;0
