Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Ativo Total;Carteira de Crédito Classificada;Passivo Circulante e Exigível a Longo Prazo e Resultados de Exercícios Futuros;Captações;Patrimônio Líquido;Lucro Líquido;Patrimônio de Referência para Comparação com o RWA;Índice de Basileia;Índice de Imobilização;Número de Agências;Número de Postos de Atendimento;
BB;49906;b1;;C;1;BRASILIA;DF;03/2013;1.058.982.450;512.030.518;996.554.070;824.648.697;62.428.380;2.619.662;113.665.253;16,63%;24,71%;5.396;1.588
ITAU;10069;b1;;C;2;SAO PAULO;SP;03/2013;964.877.602;371.130.237;881.793.673;680.197.557;83.083.929;3.028.999;120.186.700;18,90%;47,21%;3.957;886
BRADESCO;10045;b1;;C;2;OSASCO;SP;03/2013;773.624.165;297.555.439;703.996.290;590.716.613;69.627.875;2.923.442;96.394.618;15,58%;43,67%;4.716;1.399
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;03/2013;731.083.735;390.649.602;705.651.734;614.740.243;25.432.000;1.310.110;56.992.371;14,20%;12,06%;2.973;671
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;03/2013;678.175.230;251.775.796;631.376.219;433.320.231;46.799.011;1.585.237;84.288.009;15,06%;47,98%;4;0
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;03/2013;459.324.606;211.582.041;395.461.816;291.623.034;63.862.790;640.161;67.717.053;21,49%;33,65%;2.712;1.366
HSBC;51152;b1;;C;3;CURITIBA;PR;03/2013;141.878.467;57.941.320;131.796.908;92.633.213;10.081.559;259.209;12.342.383;12,96%;33,23%;870;406
SAFRA;10083;b1;;C;2;SAO PAULO;SP;03/2013;124.587.242;48.555.742;117.469.674;94.570.371;7.117.568;258.042;9.324.557;14,12%;23,26%;108;8
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;03/2013;121.919.333;56.528.503;114.248.561;85.666.306;7.670.772;-278.145;11.430.213;13,60%;2,50%;118;0
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;03/2013;103.617.794;12.241.427;93.066.692;70.911.054;10.551.102;482.606;15.023.150;18,29%;34,71%;10;0
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;03/2013;62.529.797;22.642.981;54.766.991;26.111.552;7.762.806;214.677;7.692.266;14,21%;14,71%;135;17
BANRISUL;30173;b1;;C;1;PORTO ALEGRE;RS;03/2013;47.945.858;24.776.308;43.165.898;32.294.842;4.779.960;204.695;6.306.247;19,96%;8,44%;480;226
JP MORGAN CHASE;20107;b1;;C;3;SAO PAULO;SP;03/2013;46.941.303;1.314.372;43.461.730;25.857.084;3.479.573;-20.001;3.477.852;19,45%;2,19%;8;1
CREDIT SUISSE;30771;b1;;C;3;SAO PAULO;SP;03/2013;39.062.348;4.560.050;35.554.687;26.309.279;3.507.661;87.405;4.511.870;18,13%;27,36%;10;0
BANCO DO NORDESTE DO BRASIL S.A.;7237373;b1;;I;1;FORTALEZA;CE;03/2013;32.388.390;11.649.075;29.900.650;15.555.752;2.487.741;-22.184;4.933.747;16,66%;4,52%;208;5
