Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
BB;49.906;b1;C;1;;199;BRASILIA;DF;03/2014;353.258.940;1.087.339;11.164.977;24.724.734;26.777.430;8.762.856;2.284.369;1;74.801.706;100.562;1.794.324;4.636.644;4.821.670;8.906.791;22.832.501;3.942.728;47.035.220;161.899;3.145.168;1.148.021;620.041;0;0;0;5.075.130;561.801;12.292.566;3.461.083;957.818;7.418;718;409.309;17.690.714;90.487;4.443.187;8.154.007;316.834;42.190;281;0;13.046.986;536.233;2.969.087;1.732.144;2.537.407;1.012.156;5.075.908;52.068;13.915.003;409.736;6.399.155;15.602.458;31.205.469;10.875.629;14.808.015;5.726.839;85.027.301;69.350;7.910.398;14.360.598;14.492.833;3.602.022;6.078.316;127.082;46.640.601;9.599;115.246;881.593;2.163.134;433.101;13.183;0;3.615.856;46.410.423
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;;4;RIO DE JANEIRO;RJ;03/2014;285.195.303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.870;8.952.014;25.887.792;66.288.912;52.532.437;111.345.014;20.158.264;285.195.303;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;03/2014;274.234.251;835.194;10.398.365;15.574.235;11.936.323;1.899.937;514.650;7.911;41.166.615;97.510;1.186.152;4.710.896;4.400.122;1.125.390;435.753;0;11.955.825;932.451;9.814.532;631.603;310;0;0;0;11.378.896;124.677;10.981.305;2.008.544;53.004;1.598;0;0;13.169.129;34.473;2.645.143;3.728.210;3.332.638;741.208;514.652;0;10.996.324;569.202;2.433.010;2.499.308;2.606.261;472.397;119.107;0;8.699.285;73.330;3.470.804;8.687.314;18.780.068;6.660.028;5.103.075;317.563;43.092.181;4.558;1.753.435;3.973.928;818.342;260.569;233.195;0;7.044.028;4.698;667.955;3.036.777;4.711.370;564.211;1.014.598;879;10.000.487;116.731.482
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;03/2014;233.456.030;727.331;9.327.277;14.898.377;14.743.003;2.913.886;735.697;0;43.345.572;189.375;2.116.701;4.442.441;4.735.444;635.338;45.716;0;12.165.015;479.249;9.006.375;3.101.746;482;0;0;0;12.587.852;267.048;8.337.701;933.146;38.339;8.538;0;0;9.584.771;49.989;2.989.163;6.272.153;5.818.029;1.049.982;223.508;0;16.402.824;792.023;2.479.824;2.039.144;2.149.605;743.624;155.817;176;8.360.214;59.191;2.827.662;6.951.654;14.763.696;5.109.778;3.415.708;462.610;33.590.298;8.121;774.617;2.749.737;210.806;1.193.320;1.255.640;0;6.192.242;27.788;119.404;1.392.611;7.404.301;4.257.892;2.679.005;117.700;15.998.700;75.228.542
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;03/2014;143.127.046;2.246.534;7.180.066;18.570.257;28.423.427;4.343.650;696.889;0;61.460.821;415.967;251.477;660.697;1.455.528;906.226;119.825;7;3.809.727;727.881;1.283.358;3.810.525;26.973;37.664;0;0;5.886.402;75.173;1.412.720;99.086;0;0;0;0;1.586.979;2.506;307.920;303.635;759.184;5.882.852;3.550.080;0;10.806.177;229.180;1.192.435;415.910;30.334;9.434;6.389;0;1.883.682;248.079;2.212.320;4.532.145;9.331.572;6.541.960;20.137.002;7.618.183;50.621.261;0;0;0;0;0;0;0;0;18.496;2.283.052;2.194.589;1.877.086;353.177;334.538;11.060;7.071.998;0
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;03/2014;105.407.980;1.185.616;7.199.436;9.288.043;8.955.141;1.837.081;910.027;127.160;29.502.504;101.121;862.206;1.853.520;2.110.422;367.377;875.220;551.895;6.721.760;455.512;4.774.693;1.177.265;503.137;250.385;104.896;2.087;7.267.975;64.239;8.824.278;2.672.421;116.245;24.614;14.008;968;11.716.774;95.301;3.235.666;3.820.734;4.308.279;770.482;264.357;0;12.494.819;544.284;1.126.647;1.467.690;2.180.771;708.700;351.642;32.557;6.412.291;23.996;669.544;2.080.296;3.238.585;1.417.537;751.438;532;8.181.929;255;560.896;1.531.450;176.368;48.427;25.265;0;2.342.661;133.627;622.492;2.980.517;3.467.516;200.867;1.928.575;0;9.333.594;11.433.672
SAFRA;10.083;b1;C;2;;199;SAO PAULO;SP;03/2014;47.334.495;203.710;4.839.308;5.073.895;4.424.439;805.234;41.412;0;15.387.997;42.687;1.356.734;1.758.355;1.369.219;771.653;710.828;0;6.009.476;54.383;1.901.612;101.221;130;0;0;0;2.057.345;2.541;2.609.386;368.797;107.025;77;91.994;0;3.179.820;5.835;713.591;698.937;77.660;0;0;0;1.496.021;9.447;35.290;42.468;0;0;0;0;87.205;41.787;967.983;2.376.295;3.765.099;915.624;423.059;0;8.489.846;2.006;727.969;960.644;46.143;10.804;3.878;0;1.751.444;0;0;101.255;143.786;5.265;0;0;250.306;8.625.034
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;03/2014;43.419.420;198.249;4.046.460;4.528.036;3.616.105;714.343;69.030;0;13.172.223;13.328;195.874;452.425;582.597;77.288;375;0;1.321.886;76.775;1.787.790;652.999;75.762;67;0;2.705;2.596.098;102.772;2.740.983;475.161;44.092;1.233;1.438;4.393;3.370.072;191.804;1.673.917;3.523.702;1.732.983;913.929;108.964;7.616;8.152.916;120.407;86.039;64.720;93.583;74.552;57.610;1.405;498.318;20.258;623.208;736.513;1.647.333;333.107;153.601;0;3.514.019;7.683;560.845;1.350.662;103.531;7.154;150;0;2.030.026;65;466.968;797.340;327.353;6.311;0;0;1.598.037;7.165.826
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;03/2014;18.063.236;205.910;1.108.610;1.988.066;1.276.112;411.021;187.995;0;5.177.714;38.188;253.305;628.970;617.712;83.373;2;0;1.621.551;1.493;20.626;10.538;0;0;0;0;32.657;348;42.428;87.787;0;0;0;0;130.563;58.493;677.814;971.804;982.299;528.562;691.931;0;3.910.901;624.275;198.609;83.401;2.404;0;0;0;908.690;4.796;381.110;818.332;1.440.380;587.056;591.779;11.369;3.834.823;2.481;59.237;217.812;126.145;31.832;11.666;0;449.173;0;0;0;0;0;0;0;0;1.997.164
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;;8;SAO PAULO;SP;03/2014;13.454.869;196;38.514;74.027;103.132;37.529;0;0;253.397;18.628;379.251;677.542;555.395;35.457;32;0;1.666.304;0;0;0;0;0;0;0;0;4.536;1.792.449;462.021;0;0;0;0;2.259.005;0;0;0;0;0;0;0;0;560;74.981;5.465;19.249;4.196;0;0;104.449;59.392;1.006.438;2.572.042;4.205.827;1.264.957;63.058;0;9.171.714;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;03/2014;13.004.500;68.441;1.075.772;2.068.316;2.248.780;481.391;39.070;0;5.981.769;1.750;27.384;60.119;71.365;9.132;179;0;169.929;51.626;695.009;552.130;62;0;0;0;1.298.826;16.125;404.805;116.122;690;4;0;0;537.746;5.091;516.108;653.969;946;0;0;0;1.176.115;43.138;141.307;295.115;199.790;70.934;41.226;0;791.510;9.279;67.903;219.860;489.805;326.099;446.000;89;1.559.034;20.360;248.583;335.988;63.848;41.147;27.509;0;737.435;75;31.877;90.009;293.733;165.199;12.370;0;593.263;158.872
BTG PACTUAL;49.944;b1;C;2;;199;RIO DE JANEIRO;RJ;03/2014;12.637.423;13.732;568.211;2.339.552;1.054.814;198.435;945;0;4.175.689;0;0;0;0;0;0;0;0;0;18.537;16.073;4.750;0;0;0;39.360;43.194;165.682;322.177;274.282;128.424;89.259;246;1.023.264;0;364.054;610.172;1.572.087;228.150;0;0;2.774.463;0;515;0;0;0;0;0;515;0;2.164;6.825;19.624;59.183;332.925;773.519;1.194.241;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3.429.892
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;03/2014;10.531.579;27.695;1.096.525;878.794;362.412;18.361;125;0;2.383.911;2.707;37.269;71.128;90.845;3.324;0;0;205.274;11.494;364.254;131.644;0;0;0;0;507.392;1.235;2.021.342;474.718;37.478;0;0;0;2.534.772;14.420;859.543;1.727.139;809.339;199.224;4.818;0;3.614.481;23.984;145.493;20.532;786;10;0;0;190.805;289;54.567;39.991;122.097;3.548;87;0;220.579;0;180.292;684.034;10.038;0;0;0;874.364;0;0;0;0;0;0;0;0;0
ABC-BRASIL;41.856;b1;C;3;;199;SAO PAULO;SP;03/2014;10.172.712;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.051;146.168;53.519;0;0;0;0;201.738;242;242.978;53.544;0;0;0;0;296.765;5.510;402.159;668.059;349.142;42.625;0;0;1.467.495;35.637;974.335;1.513.658;1.059.772;102.797;10.755;65;3.697.019;2.449;162.668;368.502;742.161;254.861;195.806;0;1.726.448;0;35.195;220.778;203.869;31.975;20.815;0;512.631;0;0;0;0;0;0;0;0;2.270.616
MERCEDES-BENZ;51.262;b2;C;3;;198;SAO PAULO;SP;03/2014;9.682.800;4.242;29.568;55.982;96.883;41.599;1.012;0;229.286;9.756;107.507;257.541;390.443;42.579;249;0;808.074;0;0;0;0;0;0;0;0;77.165;1.172.364;85.284;0;0;0;0;1.334.813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;25.644;763.568;1.970.194;3.236.132;1.093.988;221.101;0;7.310.627;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BIC;32.119;b1;C;2;;199;SAO PAULO;SP;03/2014;9.205.385;149.919;1.920.392;1.913.109;1.282.090;153.948;16.536;0;5.435.993;8.237;125.065;211.375;180.051;17.379;0;0;542.107;5.086;445.170;148.365;0;0;0;0;598.621;1.005;13.146;881;1.666;92;0;0;16.790;15.658;636.961;882.192;81.155;9.507;0;0;1.625.473;29.792;52.042;102.585;151.088;119.986;12.976;34.874;503.342;0;0;0;0;0;0;0;0;0;37.808;59.307;287;0;0;0;97.401;0;0;0;0;0;0;0;0;385.657
BANCO DO NORDESTE DO BRASIL S.A.;7.237.373;b1;I;1;;8;FORTALEZA;CE;03/2014;8.092.817;28.541;275.050;513.456;655.958;82.273;15.541;74.660;1.645.478;19.422;91.267;215.529;197.304;95.761;209.984;599;829.866;18.971;107.693;213.463;509;0;0;0;340.636;6.088;40.797;3.171;11;0;0;0;50.068;0;0;0;0;0;0;0;0;128.095;49.431;60.139;151.423;69.982;227.479;85.948;772.497;16.384;425.351;633.039;622.936;580.013;1.613.949;304.722;4.196.393;63.458;11.282;34.541;12.450;15.305;120.843;0;257.879;0;0;0;0;0;0;0;0;0
