Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2021;612.817.730;1.709.391;5.179.778;13.713.558;25.330.733;13.988.408;11.414.787;235;71.336.889;721.460;1.450.408;3.336.487;4.089.552;175.759;6.773;5.663;9.786.104;9.475;34.793;66.759;66.657;9.310;12;14;187.021;887.994;14.046.232;38.557.364;89.656.853;73.511.970;208.190.970;83.494.589;508.345.972;927.172;6.000.637;2.049.503;180.180;26.037;25.098;0;9.208.626;87.591;1.163.932;1.647.227;1.212.936;381.248;296.876;0;4.789.811;1.163.017;2.849.135;2.151.046;1.533.557;736.036;707.001;23.515;9.163.306;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2021;406.589.488;227.392;5.055.967;14.735.155;32.239.127;23.224.093;18.304.303;2.681.675;96.467.712;644.562;2.861.043;8.777.910;11.865.024;5.962.392;3.190.517;397.835;33.699.281;26.159;457.276;1.233.407;1.951.959;470.351;40;100.413;4.239.606;57.017;438.097;1.280.891;3.435.591;3.415.803;17.532.609;20.090.722;46.250.730;1.631.237;24.261.959;5.707.091;325.925;172;0;200.200;32.126.584;1.255.737;18.575.208;56.455.543;50.129.194;27.897.818;24.809.963;237.936;179.361.400;529.345;1.020.862;2.874.265;2.094.800;1.470.198;1.894.583;129.552;10.013.605;4.430.569
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2021;352.786.084;497.610;5.018.889;13.122.345;22.363.058;10.470.460;4.579.784;2;56.052.147;173.727;2.172.561;4.620.840;4.636.552;916.212;71.950;0;12.591.841;249.163;2.958.113;7.587.552;11.484.571;2.102.610;3.083;0;24.385.092;45.206;1.824.211;5.244.445;12.045.973;9.622.641;25.094.680;8.292.040;62.169.194;4.335.488;51.836.640;24.494.954;2.072.423;48.424;98;0;82.788.027;1.703;395.594;785.337;144.106;53.788;24.338;0;1.404.865;2.262.917;8.559.894;7.861.015;8.103.793;2.192.475;518.474;229;29.498.797;83.896.122
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2021;265.686.932;314.668;5.831.533;15.722.346;28.324.592;14.516.699;8.067.468;693;72.778.000;760.918;5.559.525;9.404.043;9.119.938;1.876.829;513.383;871;27.235.508;243.721;3.764.053;9.530.962;13.742.515;2.248.228;9.026;34;29.538.539;66.746;1.891.355;5.224.953;11.906.200;9.340.150;24.209.977;8.161.519;60.800.900;3.077.792;25.054.141;9.139.726;1.367.608;133.527;20.378;0;38.793.172;106.995;1.637.729;5.517.994;5.712.894;1.406.467;557.970;0;14.940.049;1.080.377;5.341.082;3.635.379;5.102.580;2.095.631;663.653;12.122;17.930.824;3.669.940
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2021;232.837.903;780.100;3.648.198;9.785.015;17.687.946;9.497.426;6.852.342;949;48.251.976;528.406;1.668.813;3.518.062;4.350.344;1.653.561;472.697;16.407;12.208.290;623.910;6.667.794;17.188.644;26.116.678;5.139.873;24.408;4.307;55.765.613;39.548;1.375.446;4.017.219;9.174.800;7.245.861;18.421.580;6.198.313;46.472.767;1.475.789;21.940.145;10.316.627;953.336;255.852;132.073;42;35.073.864;32.711;1.467.800;2.816.474;2.391.920;1.217.057;735.234;0;8.661.194;1.417.270;5.281.853;5.162.716;5.552.999;3.325.157;2.599.588;120.655;23.460.238;2.943.959
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2021;46.775.942;53.667;111.174;235.925;193.026;10.041;17;0;603.849;35.834;150.074;461.571;463.886;174.914;17.125;0;1.303.405;621.629;5.364.590;13.467.120;19.380.285;2.875.080;4.198;0;41.712.902;0;0;0;0;0;0;0;0;417.775;1.777.701;812.136;59.301;0;0;0;3.066.913;0;1.060;455;3.446;1.390;0;0;6.351;813;7.181;42.005;16.362;8.704;7.347;109;82.522;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;03/2021;28.358.900;118.339;860.181;2.333.762;4.323.238;2.348.490;1.216.748;0;11.200.759;13.088;66.520;76.341;3.732;5;0;0;159.685;297.523;1.634.685;4.003.813;5.706.077;847.717;640;0;12.490.455;755;3.570;8.946;19.334;13.947;28.070;3.952;78.574;627.101;3.110.661;395.077;9.212;415;4;0;4.142.470;0;0;0;0;0;0;0;0;6.201;21.027;48.524;92.057;52.389;65.264;1.494;286.957;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2021;28.163.531;58.465;1.081.659;3.032.794;6.317.902;3.930.018;2.562.265;35;16.983.139;31.392;428.683;954.125;265.357;52.126;18.921;11;1.750.615;85;1.409;3.857;5.828;1.334;1;0;12.514;3.155;67.048;158.320;409.120;382.088;1.509.242;1.143.560;3.672.532;69.430;1.055.105;318.930;3.869;0;0;0;1.447.334;19.526;719.945;832.515;636.484;304.190;213.792;70.368;2.796.819;80.147;919.222;177.653;164.927;79.607;78.980;40;1.500.576;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2021;26.564.742;37.372;605.502;1.645.400;3.187.761;1.748.233;851.754;0;8.076.023;6.213;584.820;1.208.460;1.176.392;263.911;22.278;0;3.262.075;147.489;1.757.376;4.543.601;6.556.731;871.712;920;0;13.877.829;0;122;591;1.119;895;2.286;908;5.921;23.997;638.152;260.975;15.744;2.574;0;0;941.442;782;32.722;91.990;70.727;45.846;16.928;0;258.995;4.786;74.544;58.560;1.992;0;314;442;140.638;1.820
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2021;17.052.574;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;92.268;789.570;1.685.832;1.094.649;629.168;344.854;2.847;4.639.187;310.686;2.574.661;4.090.715;3.798.444;1.323.929;312.524;2.427;12.413.387;0
