Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2021;471.365.839;225.405;13.702.301;26.790.958;38.201.844;8.980.894;1.436.008;140.764;89.478.174;25.340;1.553.864;4.201.190;6.640.131;1.602.847;13.865;0;14.037.236;456.818;6.877.969;28.847;0;0;0;0;7.363.633;62.523;16.796.156;5.500.235;776.732;117.246;13.181;0;23.266.074;103.219;4.830.141;7.166.237;4.691.983;5.379.120;4.095.009;0;26.265.708;938.094;5.382.826;6.863.145;5.318.082;1.308.698;632.741;23.793;20.467.380;79.406;1.262.382;2.922.839;4.720.549;1.020.579;1.731.243;255.429;11.992.426;2.538;1.202.725;3.787.472;607.926;230.838;185.893;0;6.017.391;69.844;501.559;899.679;714.885;88.449;22.274;0;2.296.690;270.181.127
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2021;310.161.521;719.113;13.298.005;24.929.145;38.482.631;8.912.685;2.380.453;599.584;89.321.615;97.920;2.969.414;6.809.721;8.864.691;2.077.954;169.927;18;20.989.644;213.694;4.288.917;476.060;0;0;0;0;4.978.672;92.837;17.254.599;4.974.332;26.491;2.834;0;0;22.351.093;22.723;15.337.623;13.765.178;9.404.411;4.191.967;3.824.018;0;46.545.920;491.677;3.548.902;3.508.753;1.247.058;254.006;26.368;0;9.076.763;10.244;1.634.937;4.359.828;7.651.772;3.025.118;5.093.321;134.027;21.909.246;3.944;950.015;1.422.853;284.986;136.921;96.347;0;2.895.066;26.055;213.934;558.221;1.885.106;302.436;30.892;2.291;3.018.935;89.074.565
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2021;280.348.343;474.620;9.783.172;23.582.858;34.271.657;5.511.595;908.369;286.071;74.818.342;48.092;2.198.676;6.059.619;13.705.618;11.456.389;29.145.359;534.288;63.148.040;129.190;1.143.022;416.914;13.105;0;0;8.303;1.710.533;206.395;5.435.829;2.256.802;301.604;0;0;3;8.200.633;408.208;7.893.541;11.970.746;10.941.852;4.540.975;161.985;0;35.917.306;1.091.852;3.798.130;6.753.813;3.050.247;2.144.897;4.154.988;654.398;21.648.325;82.196;2.087.307;6.544.284;10.322.683;4.102.899;13.850.047;4.489.108;41.478.524;30.270;600.260;1.838.107;1.629.425;864.093;1.208.837;0;6.170.992;75.006;75.519;288.729;354.557;18.673;0;0;812.485;26.443.164
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2021;274.618.328;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;119.508;7.147.196;20.528.340;47.934.813;41.312.944;124.960.090;31.716.079;273.718.971;443;25.128;102.773;191.237;103.597;476.179;0;899.357;0;0;0;0;0;0;0;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2021;190.880.591;442.177;6.712.956;13.309.976;19.802.730;4.933.012;1.098.519;24.556;46.323.926;104.216;1.228.866;3.047.942;4.800.024;1.167.666;2.487.520;724.254;13.560.489;209.329;2.864.152;1.350.889;170.730;71.108;76.506;9.035;4.751.750;63.928;22.515.125;9.118.756;505.388;41.968;18.512;8.638;32.272.315;51.116;3.949.827;7.138.359;1.981.909;3.013.852;23.174;0;16.158.237;820.461;2.127.533;2.617.671;3.195.073;1.000.224;3.075.357;33.886;12.870.205;81.378;688.021;1.601.685;2.693.160;558.815;283.858;355;5.907.272;3.989;1.662.195;2.938.739;373.072;80.099;77.100;460;5.135.653;65.705;65.303;245.509;417.030;4.065;26.318;0;823.930;53.076.814
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;03/2021;179.021.630;1.656.100;4.938.181;16.793.821;32.099.743;6.813.435;1.023.540;2.196;63.327.015;36.923;45.943;140.589;311.058;169.918;31.612;81;736.123;175.132;244.558;807.427;17.294;0;0;0;1.244.411;3.774;77.086;7.946;0;0;0;0;88.805;128.774;638.795;1.203.219;553.248;16.419;0;0;2.540.454;930.972;715.754;1.632.520;688.383;276.693;132.823;702;4.377.847;76.266;6.279.543;10.096.040;20.113.327;15.757.059;38.264.374;5.942.370;96.528.979;10.376;762.421;1.796.405;160.560;39.133;2.616;0;2.771.511;72.416;1.091.198;2.834.177;3.215.228;116.322;77.144;0;7.406.484;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2021;65.726.756;54.415;5.737.490;9.451.580;13.757.176;3.428.593;401.050;0;32.830.305;6.969;586.490;1.217.641;1.200.262;216.810;12.726;0;3.240.898;16.609;588.864;65.101;1.626;0;0;0;672.200;7.145;4.120.230;1.330.319;50.114;3;0;0;5.507.810;757;2.347.783;2.438.868;1.796.542;1.165.246;748.717;0;8.497.914;40.180;521.510;1.358.189;752.738;20.566;0;0;2.693.183;676;150.353;454.289;912.277;266.338;262.768;0;2.046.701;0;159.307;460.971;320.729;148.202;161.493;0;1.250.702;0;5.543;23.739;76.509;6.033;0;0;111.824;8.875.219
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2021;50.954.907;86.957;1.661.355;4.095.943;5.272.959;547.984;561.468;0;12.226.666;0;2.994;14.340;2.994;0;0;0;20.329;0;1.418;0;0;0;0;0;1.418;115;7.870.455;2.809.356;230.827;422;139;0;10.911.315;6.916;490.916;2.555.883;2.010.375;374.254;1.042;0;5.439.386;229.414;59.223;119.618;302.971;92.039;9.043;0;812.308;479;48.566;178.721;703.050;445.992;1.540.861;1.257.956;4.175.625;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.367.861
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2021;25.245.879;802;2.065.549;1.606.013;2.153.239;381.656;0;0;6.207.258;0;5.644;16.112;24.759;1.875;0;0;48.389;0;112.250;100.965;0;0;0;0;213.215;3;6.297.022;1.729.484;4.337;268;73;0;8.031.187;0;2.565.006;3.755.143;1.816.812;1.034.455;0;0;9.171.415;68.210;367.783;189.540;0;0;0;14;625.547;0;20;0;0;0;0;0;20;0;67.183;839.095;42.569;0;0;0;948.847;0;0;0;0;0;0;0;0;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2021;24.100.513;24.800;1.490.443;4.135.013;6.016.845;855.042;2.734;1.023;12.525.899;2.420;206.653;491.310;651.717;177.383;439;32.435;1.562.359;11.389;591.074;981.047;5.282;0;0;0;1.588.793;9.181;4.675.431;702.246;61.091;3.147;0;0;5.451.096;1.465;906.293;720.117;143.079;204;0;0;1.771.158;24.706;9.402;11.910;9.238;1.219;0;0;56.475;502;21.141;48.949;63.263;15.079;2.947;0;151.881;0;84.696;211.249;0;0;0;0;295.944;0;0;0;0;0;0;0;0;696.908
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2021;20.644.482;68.125;1.745.509;3.307.800;4.070.930;846.699;61.613;0;10.100.676;9.409;242.679;637.772;600.214;50.899;0;0;1.540.972;1.053;75.371;36.101;0;0;0;0;112.525;0;588.972;436.329;0;0;0;0;1.025.301;42.557;960.805;1.386.371;1.174.139;176.361;17.739;0;3.757.972;69.154;263.563;262.300;309.971;128.471;75.439;0;1.108.898;0;37.728;108.298;194.697;62.529;15.641;0;418.893;0;57.082;322.404;281.095;104.701;107.131;0;872.412;0;0;0;0;0;0;0;0;1.706.833
