Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;03/2023;817.473.353;874.435;5.625.285;13.793.835;29.676.975;22.949.657;30.258.669;6;103.178.862;244.112;2.275.103;4.934.490;4.493.842;939.964;6.984;0;12.894.495;2.126;9.763;24.292;37.795;12.642;37;0;86.655;1.989.189;9.610.560;18.030.480;43.453.916;37.477.820;123.342.101;404.781.844;638.685.911;1.988.858;8.261.574;2.781.971;192.342;34.960;33.708;0;13.293.413;224.867;6.172.306;7.263.337;9.813.549;7.266.036;5.160.361;0;35.900.456;2.277.074;4.670.067;1.548.250;210.721;89.776;99.643;4.538.029;13.433.560;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2023;573.997.561;325.751;6.266.574;18.105.995;40.297.778;29.996.510;23.100.503;537.597;118.630.707;1.453.881;3.913.579;11.482.031;16.294.216;8.106.807;3.803.404;425.635;45.479.553;48.093;448.682;1.179.982;1.817.189;458.331;931;114.585;4.067.794;64.160;459.199;1.338.259;3.598.215;3.568.033;18.471.254;18.328.453;45.827.572;5.995.804;39.223.888;9.726.088;732.212;14;0;431.679;56.109.685;1.532.202;37.066.590;102.829.822;70.917.290;40.965.896;31.763.591;276.700;285.352.091;902.073;1.268.414;3.998.130;2.493.706;1.923.698;2.709.899;151.128;13.447.047;5.083.112
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2023;505.275.705;455.033;6.768.687;17.715.466;30.233.766;14.755.964;4.974.876;0;74.903.790;629.194;3.386.709;7.444.787;7.878.068;1.691.143;179.360;0;21.209.262;747.427;4.148.639;10.317.795;14.366.280;2.466.240;5.660;0;32.052.041;84.894;3.411.904;9.491.477;21.747.250;17.190.617;43.953.572;13.356.646;109.236.361;12.721.649;79.252.789;36.060.454;2.237.876;82.364;408;0;130.355.540;647;1.578.457;2.396.809;660.037;143.844;48.918;0;4.828.711;2.977.237;12.230.530;8.223.140;9.131.522;3.107.115;915.140;8.958;36.593.642;96.096.358
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2023;361.652.541;392.519;7.109.828;19.518.645;34.649.109;18.618.917;9.434.139;2.270;89.725.427;1.999.539;6.552.794;11.875.850;12.387.767;2.401.275;402.410;1.825;35.621.461;595.284;4.508.031;11.262.671;15.792.004;2.606.864;10.787;28;34.775.669;101.582;2.529.250;6.872.419;15.771.068;12.429.435;36.839.661;7.484.763;82.028.176;10.131.716;40.870.015;15.746.003;3.077.854;650.745;87.123;0;70.563.456;132.581;3.298.628;6.915.182;7.257.065;1.606.284;550.811;0;19.760.551;2.252.921;7.230.105;4.729.101;6.397.418;2.251.838;576.089;610;23.438.083;5.739.718
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2023;285.600.053;1.066.729;4.735.427;12.593.019;22.619.436;12.054.067;7.457.350;1.016;60.527.044;1.040.374;2.194.904;4.211.115;5.580.798;2.231.637;935.787;21.610;16.216.226;1.077.755;7.291.623;18.340.485;26.220.718;5.009.572;37.363;5.455;57.982.971;92.073;1.707.103;4.930.721;11.306.074;8.920.860;22.774.923;7.420.989;57.152.744;2.829.313;29.341.798;11.681.732;1.763.531;537.871;673.306;54;46.827.604;87.089;1.973.727;2.760.489;3.124.919;1.546.353;757.239;0;10.249.816;2.638.820;6.723.329;6.645.139;7.889.344;4.321.299;4.567.818;147.565;32.933.315;3.710.333
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2023;51.795.523;30.027;91.939;198.904;167.390;11.048;32;0;499.340;204.803;918.538;2.199.377;3.048.136;757.114;93.977;0;7.221.944;760.575;4.907.131;12.012.195;17.380.569;3.039.225;15.859;0;38.115.555;0;0;0;0;0;0;0;0;1.406.419;2.716.866;1.409.785;178.752;552;0;0;5.712.375;0;1.530;322;1.607;0;0;0;3.459;22.802;182.601;19.695;9.257;4.977;3.507;13;242.852;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2023;47.387.201;88.490;1.139.584;2.986.223;4.980.905;2.531.749;1.276.709;0;13.003.659;318.279;949.680;1.893.112;2.427.994;806.415;188.857;0;6.584.335;560.933;2.445.192;5.766.425;7.619.944;1.103.669;1.197;0;17.497.359;461;2.512;6.357;13.307;9.563;18.339;2.139;52.679;1.713.475;4.079.905;1.444.209;327.878;533.961;1.257.056;0;9.356.484;78;17.700;55.950;56.182;0;30.144;0;160.054;22.908;121.488;77.597;117.930;31.336;31.120;446;402.825;329.805
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2023;38.567.797;58.661;1.283.909;3.585.270;7.236.736;4.723.844;3.332.122;368;20.220.911;102.487;410.032;693.172;413.051;152.201;44.619;1.106;1.816.669;32;1.161;3.179;4.751;1.514;1;0;10.638;4.201;89.997;200.089;525.624;497.668;2.013.524;1.674.317;5.005.420;162.882;1.417.095;447.101;10.720;0;0;0;2.037.798;50.700;1.775.150;3.412.131;1.370.572;594.690;617.777;15.607;7.836.627;95.510;1.028.142;185.724;175.808;81.270;73.101;179;1.639.734;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2023;37.818.810;39.198;681.139;1.847.620;3.443.933;1.918.307;709.642;0;8.639.838;68.850;1.286.784;2.457.417;2.806.758;789.864;151.034;0;7.560.709;206.259;2.281.546;5.751.747;8.660.096;1.509.177;911;0;18.409.735;537;10.856;31.185;81.254;77.120;304.035;272.231;777.218;266.715;940.298;459.180;13.560;861;0;0;1.680.615;0;56.335;91.104;82.651;49.078;20.668;0;299.836;30.043;155.749;197.046;31.644;20.709;707;0;435.899;14.960
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S3;41;SAO PAULO;SP;03/2023;36.497.671;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;28.236.981;8.232.148;3.174;0;0;0;36.472.303;0;0;0;0;0;0;0;0;12.697;5.510;6.300;860;1;0;0;25.367;0
C6 BANK;52.072;b1;C;2;S3;199;SAO PAULO;SP;03/2023;30.171.900;22.876;952.182;2.572.784;4.991.267;2.953.513;1.230.516;0;12.723.139;37.831;573.512;1.315.638;1.868.385;694.905;309.897;134;4.800.303;14.607;332.222;888.701;1.580.037;399.169;895;0;3.215.632;0;0;0;0;0;0;0;0;1.564.664;5.246.448;2.237.253;62.129;29;0;0;9.110.523;0;0;0;0;0;0;0;0;51.254;24.453;136.422;43.855;23.000;38.374;4.945;322.304;0
