Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2023;493.173.183;544.536;12.465.615;26.737.116;32.761.861;6.058.835;1.538.485;99.056;80.205.505;102.819;2.537.567;6.520.868;9.361.763;1.791.020;8.869;0;20.322.906;925.711;12.279.409;174.446;0;0;0;0;13.379.566;137.437;23.085.480;6.009.686;487.024;51.483;3;0;29.771.112;18.038;7.102.463;10.849.210;7.525.418;5.518.392;4.578.854;0;35.592.375;940.841;5.524.841;6.938.934;5.180.343;1.041.736;225.532;24.063;19.876.291;45.412;1.396.143;3.187.468;5.212.861;2.152.267;2.288.031;47.370;14.329.552;1.222;824.405;4.791.588;657.626;270.211;114.459;0;6.659.511;31.351;894.976;2.015.918;1.729.658;74.468;116.729;0;4.863.099;268.173.265
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2023;314.848.583;1.195.949;11.449.460;29.277.744;44.352.451;9.790.661;630.844;402.674;97.099.782;88.317;2.337.913;5.869.382;14.533.103;11.292.520;23.415.132;602.151;58.138.518;285.499;2.680.929;547.256;8.495;0;0;10.391;3.532.570;454.707;8.570.961;3.069.675;238.537;0;0;6;12.333.887;254.985;10.443.773;19.880.291;10.572.761;5.305.097;132.749;13;46.589.668;1.613.203;8.913.308;4.918.171;3.544.560;2.789.156;4.781.286;714.732;27.274.415;123.747;1.377.575;3.196.314;5.523.434;3.417.039;14.262.291;3.687.305;31.587.705;14.596;591.247;1.445.167;1.351.004;945.638;1.158.631;558;5.506.841;0;10.107;106.423;935.713;81.296;0;0;1.133.539;31.651.659
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2023;305.716.873;2.013.394;14.281.709;29.223.184;35.018.670;6.639.725;2.117.933;27.340;89.321.956;296.424;4.677.581;10.675.721;14.074.291;3.153.714;132.630;0;33.010.361;914.418;5.610.975;614.144;27;0;0;0;7.139.564;673.005;27.076.079;5.561.940;172.607;7.105;0;0;33.490.736;128.775;9.958.387;13.183.789;6.104.456;3.081.217;525.836;0;32.982.459;1.495.808;8.172.218;3.622.157;1.201.390;271.069;27.200;0;14.789.842;29.051;1.665.341;4.274.929;6.994.663;3.188.582;4.973.559;101.142;21.227.266;301;258.722;2.698.907;353.784;185.725;74.756;0;3.572.195;35.902;180.872;1.254.190;4.055.087;205.934;85.538;1.343;5.818.866;64.363.628
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2023;271.958.259;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;155.385;6.851.563;17.997.692;44.434.710;45.818.306;119.051.565;35.710.593;270.019.814;0;22.386;104.502;221.560;286.393;1.303.604;0;1.938.445;0;0;0;0;0;0;0;0;0
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;03/2023;214.049.936;1.630.153;7.411.093;21.165.268;36.063.681;6.400.489;1.626.880;0;74.297.565;19.159;199.857;517.451;1.097.813;451.215;121.216;0;2.406.712;344.584;594.021;1.677.135;19.904;0;0;0;2.635.645;6.865;41.316;3.482;0;0;0;0;51.663;269.894;1.007.420;2.236.492;1.230.373;106.179;6.664;0;4.857.022;283.525;2.748.787;4.100.066;2.542.534;505.994;447.908;542;10.629.355;3.682.034;5.224.983;9.216.050;22.065.780;18.250.968;38.024.713;5.064.267;101.528.794;11.609;743.367;1.540.904;488.521;553.446;656.270;0;3.994.117;92.396;1.261.345;359.602;351.725;483;548;11.582.962;13.649.062;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2023;213.498.934;555.618;5.399.532;11.484.246;13.742.324;2.512.502;899.171;16.828;34.610.222;222.335;1.931.617;4.994.550;7.306.064;1.925.954;2.025.215;836.951;19.242.685;389.414;4.484.457;1.343.233;310.888;128.600;115.160;8.957;6.780.710;156.407;19.774.870;9.778.845;192.662;79.217;72.225;11.320;30.065.545;17.239;6.907.564;6.316.323;3.940.390;833.361;35.591;0;18.050.469;1.090.155;3.613.433;4.982.700;4.084.702;1.777.788;3.160.869;23.448;18.733.096;78.597;1.261.769;2.312.046;2.522.992;540.668;162.060;137;6.878.269;4.034;1.880.766;2.061.438;600.311;163.865;73.866;0;4.784.279;0;16.043;63.623;20.499;1.663;2.253;0;104.081;74.249.578
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2023;68.653.984;178.802;5.187.780;8.396.533;9.523.829;1.860.114;368.310;0;25.515.367;22.659;832.403;1.846.241;2.584.721;828.804;108.445;0;6.223.273;81.530;926.026;31.910;0;0;0;0;1.039.467;287.497;6.508.584;1.859.433;29.632;2.565;0;0;8.687.711;1.060;1.855.793;3.104.205;4.505.522;2.180.812;895.049;0;12.542.440;491.784;752.944;923.260;733.950;259.205;34.689;0;3.195.832;62.946;277.231;801.140;1.409.493;590.994;367.094;0;3.508.897;0;175.841;586.903;333.688;200.437;161.385;0;1.458.254;0;24.533;93.429;430.250;18.738;0;0;566.950;5.915.793
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2023;65.993.652;165.275;918.986;2.998.259;3.331.751;1.516.124;457.046;0;9.387.441;39.835;5.723;12.010;11.451;1.076;719;0;70.814;2.482;88.031;91.742;916.146;179.697;325.275;0;1.603.374;2.292.201;8.282.840;2.272.637;488.450;35.031;5.134;0;13.376.292;72.806;597.267;3.418.541;3.908.868;221.257;34.241;0;8.252.980;156.640;220.634;749.405;1.518.588;113.933;0;255;2.759.454;650;80.402;199.431;409.589;335.084;2.184.938;1.233.998;4.444.094;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;26.099.204
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2023;31.596.924;133.716;2.017.155;3.859.930;3.925.655;341.834;9.262;15;10.287.566;7.083;299.318;765.448;1.222.153;329.084;8.849;63.435;2.695.369;87.168;1.032.463;956.459;3.376;0;0;0;2.079.466;107.184;9.664.506;1.317.878;21.673;14;0;0;11.111.255;28.836;976.166;944.973;417.084;28.457;0;0;2.395.516;15.080;19.816;19.539;23.211;1.565;0;0;79.211;250;29.831;91.853;174.382;65.547;3.725;0;365.590;0;82.288;198.449;10.692;2.671;0;0;294.100;0;0;0;0;0;0;0;0;2.288.852
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2023;28.212.684;1;1.067.511;1.140.672;674.134;137.202;0;0;3.019.520;0;1.879;4.665;2.323;0;0;0;8.868;0;114.198;123.737;0;0;0;0;237.935;17.826;9.396.998;1.584.613;268;73;0;0;10.999.778;12.797;1.871.254;6.099.764;2.099.814;1.934.801;101.596;0;12.120.027;3.577;876.892;333.257;0;0;0;0;1.213.726;0;0;0;0;0;0;0;0;0;116.748;496.083;0;0;0;0;612.831;0;0;0;0;0;0;0;0;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2023;23.240.034;68.499;2.042.033;3.334.240;3.523.555;394.763;107.146;0;9.470.235;0;147.732;416.760;588.570;21.335;0;0;1.174.396;14.377;170.515;89.804;0;0;0;0;274.695;110.493;882.579;344.319;0;0;0;0;1.337.391;9.138;1.344.589;2.485.880;1.028.893;126.162;0;0;4.994.662;11.844;546.183;326.483;172.260;44.685;48.338;0;1.149.793;277;85.598;367.312;547.219;149.214;3.163;0;1.152.782;0;170.573;546.441;242.081;109.636;94.056;0;1.162.788;0;0;0;0;0;0;0;0;2.523.292
