Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;Sudeste;Centro-oeste;Nordeste;Norte;Sul;Região não Informada;Total Exterior;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;03/2023;1.031.523.288;467.307.759;135.858.509;175.586.709;46.087.817;206.210.027;472.467;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;03/2023;998.448.888;390.249.002;47.632.079;79.151.191;21.067.911;95.516.448;562.633;364.269.623
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;03/2023;888.846.144;329.801.097;158.352.138;131.852.896;62.668.537;169.052.295;384.411;36.734.771
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;03/2023;667.369.414;308.783.001;57.333.336;97.916.949;34.413.370;98.486.133;333.277;70.103.346
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;03/2023;499.098.988;250.443.223;33.895.195;55.472.801;17.006.993;64.100.789;220.076;77.959.910
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;03/2023;271.961.150;160.669.876;29.664.096;40.370.117;5.862.812;30.234.298;5.159.951;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;03/2023;113.380.853;48.787.553;8.832.775;12.363.022;4.801.695;11.829.494;337.304;26.429.009
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;03/2023;106.472.794;53.814.366;10.537.610;11.942.735;3.811.707;20.406.156;29.468;5.930.752
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;03/2023;67.821.264;32.523.262;7.101.609;9.914.046;3.389.358;14.194.415;17.491;681.084
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;03/2023;50.080.401;4.873.133;658.718;1.599.444;520.581;42.326.814;7.562;94.148
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;03/2023;46.081.534;25.461.901;4.061.645;5.319.611;2.053.692;6.889.504;4.338;2.290.842
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S3;41;SAO PAULO;SP;03/2023;36.716.632;16.975.775;3.202.495;8.330.604;1.678.750;6.000.834;528.174;0
C6 BANK;52.072;b1;C;2;S3;199;SAO PAULO;SP;03/2023;33.758.655;16.326.070;3.113.209;6.770.362;2.021.171;5.360.246;159.952;7.643
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;03/2023;32.129.949;13.914.424;4.001.707;5.216.388;2.547.620;6.443.326;6.485;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;03/2023;30.814.805;3.906.458;22.451.540;2.126.491;1.409.379;889.165;31.771;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;03/2023;30.519.111;9.657.866;13.397.396;2.764.174;681.263;4.018.412;0;0
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;03/2023;28.293.317;19.208.801;1.841.088;1.909.580;305.819;5.028.028;0;0
NUBANK;52.058;n1;C;2;S3;197;SAO PAULO;SP;03/2023;24.328.119;10.720.852;2.435.427;5.208.363;1.684.357;3.642.621;636.500;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;03/2023;23.627.898;14.329.662;2.585.059;3.264.733;869.624;2.549.362;29.458;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;03/2023;23.627.526;12.751.436;1.958.925;1.095.978;144.420;5.153.471;4;2.523.292
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;03/2023;23.166.839;14.564.622;1.371.239;1.537.228;636.477;4.965.938;91.334;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;03/2023;22.751.670;1.151.203;5.869.848;227.853;590.574;14.898.092;14.099;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;03/2023;21.987.468;9.218.687;3.580.571;738.875;1.784.281;6.660.117;4.936;0
BANCO CNH INDUSTRIAL CAPITAL S.A.;2.992.446;b2;I;3;S3;8;CURITIBA;PR;03/2023;21.870.346;5.553.474;6.220.557;2.434.012;1.396.215;6.263.748;2.340;0
BANCO DA AMAZONIA S.A.;4.902.979;b1;I;1;S3;2;BELEM;PA;03/2023;20.550.619;3.915.912;2.831.180;1.467.642;11.350.699;985.127;59;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;03/2023;20.221.009;8.880.719;1.268.547;4.290.210;1.587.946;1.998.178;19.602;2.175.808
