Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Captações;;;;;;;;;;;;;;;Instrumentos Derivativos (f);Outras Obrigações (g);Passivo Circulante e Exigível a Longo Prazo (h) = (e) + (f) + (g);Resultados de Exercícios Futuros (i);Patrimônio Líquido (j);Passivo Total (k) = (h) + (i) + (j);
;;;;;;;;;Depósito Total;;;;;;Obrigações por Operações Compromissadas (b);Recursos de Aceites e Emissão de Títulos;;;;;;Obrigações por Empréstimos e Repasses (d);Captações (e) = (a) + (b) + (c) + (d);;;;;;;
;;;;;;;;;Depósitos à Vista (a1);Depósitos de Poupança (a2);Depósitos Interfinanceiros (a3);Depósitos a Prazo (a4);Outros Depósitos (a5);Depósito Total (a);;Letras de Crédito Imobiliário (c1);Letras de Crédito do Agronegócio (c2);Letras Financeiras (c3);Obrigações por Títulos e Valores Mobiliários no Exterior (c4);Outros Recursos de Aceites e Emissão de Títulos (c5);Recursos de Aceites e Emissão de Títulos (c);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2004;28.345.187;28.938.999;7.684.062;41.453.614;9.373.481;115.795.343;37.131.711;0;0;0;1.396.709;0;1.396.709;22.321.051;176.644.814;1.995.533;35.733.003;214.373.350;137.545;12.863.546;227.374.440
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2004;5.097.194;46.398.005;0;27.860.085;4.482.773;83.838.057;39.599.303;0;0;0;0;12.375.782;12.375.782;9.952.609;145.765.750;143.283;14.629.596;160.538.630;0;6.158.784;166.697.414
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2004;379.664;0;0;0;14.764.518;15.144.181;0;0;0;0;0;0;0;51.482.228;66.626.409;86.551;83.030.249;149.743.209;0;14.381.904;164.125.113
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2004;13.584.130;22.456.493;47.250;28.221.976;129;64.309.978;16.757.498;0;0;0;5.989.524;1.081.972;7.071.495;16.816.396;104.955.366;782.925;25.873.174;131.611.466;34.911;13.668.044;145.314.420
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2004;9.486.194;17.801.325;874.375;8.286.849;183.792;36.632.536;12.907.606;0;0;0;2.709.065;1.081.803;3.790.868;12.963.702;66.294.712;779.766;32.161.308;99.235.786;47.732;13.746.705;113.030.224
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2004;2.943.656;5.971.099;208.999;20.490.654;1.074;29.615.481;10.146.233;0;0;0;1.703.070;617.976;2.321.046;9.527.025;51.609.786;263.336;12.345.186;64.218.308;34.259;7.937.366;72.189.934
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2004;3.402.010;4.212.107;41.194;11.449.273;3.840;19.108.424;10.157.067;0;0;0;2.550.716;0;2.550.716;9.826.841;41.643.047;258.889;16.076.747;57.978.684;38.769;8.088.284;66.105.737
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2004;3.857.175;6.377.894;452.851;16.117.629;113.682;26.919.230;1.904.201;0;0;0;2.116.047;233.241;2.349.288;5.907.169;37.079.888;994.662;11.577.158;49.651.708;18.291;8.792.934;58.462.933
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2004;1.037.637;826.391;2.123.887;4.801.321;2.171;8.791.407;2.997.266;0;0;0;1.544.370;0;1.544.370;6.224.525;19.557.568;8.446.023;7.201.808;35.205.399;17.179;3.432.601;38.655.179
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2004;66.231;0;1.202.998;10.349.317;0;11.618.546;13.757.992;0;0;0;1.669.718;0;1.669.718;1.682.957;28.729.213;1.090.495;2.069.849;31.889.556;3.686;3.013.760;34.907.003
