Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Resultado de Intermediação Financeira;;;;;;;;;;;;;;Outras Receitas/Despesas Operacionais;;;;;;;;;Resultado Operacional (e) = (c) + (d);Resultado Não Operacional (f);Resultado antes da Tributação, Lucro e Participação (g) = (e) + (f);Imposto de Renda e Contribuição Social (h);Participação nos Lucros (i);Lucro Líquido (j) = (g) + (h) + (i);Juros Sobre Capital Próprio (k);
;;;;;;;;;Receitas de Intermediação Financeira;;;;;;;Despesas de Intermediação Financeira;;;;;;Resultado de Intermediação Financeira (c) = (a) + (b);Rendas de Prestação de Serviços (d1);Rendas de Tarifas Bancárias (d2);Despesas de Pessoal (d3);Despesas Administrativas (d4);Despesas Tributárias (d5);Resultado de Participações (d6);Outras Receitas Operacionais (d7);Outras Despesas Operacionais (d8);Outras Receitas/Despesas  Operacionais (d) = (d1) + (d2) + (d3) + (d4) + (d5) + (d6) + (d7) + (d8);;;;;;;;
;;;;;;;;;Rendas de Operações de Crédito (a1);Rendas de Operações de Arrendamento Mercantil (a2);Rendas de Operações com TVM (a3);Rendas de Operações com Instrumentos Financeiros Derivativos (a4);Resultado de Operações de Câmbio (a5);Rendas de Aplicações Compulsórias (a6);Receitas de Intermediação Financeira (a) = (a1) + (a2) + (a3) + (a4) + (a5) + (a6);Despesas de Captação (b1);Despesas de Obrigações por Empréstimos e Repasses (b2);Despesas de Operações de Arrendamento Mercantil (b3);Resultado de Operações de Câmbio (b4);Resultado de Provisão para Créditos de Difícil Liquidação (b5);Despesas de Intermediação Financeira (b) = (b1) + (b2) + (b3) + (b4) + (b5);;;;;;;;;;;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2006;10.434.378;240.800;6.801.474;-319.771;610.092;818.514;18.585.487;-8.264.408;-1.035.026;-162.748;0;-4.056.109;-13.518.290;5.067.197;4.348.554;0;-3.876.662;-2.720.788;-857.492;12.363;3.025.199;-1.929.653;-1.998.479;3.068.718;50.927;3.119.645;1.265.017;-496.473;3.888.189;-693.038
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2006;9.967.427;930.687;3.063.446;1.609.155;606.493;677.118;16.854.326;-6.300.263;-1.231.554;-649.168;0;-2.051.377;-10.232.362;6.621.964;2.952.527;0;-2.452.220;-2.485.381;-705.420;1.070.434;507.114;-1.436.111;-2.549.057;4.072.908;-147.085;3.925.823;-791.993;0;3.133.830;-1.147.600
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2006;7.219.781;3.098.350;2.903.873;1.228.980;0;458.095;14.909.081;-4.336.828;-366.491;-2.670.115;-136.137;-1.768.992;-9.278.562;5.630.519;3.793.494;0;-1.677.653;-2.677.750;-700.224;636.286;1.461.230;-2.641.834;-1.806.452;3.824.067;424.609;4.248.676;-346.860;-347.643;3.554.173;-763.610
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2006;4.259.140;0;7.775.214;-84.098;12.331;1.830.440;13.793.027;-7.150.794;-714.556;0;0;-500.802;-8.366.153;5.426.874;2.746.018;0;-3.044.860;-2.087.791;-414.976;42.786;1.194.439;-2.383.470;-3.947.853;1.479.020;2.719;1.481.739;-57.482;-80.279;1.343.978;-321.115
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2006;5.618.633;401.835;1.667.518;441.591;101.752;333.252;8.564.581;-3.620.493;-167.185;-276.291;0;-1.190.406;-5.254.375;3.310.206;1.303.109;0;-1.175.857;-1.603.871;-377.249;-275.614;483.459;-783.778;-2.429.801;880.405;13.049;893.454;-239.113;-142.254;512.088;-119.999
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2006;5.568.653;371.718;1.936.809;415.536;0;256.141;8.548.858;-3.330.485;-399.122;-283.863;-51.555;-1.410.909;-5.475.934;3.072.923;1.189.018;0;-873.383;-1.723.787;-288.410;294.886;1.193.487;-1.323.760;-1.531.950;1.540.974;-21.072;1.519.901;-209.889;-224.344;1.085.668;-416.804
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2006;3.694.273;136.673;2.834.004;509.930;0;189.796;7.364.676;-3.640.799;-311.901;-92.307;-46.672;-795.010;-4.886.689;2.477.987;1.349.544;0;-928.088;-1.309.277;-358.360;42.717;838.042;-1.621.073;-1.986.496;491.491;-21.988;469.503;160.169;-182.679;446.993;-50.035
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2006;3.374.301;201.753;1.228.631;198.963;102.111;185.209;5.290.967;-2.345.292;-67.079;-142.274;0;-931.386;-3.486.032;1.804.935;1.121.202;0;-750.895;-1.293.341;-229.543;78.744;259.967;-334.337;-1.148.202;656.733;-9.434;647.299;-119.627;-81.471;446.202;-127.941
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2006;3.100.898;0;1.366.732;124.692;0;0;4.592.322;-1.427.114;-3.874.483;0;-11.141;-223.616;-5.536.354;-944.032;22.533;0;-186.986;-61.541;-98.959;2.435.564;2.920.674;-163.316;4.867.969;3.923.937;-15.283;3.908.654;-591.207;0;3.317.448;0
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2006;1.624.985;1.522.784;1.256.283;-316.207;147.976;49.107;4.284.927;-1.874.920;-171.581;-1.114.396;0;-153.149;-3.314.046;970.881;248.481;0;-270.794;-254.506;-77.325;-13.462;288.372;-319.042;-398.276;572.605;1.388;573.994;-224.976;0;349.017;-89.000
