Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Disponibilidades (a);Aplicações Interfinanceiras de Liquidez (b);TVM e Instrumentos Financeiros Derivativos (c);Operações de Crédito;;;Arrendamento Mercantil;;;;;Outros Créditos - Líquido de Provisão (f);Outros Ativos Realizáveis (g);Permanente Ajustado (h);Ativo Total Ajustado (i) = (a) + (b) + (c) + (d) + (e) + (f) + (g) + (h);Credores por Antecipação de Valor Residual (j);Ativo Total (k) = (i) - (j);
;;;;;;;;;;;;Operações de Crédito (d1);Provisão sobre Operações de Crédito (d2);Operações de Crédito Líquidas de Provisão (d);Arrendamento Mercantil a Receber (e1);Imobilizado de Arrendamento (e2);Credores por Antecipação de Valor Residual (e3);Provisão sobre Arrendamento Mercantil (e4);Arrendamento Mercantil Líquido de Provisão (e);;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;06/2007;4.724.024;51.613.968;71.904.682;134.605.479;-9.103.758;125.501.721;44.123;1.320.420;239.499;-21.872;1.582.171;41.428.495;31.869.634;4.582.374;333.207.069;239.499;332.967.570
ITAU;10069;b1;;C;2;SAO PAULO;SP;06/2007;4.158.081;38.157.696;39.487.527;67.219.516;-6.929.174;60.290.342;1.427.965;34.309.620;15.240.012;-477.696;50.499.901;42.176.198;19.866.808;8.617.710;263.254.262;15.240.012;248.014.250
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;06/2007;1.691.816;9.969.527;123.988.414;49.788.349;-4.816.241;44.972.107;0;0;0;0;0;8.072.044;46.279.732;2.544.500;237.518.141;0;237.518.141
BRADESCO;10045;b1;;C;2;OSASCO;SP;06/2007;4.838.842;27.327.257;35.166.907;96.825.605;-6.741.786;90.083.819;114.728;6.664.062;2.006.403;-185.489;8.599.704;31.512.484;23.087.081;18.158.861;238.774.956;2.006.403;236.768.552
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;06/2007;4.246;1.570;19.151.219;65.854.783;-2.943.274;62.911.509;0;0;0;0;0;3.419.384;85.887.377;17.369.983;188.745.288;0;188.745.288
ABN AMRO;10076;b1;;C;3;SAO PAULO;SP;06/2007;1.541.679;9.913.501;22.929.048;49.665.850;-2.611.243;47.054.608;61.700;4.444.497;1.271.463;-76.962;5.700.698;54.119.796;10.699.328;2.028.116;153.986.774;1.271.463;152.715.311
UNIBANCO;10100;b1;;C;2;SAO PAULO;SP;06/2007;1.591.765;27.281.501;18.991.543;43.238.502;-2.625.739;40.612.763;121.890;4.928.105;1.706.168;-104.032;6.652.130;19.644.709;7.075.211;6.086.572;127.936.192;1.706.168;126.230.025
SANTANDER BANESPA;30379;b1;;C;3;SAO PAULO;SP;06/2007;921.910;27.301.012;21.240.143;35.967.062;-1.568.651;34.398.411;24.801;437.106;129.928;-8.699;583.136;25.529.340;6.423.323;1.805.627;118.202.902;129.928;118.072.974
SAFRA;10083;b1;;C;2;SAO PAULO;SP;06/2007;343.616;6.703.636;29.928.407;20.928.361;-598.501;20.329.860;69.051;8.295.778;3.643.830;-238.414;11.770.245;3.358.727;2.197.881;801.949;75.434.320;3.643.830;71.790.490
HSBC;51152;b1;;C;3;CURITIBA;PR;06/2007;1.231.072;8.367.075;13.664.823;23.814.860;-1.552.656;22.262.205;21.097;1.696.029;449.834;-21.281;2.145.679;11.955.937;6.967.247;1.854.841;68.448.880;449.834;67.999.047
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;06/2007;30.701;13.918.716;20.918.629;20.226.008;-459.688;19.766.321;8.467;71.803;26.331;-8.647;97.954;3.359.398;1.866.262;118.304;60.076.285;26.331;60.049.954
CITIBANK;30403;b1;;C;3;SAO PAULO;SP;06/2007;398.259;4.531.929;15.550.258;7.755.271;-618.984;7.136.288;3.108;21.814;1.466;-289;26.099;14.181.819;2.787.170;787.574;45.399.396;1.466;45.397.930
BANCO NOSSA CAIXA S.A.;43073394;b1;;I;1;SAO PAULO;SP;06/2007;305.966;652.274;26.900.929;8.100.435;-784.179;7.316.256;0;0;0;0;0;1.697.257;7.592.835;486.239;44.951.757;0;44.951.757
UBS PACTUAL;49944;b1;;C;3;RIO DE JANEIRO;RJ;06/2007;543.963;11.825.018;11.168.489;1.552.144;-21.713;1.530.431;0;0;0;0;0;7.266.976;316.750;380.693;33.032.322;0;33.032.322
MERRILL LYNCH;51255;b2;;C;3;SAO PAULO;SP;06/2007;1.955;9.200.781;3.998.212;0;0;0;0;0;0;0;0;4.716.820;144;43.452;17.961.365;0;17.961.365
