Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;06/2021;628.168.648;2.456.301;5.219.872;13.925.872;25.969.338;14.636.069;12.509.585;14;74.717.052;589.808;1.603.908;3.632.339;4.299.615;136.985;4.416;25;10.267.096;6.215;28.203;52.634;55.971;7.097;5;0;150.125;905.256;14.191.332;39.041.578;90.950.657;74.756.420;212.887.082;86.294.316;519.026.641;1.021.378;6.252.490;2.052.535;168.386;25.299;24.668;0;9.544.756;63.603;853.016;2.574.131;1.134.460;494.174;409.114;277;5.528.776;1.259.917;2.740.933;2.009.945;1.456.143;723.911;722.560;20.790;8.934.201;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2021;421.557.579;241.855;5.229.633;15.291.706;33.519.208;24.162.487;19.923.809;1.727.423;100.096.122;554.616;3.113.623;8.846.119;12.289.002;6.210.653;3.258.264;379.988;34.652.265;26.549;461.704;1.258.894;1.967.604;476.176;28;96.634;4.287.590;51.639;438.371;1.284.977;3.430.418;3.439.216;17.629.449;19.806.655;46.080.724;1.874.562;25.860.372;5.995.334;362.590;172;0;198.326;34.291.357;1.153.586;20.504.736;55.408.208;56.975.826;28.892.516;25.133.574;237.625;188.306.071;530.171;921.457;2.907.564;2.013.628;1.433.834;1.868.929;127.551;9.803.134;4.040.317
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2021;361.237.397;522.159;4.965.448;13.613.587;23.548.951;11.193.901;5.269.322;1;59.113.368;156.556;2.303.764;5.432.734;5.426.112;1.114.589;72.983;0;14.506.738;294.761;3.089.449;7.974.238;12.140.768;2.260.745;5.728;0;25.765.688;41.956;1.985.317;5.788.445;13.344.628;10.721.952;28.500.926;9.834.307;70.217.531;4.367.111;55.842.494;25.795.971;2.259.985;65.113;153;0;88.330.827;1.978;476.496;772.744;193.413;53.805;23.172;0;1.521.608;2.213.028;7.529.215;7.561.665;7.439.055;2.038.212;503.728;279;27.285.182;74.496.456
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2021;280.873.035;336.744;5.947.406;16.677.122;30.324.780;15.764.969;9.349.806;866;78.401.694;782.904;5.640.240;10.132.278;9.867.177;2.124.634;529.698;1.014;29.077.943;275.692;3.725.321;9.716.809;13.959.206;2.413.778;11.428;32;30.102.266;63.112;2.003.698;5.541.578;12.658.866;10.065.226;26.372.252;9.234.501;65.939.233;3.162.002;26.895.892;9.693.525;1.465.565;135.401;22.548;0;41.374.932;82.173;2.048.210;4.655.838;6.035.568;1.511.907;607.171;0;14.940.867;1.060.056;5.406.496;3.606.011;4.919.276;2.002.585;618.485;11.738;17.624.648;3.411.451
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2021;244.990.954;825.510;3.781.279;10.220.658;18.582.269;10.267.127;7.640.934;981;51.318.759;595.195;1.911.091;4.032.080;5.039.537;1.937.116;574.782;16.728;14.106.530;652.371;6.706.733;17.387.064;26.377.917;5.207.869;29.374;4.420;56.365.748;40.713;1.419.933;4.206.104;9.590.537;7.607.169;19.555.007;6.762.751;49.182.213;1.598.478;24.736.607;9.829.947;975.566;244.828;135.327;43;37.520.796;38.897;1.157.811;2.910.454;2.499.352;1.219.644;907.781;0;8.733.938;1.561.546;5.475.565;5.266.430;5.872.349;3.413.317;2.824.419;144.030;24.557.657;3.205.313
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2021;45.941.356;44.693;105.071;228.890;191.103;10.319;26;0;580.100;35.604;179.761;523.828;588.452;221.762;25.498;0;1.574.905;640.823;5.076.027;12.729.860;18.746.110;3.009.792;6.554;0;40.209.167;0;0;0;0;0;0;0;0;492.544;1.993.527;914.168;103.437;192;0;0;3.503.868;0;255;371;3.563;1.204;0;0;5.392;1.119;3.594;32.298;15.468;8.406;6.961;79;67.924;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2021;33.448.232;116.788;849.442;2.419.975;4.535.438;2.482.919;1.355.847;0;11.760.409;88.172;368.029;713.497;370.945;232.127;7.031;0;1.779.800;315.776;1.751.813;4.306.523;6.163.001;941.428;882;0;13.479.423;935;8.975;8.383;18.104;13.031;26.274;3.718;79.419;754.041;3.627.919;654.593;11.275;540;2;0;5.048.370;17;1.285;70.694;137.457;4.315;25.997;0;239.764;15.916;101.050;118.365;215.975;70.656;61.120;1.212;584.294;476.752
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2021;28.108.556;60.062;1.069.011;3.048.699;6.359.932;3.943.235;2.724.410;67;17.205.416;46.511;427.550;688.147;247.315;53.083;17.277;26;1.479.907;63;1.393;3.230;5.161;993;0;0;10.840;2.702;66.515;157.839;409.961;384.283;1.518.204;1.156.043;3.695.547;69.599;1.116.612;328.391;4.410;0;0;0;1.519.011;15.079;575.102;871.093;681.482;308.378;226.918;45.281;2.723.333;78.545;896.914;187.540;155.982;78.566;76.893;61;1.474.502;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2021;27.702.339;40.647;581.726;1.642.804;3.198.165;1.772.233;958.236;0;8.193.812;12.938;621.092;1.356.043;1.378.622;326.663;26.644;0;3.722.002;118.625;1.779.468;4.647.405;6.724.086;1.011.375;1.405;0;14.282.365;2;536;1.810;4.389;4.185;16.287;14.157;41.367;37.442;708.581;281.107;14.841;2.010;0;0;1.043.981;21;38.171;90.800;67.904;40.994;11.815;0;249.705;5.346;104.539;55.513;1.351;0;767;0;167.516;1.590
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;06/2021;16.627.091;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;12.977.819;3.401.431;1.567;0;0;0;16.380.818;0;0;0;0;0;0;0;0;177.769;41.909;24.362;2.233;0;0;0;246.273;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2021;15.757.223;26.680;442.471;1.141.985;2.550.247;1.995.404;2.942.286;0;9.099.073;34.435;417.916;584.107;890.258;434.752;423.617;0;2.785.086;343;5.016;12.653;18.919;3.200;0;0;40.130;309;45.271;105.896;284.894;277.125;1.210.351;1.114.794;3.038.639;0;0;0;0;0;0;0;0;2.456;34.885;146.304;44.985;37.561;52.625;0;318.816;14.449;34.377;132.561;53.727;37.649;96.642;106.074;475.478;0
