Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;06/2022;723.569.761;616.014;4.247.264;10.223.783;24.470.077;20.557.426;30.092.065;6;90.206.635;184.698;2.193.579;5.145.190;5.554.511;845.354;22.824;0;13.946.156;2.636;12.282;28.425;41.581;7.479;56;0;92.460;1.203.139;15.620.182;42.732.999;99.980.640;82.539.790;237.170.689;97.096.339;576.343.778;1.449.694;7.311.168;2.384.465;173.223;29.738;28.821;0;11.377.109;118.610;1.931.385;6.592.364;4.357.151;3.618.947;2.946.431;0;19.564.889;1.126.272;5.205.277;2.106.153;1.568.778;912.825;1.105.658;13.773;12.038.735;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2022;499.579.279;301.449;5.818.275;16.816.658;37.273.019;27.651.621;22.075.289;746.762;110.683.072;924.843;3.798.196;10.281.500;14.772.424;7.457.551;3.664.033;366.750;41.265.298;35.780;471.140;1.239.263;1.879.835;442.984;18;104.809;4.173.829;51.787;450.949;1.317.541;3.520.063;3.534.423;18.132.977;19.046.590;46.054.330;4.896.433;36.933.481;9.108.208;802.103;54;0;290.787;52.031.066;1.038.605;31.359.177;71.827.620;62.407.700;34.846.009;27.901.390;240.552;229.621.052;684.057;1.065.485;3.820.984;2.237.980;1.722.076;2.130.695;136.238;11.797.514;3.953.116
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2022;460.756.358;538.820;6.052.353;16.039.327;27.993.060;13.838.238;6.095.459;0;70.557.258;655.264;3.894.180;7.148.658;7.510.834;1.632.210;66.580;0;20.907.726;538.836;3.924.937;10.000.057;14.673.987;2.815.327;4.752;0;31.957.897;56.378;2.823.780;8.052.019;18.479.769;14.761.953;38.543.641;12.383.699;95.101.239;10.353.264;77.354.341;35.824.356;2.708.684;109.236;145;0;126.350.025;1.724;971.590;1.349.257;564.688;101.889;41.099;0;3.030.247;2.624.068;9.904.187;7.346.915;7.156.485;2.090.257;625.278;1.641;29.748.830;83.103.136
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2022;337.705.879;427.264;6.583.453;18.365.016;33.300.225;17.755.917;9.644.759;1.499;86.078.132;1.397.238;6.891.377;12.236.059;11.912.846;2.376.990;388.379;1.601;35.204.492;449.225;4.368.135;11.127.107;16.105.014;3.069.514;16.368;30;35.135.394;72.379;2.178.592;6.391.350;14.617.721;11.665.174;30.783.033;11.348.652;77.056.903;6.578.468;38.019.362;14.446.555;2.512.458;224.518;46.779;0;61.828.142;88.860;2.298.950;5.429.340;6.031.859;1.629.399;674.435;0;16.152.842;1.862.216;7.000.910;4.392.621;5.738.923;2.051.728;501.264;670;21.548.331;4.701.644
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2022;272.574.172;1.057.618;4.172.473;11.128.430;19.946.732;10.841.805;7.301.722;709;54.449.489;1.315.942;2.179.778;4.443.269;5.540.536;2.129.342;858.966;19.272;16.487.105;940.508;7.048.712;17.895.335;26.197.106;5.006.983;38.539;4.835;57.132.017;75.707;1.590.715;4.653.640;10.607.359;8.423.120;21.671.115;7.318.080;54.339.737;2.780.083;28.446.256;11.921.488;1.535.972;395.550;435.643;49;45.515.040;28.285;1.358.009;2.804.392;2.666.713;1.312.108;826.284;0;8.995.790;2.682.513;6.583.975;6.758.516;7.723.442;4.161.927;4.077.423;151.958;32.139.754;3.515.239
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2022;47.856.240;37.396;91.710;201.919;159.342;9.016;13;0;499.395;111.524;660.665;1.636.344;2.059.399;579.907;56.724;0;5.104.564;694.540;4.769.026;11.757.910;16.988.398;2.788.259;11.453;0;37.009.586;0;0;0;0;0;0;0;0;916.375;2.680.974;1.303.222;173.075;351;0;0;5.073.998;0;1.339;1.983;1.825;0;0;0;5.147;587;61.347;78.263;11.883;6.323;5.095;53;163.550;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2022;38.458.785;78.494;666.529;1.783.436;3.247.048;1.688.007;816.307;0;8.279.821;288.546;1.151.122;1.969.579;2.279.413;685.074;80.253;0;6.453.988;476.778;2.071.223;4.975.217;6.796.419;882.515;1.799;0;15.203.950;324;2.785;7.092;15.137;10.707;21.821;3.600;61.466;1.253.320;4.456.935;1.553.846;57.813;986;6;0;7.322.905;39;4.888;123.233;175.735;2.079;30.737;0;336.711;31.212;110.656;68.875;96.150;56.469;40.276;555;404.193;395.751
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2022;35.597.516;39.579;621.478;1.702.969;3.236.345;1.823.029;866.151;0;8.289.552;49.599;1.109.386;2.525.496;3.011.142;933.184;139.949;0;7.768.757;136.722;2.077.029;5.328.069;7.775.970;1.265.805;1.587;0;16.585.183;332;10.162;29.582;77.596;74.513;298.040;274.942;765.168;135.397;975.882;392.385;23.026;4.019;12;0;1.530.720;58;41.557;51.014;65.373;42.045;13.918;0;213.965;21.076;157.234;249.039;8.413;500;855;0;437.116;7.055
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2022;33.846.288;63.388;1.206.846;3.392.676;6.995.492;4.515.213;3.634.306;166;19.808.087;106.574;324.209;512.247;316.701;103.943;36.105;144;1.399.924;39;1.463;2.690;4.114;1.052;8;0;9.366;2.807;81.621;186.504;488.242;464.285;1.872.969;1.544.340;4.640.768;101.719;1.293.916;393.157;7.744;0;0;0;1.796.536;24.854;1.070.746;1.705.087;990.812;404.034;389.693;21.468;4.606.695;87.243;961.452;198.954;182.114;77.914;77.189;47;1.584.913;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S3;41;SAO PAULO;SP;06/2022;29.345.678;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;23.560.711;5.698.606;1.635;0;0;0;29.260.952;0;0;0;0;0;0;0;0;52.761;16.849;14.033;1.082;2;0;0;84.726;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;06/2022;21.115.485;25.767;488.078;572.836;750.418;5.068.343;3.043.315;0;9.948.757;128.376;1.520.832;639.063;943.848;419.713;203.371;55.595;3.910.799;373;4.387;11.149;15.993;3.113;9;0;35.024;638;73.661;162.768;431.895;420.091;1.855.413;1.714.545;4.659.010;270.017;92.307;67.885;23.990;6.823;103;0;461.125;416;41.947;187.590;65.359;59.856;69.720;0;424.889;37.383;79.169;217.823;289.126;254.673;770.250;27.458;1.675.882;0
