Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2022;467.720.391;399.891;12.522.224;28.357.832;33.599.682;5.900.178;1.761.791;114.696;82.656.294;58.966;2.266.033;6.037.207;9.253.826;2.043.542;32.730;3.038;19.695.342;977.944;12.955.122;76.214;0;0;0;0;14.009.279;108.405;21.724.522;6.487.469;693.537;88.888;21;0;29.102.843;14.779;7.655.070;10.046.316;6.667.954;3.924.775;8.037.671;0;36.346.564;878.619;5.565.908;8.172.279;5.107.142;1.020.264;662.510;24.241;21.430.962;48.011;1.187.482;3.040.620;3.645.305;1.722.523;2.452.546;109.417;12.205.903;3.635;1.084.184;2.490.546;1.126.034;344.826;174.451;0;5.223.676;22.684;677.083;1.421.077;1.241.424;69.072;58.538;4.101;3.493.980;243.555.546
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2022;332.342.414;1.189.180;14.094.024;32.002.433;38.733.164;6.733.637;2.429.195;600.033;95.781.666;183.704;4.095.811;9.690.255;13.104.841;3.215.534;168.475;1;30.458.621;646.735;6.568.806;484.254;33;0;0;0;7.699.828;433.756;29.131.565;7.201.400;69.020;3.443;0;0;36.839.184;85.567;9.138.017;18.773.725;6.968.711;5.548.927;936.317;0;41.451.263;639.732;5.526.224;6.830.196;1.455.096;294.852;11.371;1;14.757.473;17.058;1.614.859;4.078.453;6.245.123;3.305.671;5.049.825;152.597;20.463.587;571;2.215.663;614.305;348.079;191.829;100.975;0;3.471.423;41.457;162.815;759.164;3.046.351;118.554;77.554;2.281;4.208.175;77.211.192
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2022;296.112.277;687.097;10.826.785;29.034.109;35.123.109;6.309.356;1.626.971;346.974;83.954.402;39.619;1.669.966;5.882.629;12.615.908;10.670.183;26.028.486;584.074;57.490.865;198.574;1.926.398;534.984;14.113;0;0;10.157;2.684.227;190.236;7.145.765;2.769.838;302.860;0;0;7;10.408.706;118.626;8.188.016;21.087.504;9.296.414;4.819.148;913.244;0;44.422.952;670.708;9.615.689;3.035.694;3.596.861;2.880.625;6.272.362;725.563;26.797.501;77.581;1.294.903;3.826.251;6.381.621;3.268.690;14.232.960;3.640.404;32.722.409;6.280;1.839.053;2.291.553;1.659.146;907.267;1.060.452;439;7.764.189;0;6.170;111.917;418.065;30.368;0;0;566.520;29.300.504
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;06/2022;273.934.982;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;164.807;8.859.735;18.120.861;45.786.039;41.611.279;123.947.202;34.204.443;272.694.366;0;34.720;84.939;174.917;186.164;759.876;0;1.240.616;0;0;0;0;0;0;0;0;0
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;06/2022;198.291.748;615.147;6.781.639;19.697.274;33.602.710;4.903.681;1.971.511;107;67.572.070;7.947;148.391;335.124;850.637;489.087;85.530;0;1.916.715;221.365;454.839;1.489.694;24.893;0;0;0;2.190.791;1.796;43.187;2.503;0;0;0;0;47.485;43.520;1.004.515;2.322.323;1.218.888;120.791;0;0;4.710.037;209.517;1.147.175;3.672.899;2.279.657;547.770;463.408;1.981;8.322.408;84.897;8.665.644;8.725.584;20.067.235;16.611.383;37.282.335;5.602.718;97.039.797;11.576;2.051.172;2.625.436;268.709;216.155;275.526;0;5.448.574;51.424;4.495.446;3.781.233;2.595.160;78.354;42.150;104;11.043.871;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2022;195.242.118;567.987;7.191.948;10.993.153;13.674.355;2.703.076;1.104.385;17.337;36.252.241;178.251;1.632.211;4.196.122;6.417.537;1.846.636;2.418.497;852.915;17.542.168;450.777;4.857.186;1.201.958;242.855;109.426;111.122;9.222;6.982.547;108.563;20.929.907;6.825.739;180.444;49.591;17.712;8.255;28.120.211;10.523;6.865.286;6.925.579;2.891.234;1.663.255;83.200;0;18.439.077;917.502;3.104.749;3.017.935;3.360.981;1.359.853;3.180.593;25.683;14.967.296;190.908;588.829;1.309.073;1.345.547;536.057;198.050;131;4.168.595;3.309;1.345.951;2.942.205;616.412;146.344;82.810;466;5.137.497;28.717;85.994;223.171;229.483;5.565;27.224;0;600.154;63.032.333
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2022;81.810.184;154.694;5.278.456;10.024.027;10.780.932;1.981.523;520.026;0;28.739.659;8.756;766.974;1.596.104;1.891.147;468.196;9.772;0;4.740.949;74.603;975.000;240.926;0;0;0;0;1.290.529;48.228;9.189.432;2.933.953;42.314;45;0;0;12.213.971;25.532;3.360.232;4.186.784;3.785.791;2.094.138;460.865;0;13.913.342;49.523;595.084;2.306.575;1.299.246;356.003;31.085;0;4.637.516;34.617;208.227;623.722;1.004.423;469.072;206.778;0;2.546.839;0;162.548;384.363;281.259;179.746;197.326;0;1.205.242;0;9.520;73.702;256.969;50.787;0;0;390.978;12.131.159
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2022;71.093.903;24.762;1.740.026;2.795.363;5.124.878;2.034.935;539.898;0;12.259.861;40.843;6.682;15.263;14.039;1.268;39;0;78.134;1.567;68.118;51.751;728.186;451.302;275.892;0;1.576.816;8.271;12.965.432;6.005.205;82.223;1.477;1.591;0;19.064.198;72.806;2.292.356;2.491.669;2.504.530;357.266;34.143;0;7.752.770;151.132;197.179;1.085.478;2.537.865;260.950;1.937;0;4.234.541;1.809;89.629;243.395;529.389;327.303;1.958.091;1.278.100;4.427.716;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;21.699.865
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;06/2022;30.039.977;72.726;1.698.150;3.957.934;4.254.279;154.767;4.567;2;10.142.424;4.984;261.280;656.303;1.029.748;296.277;607;73.355;2.322.556;31.190;1.122.889;1.092.837;3.778;0;0;0;2.250.695;51.304;9.285.739;919.299;45.456;139;0;0;10.301.937;3.224;867.237;1.184.111;335.844;12.375;0;0;2.402.792;6.811;21.970;13.193;20.456;2.318;0;0;64.748;463;29.091;68.168;113.047;30.233;34;0;241.036;0;24.415;281.150;96.612;0;0;0;402.177;0;0;0;0;0;0;0;0;1.911.614
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;06/2022;27.216.626;0;1.305.147;2.082.788;1.036.309;278.586;13.384;0;4.716.214;0;2.404;6.999;6.658;339;0;0;16.400;0;136.275;239.620;0;0;0;0;375.896;4.059;8.178.092;1.713.733;722;124;0;0;9.896.730;0;2.388.492;4.129.946;2.746.683;1.126.960;523.740;0;10.915.821;8.229;679.454;336.879;0;0;0;18;1.024.580;0;0;0;0;0;0;0;0;0;83.165;150.814;37.006;0;0;0;270.985;0;0;0;0;0;0;0;0;0
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;06/2022;23.632.136;42.648;1.451.571;3.263.208;3.229.584;384.294;23.039;0;8.394.345;14.857;198.777;453.619;616.205;43.841;0;0;1.327.299;10.458;167.713;129.683;0;0;0;0;307.853;0;909.418;554.425;0;0;0;0;1.463.843;0;929.548;2.428.127;1.194.039;109.583;611;0;4.661.909;3.213;949.473;183.708;237.652;58.886;76.941;0;1.509.872;175;44.088;144.361;278.922;142.659;10.114;0;620.318;0;298.793;824.788;238.678;105.115;111.649;0;1.579.022;0;0;0;0;0;0;0;0;3.767.675
BANCO VOLKSWAGEN S.A.;59.109.165;b2;I;3;S3;8;SAO PAULO;SP;06/2022;17.038.023;585;44.855;89.432;93.579;1.169;0;0;229.619;42.863;1.162.782;3.475.024;6.218.035;1.894.621;5.007;0;12.798.331;0;0;0;0;0;0;0;0;579;841.081;2.242.450;985;178;0;0;3.085.273;0;0;0;0;0;0;0;0;0;48.926;0;0;0;0;0;48.926;6.567;116.311;284.737;324.403;141.281;2.575;0;875.874;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
MERCEDES-BENZ;51.262;b2;C;3;S3;198;SAO BERNARDO DO CAMPO;SP;06/2022;15.159.430;15.121;62.778;155.420;208.712;12.474;0;0;454.505;39.667;769.619;2.141.897;4.304.555;1.425.153;16.063;0;8.696.953;0;0;0;0;0;0;0;0;1.491;1.641.234;1.205.549;0;0;0;0;2.848.275;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;6.956;289.618;839.163;1.405.265;571.477;47.217;0;3.159.697;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2022;14.778.178;8.879;471.254;882.022;1.162.336;137.235;36.772;0;2.698.498;17.302;230.940;633.775;864.016;227.682;19.225;0;1.992.939;0;34;7.231;0;0;0;0;7.266;9.515;1.490.306;448.394;50.025;0;0;0;1.998.240;0;657.515;1.914.317;1.490.860;282.387;6.068;0;4.351.147;18.384;282.341;186.293;322.136;146.640;388.271;550.316;1.894.380;0;51.105;206.199;259.393;49.327;525;0;566.549;0;83.842;121.617;68.567;36.660;7.010;0;317.695;0;0;0;0;0;0;0;0;951.464
