Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;06/2023;839.746.427;605.694;5.611.111;14.140.738;28.797.009;23.413.368;29.858.667;0;102.426.587;202.193;2.180.043;4.583.441;4.251.874;936.771;5.958;0;12.160.281;2.020;9.372;23.067;37.907;13.094;56;0;85.517;1.782.971;18.126.680;48.222.118;113.015.422;93.480.262;273.275.131;112.672.613;660.575.196;2.071.889;8.499.809;2.808.473;200.854;33.424;30.079;0;13.644.528;340.670;4.781.971;9.760.387;10.952.901;7.802.033;4.516.076;0;38.154.037;2.078.245;4.148.018;2.222.865;1.726.304;1.059.434;1.456.965;8.452;12.700.282;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;06/2023;570.671.276;333.136;6.450.081;18.308.763;41.650.617;30.660.886;23.143.822;459.927;121.007.232;1.451.853;4.281.338;11.479.520;16.603.706;8.249.186;3.931.264;471.309;46.468.176;49.363;449.516;1.184.370;1.844.538;490.086;1.040;139.541;4.158.454;58.155;465.292;1.348.303;3.639.644;3.641.950;18.771.318;18.346.775;46.271.436;5.528.879;38.968.906;9.679.478;693.781;11;0;449.344;55.320.398;1.984.009;43.163.062;84.684.919;75.189.460;41.799.072;31.836.770;334.127;278.991.419;923.134;1.220.157;4.554.046;2.710.193;2.076.613;3.041.091;149.995;14.675.229;3.778.933
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;06/2023;494.728.725;475.564;6.868.619;17.960.193;30.406.915;14.638.911;4.566.621;0;74.916.823;548.656;3.560.315;7.966.832;8.335.251;1.784.553;203.333;0;22.398.941;700.598;4.210.110;10.497.057;14.525.067;2.480.725;9.943;0;32.423.500;92.134;3.470.436;9.791.418;22.341.729;17.631.235;44.725.475;13.287.604;111.340.030;12.089.550;78.943.041;35.279.673;1.980.661;59.930;239;0;128.353.094;10.545;1.262.017;2.245.028;733.725;155.279;49.656;0;4.456.250;3.381.785;11.802.468;8.544.914;9.428.894;3.165.530;942.483;11.743;37.277.816;83.562.270
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;06/2023;356.930.410;388.975;7.164.073;19.616.490;34.778.679;18.559.302;9.331.283;2.773;89.841.575;1.796.846;6.326.126;11.491.481;11.669.386;2.205.894;404.417;1.662;33.895.813;637.059;4.442.813;10.994.884;15.115.014;2.314.770;8.944;26;33.513.510;109.214;2.560.080;6.911.666;15.912.754;12.630.079;37.096.844;7.214.201;82.434.838;10.878.852;40.185.376;15.327.032;3.160.847;746.413;88.968;0;70.387.488;217.902;3.531.945;4.053.521;7.383.167;1.587.838;499.649;0;17.274.023;2.220.870;7.032.661;4.776.740;6.669.344;2.423.201;620.940;747;23.744.503;5.838.661
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;06/2023;285.623.567;1.142.942;4.837.055;12.840.611;22.915.760;12.428.865;7.364.255;1.159;61.530.647;981.918;2.101.574;4.111.562;5.499.087;2.223.649;900.307;22.457;15.840.554;1.034.880;7.357.465;18.531.980;26.395.182;4.933.623;43.239;5.551;58.301.920;99.124;1.728.236;5.021.746;11.492.083;9.060.022;23.027.738;7.395.757;57.824.705;2.772.285;29.253.890;12.047.167;1.698.057;533.080;660.071;56;46.964.606;126.647;1.519.257;2.361.752;3.184.733;1.654.258;782.863;0;9.629.510;2.507.317;6.437.179;6.411.740;7.540.147;4.176.142;4.373.365;147.385;31.593.274;3.938.350
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;06/2023;52.625.954;28.629;94.358;203.605;173.252;11.635;32;0;511.509;198.025;968.385;2.390.614;3.059.056;728.297;94.076;0;7.438.452;777.386;5.035.897;12.287.062;17.800.808;3.123.452;24.907;0;39.049.511;0;0;0;0;0;0;0;0;1.348.024;2.657.835;1.317.439;181.952;527;0;0;5.505.777;0;267;306;1.391;0;0;0;1.964;8.409;52.171;41.494;8.790;4.619;3.247;10;118.740;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;06/2023;40.437.824;110.605;798.082;2.086.217;3.177.014;1.569.923;715.375;0;8.457.216;374.213;520.317;1.035.422;1.119.215;359.614;26.393;765;3.435.939;637.212;2.606.032;6.122.084;7.991.385;1.152.813;967;0;18.510.492;625;2.436;6.149;12.829;9.264;17.645;1.974;50.922;1.096.089;4.377.456;1.426.908;373.327;629.280;1.230.860;0;9.133.919;76;19.916;66.575;38.672;0;5.669;0;130.908;22.953;127.763;62.637;115.915;48.986;32.679;404;411.337;307.090
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;06/2023;39.859.665;60.327;1.286.616;3.576.042;7.166.663;4.690.970;3.156.945;530;19.938.093;121.310;439.719;707.699;435.093;150.032;53.542;1.356;1.908.750;124;1.152;2.771;4.225;1.237;8;0;9.516;4.027;91.297;204.348;540.615;513.242;2.073.751;1.735.380;5.162.661;185.056;1.456.915;456.763;11.528;0;0;0;2.110.262;167.288;1.940.506;3.904.135;1.607.356;721.380;723.484;10.874;9.075.021;97.872;1.017.277;200.368;180.920;82.699;75.865;361;1.655.361;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S3;41;SAO PAULO;SP;06/2023;38.596.726;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;30.101.530;8.469.156;3.537;0;0;0;38.574.223;0;0;0;0;0;0;0;0;11.360;4.728;5.451;965;0;0;0;22.503;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;06/2023;36.603.728;41.404;668.741;1.805.145;3.342.461;1.835.530;600.128;0;8.293.410;56.390;1.159.319;2.336.824;2.647.651;683.523;122.158;0;7.005.865;225.962;2.327.602;5.900.062;8.553.911;1.208.291;810;0;18.216.639;551;10.762;30.423;79.486;75.247;294.642;259.075;750.186;268.570;878.657;428.923;11.723;354;0;0;1.588.226;799;50.766;71.126;68.889;43.128;15.026;0;249.736;22.927;257.125;147.342;33.445;21.820;705;0;483.364;16.302
C6 BANK;52.072;b1;C;2;S3;199;SAO PAULO;SP;06/2023;33.630.698;26.328;1.030.570;2.796.853;5.422.099;3.154.475;1.269.049;0;13.699.374;35.701;644.165;1.429.302;2.043.687;753.204;335.397;141;5.241.597;23.352;472.931;1.269.337;2.248.691;544.175;1.734;0;4.560.220;0;0;0;0;0;0;0;0;1.557.156;5.674.354;2.406.155;94.612;15.391;4;0;9.747.671;0;0;0;0;0;0;0;0;53.175;36.901;144.074;56.150;30.625;54.236;6.675;381.836;0
