Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Adicional de Capital Principal;Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;C;2;SAO PAULO;SP;06/2023;155.372.139;18.298.299;173.670.439;19.157.993;192.828.432;1.146.946.082;5.380.228;1.282.178;15.733.221;4.199.244;26.594.871;101.301.760;1.274.842.713;2.382.727.208;12,19%;13,62%;15,13%;44.619.495;7,29%;20,04%
BB - PRUDENCIAL;1000080329;b1;S1;C;1;BRASILIA;DF;06/2023;135.501.305;21.266.173;156.767.478;17.602.139;174.369.617;943.497.372;10.350.393;2.070.724;8.472.978;7.880;20.901.976;144.910.497;1.109.309.844;2.126.615.579;12,21%;14,13%;15,72%;38.825.845;7,37%;17,47%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;C;2;OSASCO;SP;06/2023;109.281.132;13.968.958;123.250.090;25.358.381;148.608.470;855.319.453;7.672.854;178.621;8.090.640;1.900.440;17.842.556;82.977.742;956.139.751;1.664.284.137;11,43%;12,89%;15,54%;33.464.891;7,41%;24,43%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;C;1;BRASILIA;DF;06/2023;101.861.456;1.713.241;103.574.697;19.535.452;123.110.149;665.670.829;229.420;0;4.465.959;34.619;4.729.998;73.124.037;743.524.865;1.806.127.761;13,70%;13,93%;16,56%;26.023.370;5,73%;9,30%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;C;3;SAO PAULO;SP;06/2023;72.686.485;6.204.961;78.891.446;13.078.351;91.969.797;591.716.985;17.359.084;1.168.795;12.152.308;4.013.594;34.693.781;56.759.720;683.170.487;1.099.482.052;10,64%;11,55%;13,46%;23.910.967;7,18%;21,08%
BNDES - PRUDENCIAL;1000081847;b4;S2;C;1;RIO DE JANEIRO;RJ;06/2023;147.990.661;0;147.990.661;31.607.390;179.598.051;418.281.335;15.517.822;0;4.680.107;0;20.197.928;83.983.358;522.462.622;835.762.764;28,33%;28,33%;34,38%;13.062.466;17,71%;1,11%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;C;2;RIO DE JANEIRO;RJ;06/2023;42.284.457;438.285;42.722.742;10.589.000;53.311.742;240.865.534;1.397.160;18.467.428;52.415.885;6.792.482;79.072.955;25.615.023;345.553.511;566.160.326;12,24%;12,36%;15,43%;8.638.838;7,55%;25,20%
SAFRA - PRUDENCIAL;1000080109;b1;S2;C;2;SAO PAULO;SP;06/2023;23.741.636;2.673.149;26.414.785;3.565.196;29.979.981;137.283.205;1.070.716;0;9.661.325;776.209;11.508.251;13.447.431;162.238.886;270.334.172;14,63%;16,28%;18,48%;4.055.972;9,77%;26,11%
CITIBANK - PRUDENCIAL;1000080192;b1;S2;C;3;SAO PAULO;SP;06/2023;12.873.179;0;12.873.179;0;12.873.179;59.117.477;534.049;0;16.610.600;201.622;17.346.271;12.036.231;88.499.979;164.499.198;14,55%;14,55%;14,55%;2.212.499;7,83%;2,41%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;C;1;FORTALEZA;CE;06/2023;9.325.505;790.489;10.115.994;1.369.563;11.485.556;72.025.004;187.917;4.547;0;112.962;305.426;14.995.376;87.325.806;124.218.884;10,68%;11,58%;13,15%;2.183.145;8,14%;2,52%
VOTORANTIM - PRUDENCIAL;1000080484;b1;S2;C;2;SAO PAULO;SP;06/2023;10.000.027;729.152;10.729.179;910.975;11.640.154;72.867.868;42.980;0;398.599;30.204;471.783;6.103.443;79.443.093;165.529.369;12,59%;13,51%;14,65%;1.986.077;6,48%;8,07%
JP MORGAN CHASE - PRUDENCIAL;1000080116;b1;S3;C;3;SAO PAULO;SP;06/2023;8.768.347;0;8.768.347;0;8.768.347;22.873.962;1.307.392;0;24.896.174;1.014.436;27.218.002;6.260.436;56.352.400;82.026.031;15,56%;15,56%;15,56%;1.408.810;10,69%;1,07%
BANRISUL - PRUDENCIAL;1000080154;b1;S2;C;1;PORTO ALEGRE;RS;06/2023;7.411.283;0;7.411.283;1.422.383;8.833.666;44.947.815;1.422.339;0;367.262;51.580;1.841.181;8.182.556;54.971.552;118.364.975;13,48%;13,48%;16,07%;1.374.289;6,26%;11,25%
BCO DAYCOVAL S.A - PRUDENCIAL;1000081744;b1;S3;C;2;SAO PAULO;SP;06/2023;5.961.173;1.045.144;7.006.317;0;7.006.317;44.214.584;559.280;0;563.262;0;1.122.542;4.043.819;49.380.946;75.076.990;12,07%;14,19%;14,19%;1.234.524;9,33%;15,88%
BCO RABOBANK INTL BRASIL S.A. - PRUDENCIAL;1000081555;b1;S3;I;3;SAO PAULO;SP;06/2023;5.236.004;1.667.827;6.903.830;0;6.903.830;40.537.625;537.518;424.974;3.190.450;0;4.152.942;2.714.165;47.404.732;55.889.656;11,05%;14,56%;14,56%;1.185.118;12,35%;0,27%
ABC-BRASIL - PRUDENCIAL;1000080312;b1;S3;C;3;SAO PAULO;SP;06/2023;5.143.070;545.596;5.688.666;904.020;6.592.685;38.110.357;242.894;1.100.523;1.908.415;719;3.252.551;2.708.656;44.071.564;64.096.296;11,67%;12,91%;14,96%;1.101.789;8,88%;0,63%
XP INVESTIMENTOS CCTVM S/A - PRUDENCIAL;1000082475;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2023;8.207.700;0;8.207.700;662.847;8.870.548;27.162.996;81.725;0;3.407.357;103.860;3.592.942;13.077.461;43.833.399;164.790.251;18,72%;18,72%;20,24%;1.095.835;4,98%;2,79%
BCO DA AMAZONIA S.A. - PRUDENCIAL;1000081249;b1;S3;I;1;BELEM;PA;06/2023;5.357.428;0;5.357.428;0;5.357.428;34.496.639;1.072;0;1.003;1.262;3.337;5.385.978;39.885.954;56.378.144;13,43%;13,43%;13,43%;997.149;9,50%;3,97%
NU FINANCEIRA S.A. - SOCIEDADE DE CRÉDITO, FINANCIAMENTO E INVESTIMENTO;30680829;n1;S3;I;2;SAO PAULO;SP;06/2023;5.896.973;777.670;6.674.643;1.054.270;7.728.913;28.570.481;172.276;0;192.512;0;364.789;9.375.319;38.310.589;NA;15,39%;17,42%;20,17%;957.765;NA%;1,86%
BNP PARIBAS - PRUDENCIAL;1000080673;b1;S3;C;3;SAO PAULO;SP;06/2023;3.977.022;972.981;4.950.003;862.979;5.812.982;28.383.078;512.925;8.775;4.066.486;12.292;4.600.479;4.480.156;37.463.712;54.302.308;10,62%;13,21%;15,52%;936.593;9,12%;1,24%
BCO CLASSICO S.A. - PRUDENCIAL;1000081665;b1;S3;C;2;RIO DE JANEIRO;RJ;06/2023;14.483.555;0;14.483.555;0;14.483.555;1.416.305;0;0;114;32.076.490;32.076.604;99.949;33.592.858;22.338.069;43,11%;43,11%;43,11%;839.821;64,84%;2,35%
VOLKSWAGEN - PRUDENCIAL;1000080202;b2;S3;C;3;SAO PAULO;SP;06/2023;3.161.610;0;3.161.610;685.001;3.846.611;31.529.400;0;0;0;0;0;1.595.962;33.125.361;39.970.649;9,54%;9,54%;11,61%;828.134;7,91%;0,18%
BANCO C6 - PRUDENCIAL;1000084844;b1;S3;C;2;SAO PAULO;SP;06/2023;3.068.910;0;3.068.910;493.190;3.562.100;29.057.642;41.064;2.072;66.763;0;109.900;2.162.765;31.330.306;60.517.933;9,80%;9,80%;11,37%;783.258;5,07%;15,87%
CREDIT SUISSE - PRUDENCIAL;1000080219;b1;S3;C;3;SAO PAULO;SP;06/2023;6.285.255;0;6.285.255;0;6.285.255;13.326.044;1.291.932;0;6.695.660;1.989.843;9.977.436;3.772.035;27.075.515;41.063.225;23,21%;23,21%;23,21%;676.888;15,31%;1,33%
BCO COOPERATIVO SICREDI - PRUDENCIAL;1000080745;b1;S3;C;2;PORTO ALEGRE;RS;06/2023;3.756.699;225.834;3.982.533;282.537;4.265.070;23.807.042;63.923;0;322.029;0;385.952;2.713.058;26.906.052;170.195.975;13,96%;14,80%;15,85%;672.651;2,34%;2,26%
INTER - PRUDENCIAL;1000080996;b1;S3;C;2;BELO HORIZONTE;MG;06/2023;5.959.738;0;5.959.738;0;5.959.738;22.597.089;35.862;0;314.030;0;349.892;3.163.982;26.110.963;47.539.303;22,82%;22,82%;22,82%;652.774;12,54%;8,11%
BRB - PRUDENCIAL;1000080288;b1;S3;C;1;BRASILIA;DF;06/2023;2.061.139;413.062;2.474.200;1.413.691;3.887.891;24.360.413;20.259;0;0;0;20.259;1.623.265;26.003.936;48.136.642;7,93%;9,51%;14,95%;650.098;5,14%;10,60%
BMG - PRUDENCIAL;1000080178;b1;S3;C;2;SAO PAULO;SP;06/2023;2.269.059;110.880;2.379.939;664.351;3.044.290;22.482.360;58.254;0;280.044;19.869;358.167;1.846.019;24.686.546;41.182.287;9,19%;9,64%;12,33%;617.164;5,78%;43,34%
BANCOOB - PRUDENCIAL;1000080879;b1;S3;C;2;BRASILIA;DF;06/2023;3.384.710;0;3.384.710;0;3.384.710;19.457.792;66.284;0;1.955;0;68.240;4.212.995;23.739.027;123.782.265;14,26%;14,26%;14,26%;593.476;2,73%;14,63%
BOFA MERRILL LYNCH - PRUDENCIAL;1000080556;b1;S3;C;3;SAO PAULO;SP;06/2023;4.944.790;0;4.944.790;0;4.944.790;8.944.700;290.170;0;10.054.475;0;10.344.645;4.094.099;23.383.444;37.771.778;21,15%;21,15%;21,15%;584.586;13,09%;1,74%
ORIGINAL - PRUDENCIAL;1000080903;b1;S3;C;2;SAO PAULO;SP;06/2023;2.183.046;0;2.183.046;870.716;3.053.763;17.068.482;84.416;0;123.217;0;207.632;5.344.230;22.620.344;37.314.770;9,65%;9,65%;13,50%;565.509;5,85%;5,51%
