Instituição;Código;TCB;SR;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;Exposição Total (j);Índice de Capital Principal (k) = (a) / (i);Índice de Capital Nível I (l) = (c) / (i);Índice de Basileia (m) = (e) / (i);Razão de Alavancagem (n) = (c) / (j);Índice de Imobilização (o);
;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;RWA para Risco Operacional (h);Ativos Ponderados pelo Risco (RWA) (i) = (f) + (g) + (h);;;;;;;
;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4);;;;;;;;;
BB;49906;b1;;C;1;BRASILIA;DF;09/2014;71.554.347;17.255.944;88.810.291;34.902.756;123.713.046;720.363.896;7.529.293;15.319;3.773.308;0;11.317.920;39.712.004;771.393.819;NA;9,28%;11,51%;16,04%;NA%;21,97%
ITAU;10069;b1;;C;2;SAO PAULO;SP;09/2014;91.139.811;29.556;91.169.366;33.554.971;124.724.337;687.715.046;12.244.160;1.000.336;12.635.809;967.627;26.847.933;36.817.027;751.380.006;NA;12,13%;12,13%;16,60%;NA%;49,42%
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33657248;b4;;I;1;RIO DE JANEIRO;RJ;09/2014;71.720.858;0;71.720.858;35.860.429;107.581.287;574.298.558;11.327.880;0;6.719.005;0;18.046.885;11.790.262;604.135.706;NA;11,87%;11,87%;17,81%;NA%;37,98%
BRADESCO;10045;b1;;C;2;OSASCO;SP;09/2014;74.126.359;0;74.126.359;21.698.075;95.824.433;534.163.081;3.515.719;696.520;18.232.654;1.162.412;23.607.305;30.979.716;588.750.102;NA;12,59%;12,59%;16,28%;NA%;46,80%
CAIXA ECONOMICA FEDERAL;360305;b1;;I;1;BRASILIA;DF;09/2014;62.380.140;0;62.380.140;11.633.775;74.013.916;456.628.035;2.349.432;0;3.468.831;0;5.818.264;20.267.239;482.713.537;NA;12,92%;12,92%;15,33%;NA%;14,26%
SANTANDER;30379;b1;;C;3;SAO PAULO;SP;09/2014;55.984.874;3.103.104;59.087.978;4.994.560;64.082.538;298.781.577;4.176.702;0;22.815.509;591.845;27.584.056;15.221.781;341.587.414;NA;16,39%;17,30%;18,76%;NA%;27,65%
BTG PACTUAL;49944;b1;;C;2;RIO DE JANEIRO;RJ;09/2014;12.807.960;0;12.807.960;4.545.445;17.353.404;61.610.307;1.324.669;16.580.868;19.186.152;4.055.823;41.147.513;5.862.094;108.619.913;NA;11,79%;11,79%;15,98%;NA%;49,92%
HSBC;51152;b1;;C;3;CURITIBA;PR;09/2014;9.323.933;0;9.323.933;4.189.578;13.513.512;88.260.921;196.697;0;7.090.768;406.712;7.694.178;10.131.588;106.086.687;NA;8,79%;8,79%;12,74%;NA%;29,18%
SAFRA;10083;b1;;C;2;SAO PAULO;SP;09/2014;8.455.110;0;8.455.110;1.981.992;10.437.102;73.950.061;1.810.658;0;1.049.809;64.482;2.924.949;5.124.609;81.999.618;NA;10,31%;10,31%;12,73%;NA%;22,83%
VOTORANTIM;51011;b1;;C;2;SAO PAULO;SP;09/2014;7.343.573;0;7.343.573;3.846.637;11.190.211;66.967.430;229.389;3.891;1.632.773;201.291;2.067.344;4.187.983;73.222.757;NA;10,03%;10,03%;15,28%;NA%;3,66%
