Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;09/2020;584.352.212;2.462.625;5.007.919;13.130.242;23.699.553;12.520.939;9.661.913;69;66.483.261;690.284;1.061.528;2.268.211;2.691.102;228.133;22.014;10.364;6.971.635;26.382;79.916;107.370;94.518;13.934;38;16;322.174;637.934;12.848.662;37.507.033;87.011.697;71.015.085;199.270.839;80.127.609;488.418.858;1.147.643;5.937.273;1.999.287;184.936;23.881;23.671;0;9.316.690;136.775;607.017;1.736.873;574.509;174.328;83.255;597;3.313.355;1.419.693;2.740.999;2.134.881;1.724.816;780.721;693.498;31.629;9.526.238;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2020;382.276.910;226.656;4.753.111;13.841.028;30.124.937;20.863.193;16.598.383;3.557.441;89.964.749;473.893;2.777.860;8.155.128;11.041.151;5.404.670;2.991.678;392.939;31.237.319;32.001;430.164;1.151.522;1.810.912;424.143;22;103.715;3.952.478;56.839;411.177;1.296.453;3.479.395;3.437.992;17.659.477;20.782.563;47.123.896;1.461.480;21.873.882;5.125.730;291.348;241;0;193.690;28.946.370;1.705.212;15.149.846;52.711.111;47.816.162;26.114.813;23.162.142;227.372;166.886.659;500.549;1.071.178;2.819.085;2.011.989;1.400.605;1.714.023;130.924;9.648.354;4.517.085
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2020;318.763.117;482.933;4.560.217;12.349.177;20.531.836;9.299.561;3.523.860;7;50.747.591;319.661;1.746.762;3.969.221;3.466.668;873.628;64.319;0;10.440.259;185.518;2.651.111;6.820.149;10.094.282;1.742.171;4.078;0;21.497.309;36.832;1.618.302;4.591.118;10.494.737;8.237.645;20.304.356;5.638.131;50.921.120;5.901.407;48.275.989;21.813.584;1.512.242;27.695;9;0;77.530.926;749;171.551;729.964;176.671;48.444;29.287;0;1.156.667;2.236.935;8.444.344;9.776.192;9.035.239;2.297.403;399.671;2;32.189.786;74.279.458
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2020;239.747.910;305.953;5.482.782;14.979.594;26.105.842;13.022.549;6.469.553;597;66.366.870;875.317;5.912.472;8.622.058;8.125.466;1.447.213;410.067;541;25.393.134;196.122;3.613.178;9.335.285;13.267.944;2.049.850;9.931;31;28.472.341;30.346;1.702.369;4.684.329;10.611.192;8.171.753;20.475.159;6.226.920;51.902.069;3.264.523;23.113.756;8.491.594;1.070.667;142.977;19.526;0;36.103.043;112.918;1.806.388;4.874.659;5.464.411;1.223.191;446.188;1.247;13.929.002;960.973;4.675.931;3.387.701;4.811.236;1.808.589;945.206;13.694;16.603.329;978.122
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2020;215.776.268;742.742;3.453.300;9.486.031;16.880.352;8.882.310;6.175.177;882;45.620.794;521.929;1.399.892;3.007.217;3.908.286;1.601.167;480.026;16.977;10.935.493;568.559;6.420.279;16.454.848;24.739.620;4.798.942;28.737;4.148;53.015.132;33.873;1.268.052;3.647.369;8.348.447;6.495.644;16.043.801;5.059.369;40.896.556;1.527.563;22.255.088;8.212.806;965.376;275.365;141.640;39;33.377.876;45.353;780.631;2.858.701;2.129.527;1.003.739;656.147;0;7.474.097;1.345.938;4.505.922;4.662.426;5.547.103;3.276.368;2.408.190;114.942;21.860.889;2.595.430
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2020;44.127.264;65.047;126.987;269.764;214.191;11.894;28;0;687.910;48.140;108.231;348.791;261.131;89.826;6.380;0;862.499;642.298;5.142.348;12.862.511;18.597.273;2.594.469;2.868;0;39.841.766;0;0;0;0;0;0;0;0;444.322;1.500.493;633.408;53.384;0;0;0;2.631.607;0;509;2.012;3.459;1.391;0;0;7.371;20.067;12.829;15.982;28.018;9.905;9.177;133;96.111;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2020;27.116.436;56.902;1.085.124;3.044.655;6.293.856;3.954.244;2.417.900;99;16.852.781;25.317;558.787;426.407;268.807;50.288;15.974;96;1.345.675;70;1.416;4.243;6.465;1.697;9;0;13.899;1.943;65.136;155.164;405.200;376.551;1.482.540;1.110.870;3.597.403;49.013;1.028.460;292.503;3.549;0;0;0;1.373.525;37.120;167.403;1.124.291;563.496;268.888;180.326;66.768;2.408.292;102.042;883.805;199.673;176.058;82.091;81.148;43;1.524.860;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2020;24.340.978;32.918;602.959;1.672.143;3.218.473;1.761.046;768.492;0;8.056.030;8.117;277.295;1.053.605;811.497;174.476;6.878;0;2.331.868;185.854;1.704.476;4.380.669;6.347.457;693.167;628;0;13.312.252;0;32;395;679;175;264;0;1.545;6.594;182.858;59.031;149;0;0;0;248.633;98;35.855;70.085;61.749;37.466;11.647;0;216.900;14.727;90.777;58.856;605;0;0;0;164.965;8.785
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;09/2020;23.772.645;119.456;733.862;2.113.955;3.905.093;2.089.410;1.045.105;0;10.006.880;1.403;11.052;15.762;981;13;0;0;29.212;301.943;1.345.334;3.242.538;4.487.150;466.513;227;0;9.843.705;852;3.823;9.711;20.912;15.267;31.209;4.635;86.409;530.223;2.670.376;282.773;8.107;217;2;0;3.491.697;0;0;0;0;0;0;0;0;14.585;21.496;48.734;96.537;59.388;72.103;1.899;314.742;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;09/2020;17.193.893;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.704;1.151.190;1.580.838;1.335.518;640.212;363.387;3.142;5.152.991;268.179;1.805.760;4.582.807;3.688.539;1.376.389;316.664;2.563;12.040.902;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;09/2020;12.482.803;21.896;395.208;1.049.935;2.318.794;1.712.794;2.354.811;0;7.853.437;29.459;365.476;460.312;815.868;500.599;356.273;0;2.527.987;502;5.983;14.492;20.619;4.141;0;0;45.738;475;26.360;61.667;161.477;155.405;658.673;527.896;1.591.952;0;0;0;0;0;0;0;0;2.645;36.664;117.378;33.492;21.057;23.949;0;235.185;8.688;21.555;105.494;16.989;9.079;8.670;58.029;228.504;0
