Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2021;464.396.710;278.100;12.320.720;25.755.302;39.470.399;7.501.324;1.588.415;130.337;87.044.596;33.302;1.902.466;5.171.084;8.298.080;2.129.589;20.293;0;17.554.814;457.006;9.142.541;138.968;0;0;0;0;9.738.515;91.169;20.178.771;5.744.137;767.892;96.630;114;0;26.878.713;5.732;5.005.065;8.436.947;5.371.067;6.184.767;3.896.992;0;28.900.570;1.545.107;4.625.039;5.718.487;4.563.963;1.193.733;729.297;23.793;18.399.418;246.061;1.113.635;2.905.895;4.047.258;1.249.926;1.573.410;238.499;11.374.684;3.517;1.468.892;2.756.496;825.902;244.191;198.308;0;5.497.305;159.554;411.789;952.612;806.810;73.635;21.859;0;2.426.259;256.581.836
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2021;327.960.684;932.132;12.761.527;28.752.039;39.223.553;8.588.593;2.771.224;604.049;93.633.118;119.933;3.251.149;7.680.735;10.655.130;2.733.630;193.616;12;24.634.203;267.862;5.083.735;388.481;0;0;0;0;5.740.077;150.969;27.942.328;6.232.385;73.811;4.833;0;0;34.404.326;28.284;10.020.530;17.818.919;6.750.733;4.684.237;2.531.985;0;41.834.688;612.830;4.726.980;3.216.801;1.546.955;235.096;16.500;0;10.355.162;17.300;1.531.142;4.111.860;6.952.073;3.313.915;5.170.297;139.613;21.236.202;1.978;254.822;2.952.811;400.590;169.071;99.154;0;3.878.426;56.899;209.021;559.544;2.233.168;210.561;79.461;2.197;3.350.852;88.893.630
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2021;283.170.736;638.165;9.518.961;23.195.421;36.992.505;7.835.130;835.807;322.281;79.338.270;35.869;2.280.473;5.216.655;12.447.360;10.033.794;27.738.662;522.484;58.275.297;161.750;1.266.532;466.807;11.516;0;0;9.909;1.916.515;129.697;5.814.459;2.172.736;239.899;150;0;11;8.356.953;287.214;9.311.028;13.903.431;11.490.597;2.632.648;573.838;0;38.198.756;771.021;4.098.824;10.229.989;3.064.166;1.988.898;3.377.760;697.447;24.228.106;49.818;2.291.440;5.202.167;8.300.381;3.918.276;14.097.779;3.390.822;37.250.682;4.060;921.770;3.719.313;1.554.747;889.585;1.068.679;0;8.158.154;8.946;17.480;185.279;319.082;19.087;0;0;549.874;26.898.129
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;09/2021;271.048.139;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;918.231;6.857.858;19.846.533;45.223.106;39.559.676;125.196.890;32.571.916;270.174.209;1.067;22.847;101.588;183.838;95.357;469.233;0;873.930;0;0;0;0;0;0;0;0;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2021;192.924.277;378.084;8.395.349;11.810.308;16.675.630;3.495.608;1.066.167;22.733;41.843.879;98.065;1.393.923;3.604.245;5.438.258;1.416.896;2.520.328;750.785;15.222.500;291.090;3.649.176;1.470.499;166.393;74.505;78.753;8.374;5.738.789;127.933;21.127.335;8.772.906;414.925;48.966;19.572;8.287;30.519.923;19.137;3.969.215;5.629.297;1.990.338;2.575.622;15.545;0;14.199.156;1.265.204;2.748.953;2.422.477;3.127.519;1.056.798;3.023.328;29.433;13.673.712;165.375;552.880;1.453.737;1.987.546;555.752;228.483;126;4.943.899;6.314;1.124.621;2.859.978;294.576;85.290;74.074;462;4.445.315;35.898;66.236;199.110;427.105;3.542;25.030;0;756.921;61.580.183
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;09/2021;188.552.845;1.267.425;5.545.053;16.469.947;35.886.678;9.173.705;2.362.222;3;70.705.033;17.170;62.996;179.109;455.632;236.216;29.195;0;980.318;186.358;239.198;1.071.222;17.359;0;0;0;1.514.137;3.138;53.703;3.957;0;0;0;0;60.797;29.104;507.655;1.676.727;771.439;81.995;0;0;3.066.920;382.716;861.610;1.033.883;882.819;398.598;195.839;2;3.755.466;38.428;5.044.001;8.693.536;19.124.468;15.931.020;40.960.600;5.704.626;95.496.679;254;171.746;4.156.902;188.053;87.890;139.316;0;4.744.162;49.253;933.009;2.494.350;1.740.565;2.952.765;59.390;0;8.229.332;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2021;70.276.304;71.223;4.945.366;10.363.505;11.709.735;2.415.906;740.515;0;30.246.251;5.544;684.027;1.336.024;1.358.745;210.400;6.255;0;3.600.995;35.469;807.422;35.139;1.322;0;0;0;879.352;14.206;5.844.231;3.270.368;35.296;3;0;0;9.164.104;27.582;2.344.731;3.617.256;2.174.267;2.041.846;54.873;0;10.260.556;16.647;598.329;1.262.139;503.658;16.527;0;0;2.397.300;10.230;179.699;510.654;958.501;395.874;234.669;0;2.289.626;0;265.770;612.716;388.967;163.903;166.806;0;1.598.161;0;5.125;52.044;115.985;15.756;143;0;189.054;9.650.905
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2021;60.046.781;65.845;1.348.674;4.079.653;4.494.854;634.380;723.931;0;11.347.338;40.715;15.498;50.510;36.476;2.244;54;0;145.497;0;32.693;13.366;0;1.228.374;338.958;0;1.613.392;9.080;10.292.457;3.511.908;238.962;1.634;1.764;0;14.055.806;461;932.792;3.500.308;3.136.500;195.743;0;0;7.765.804;203.066;108.888;494.713;1.438.452;462.252;16.438;0;2.723.810;0;71.544;202.193;618.693;377.409;1.729.764;1.212.623;4.212.225;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;18.182.909
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;09/2021;25.931.858;39.101;1.797.386;4.046.774;5.475.921;403.795;942;7;11.763.926;2.394;245.279;587.549;816.724;221.885;9.030;44.161;1.927.022;8.039;787.780;1.080.880;3.769;1.517;0;0;1.881.985;19.899;5.945.312;1.009.639;56.475;1.000;0;0;7.032.326;2.362;1.109.197;1.048.969;203.288;4.101;0;0;2.367.917;2.323;12.311;13.432;10.590;2.489;0;0;41.145;101;18.212;63.161;81.999;19.945;1.654;193;185.264;0;42.173;133.376;40.006;0;0;0;215.555;0;0;0;0;0;0;0;0;516.719
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;09/2021;25.445.644;3.667;1.492.959;1.916.383;1.022.152;285.839;0;0;4.720.999;0;3.465;9.398;12.844;918;0;0;26.624;152;105.180;85.630;9.039;0;0;0;200.002;1.922;6.842.619;2.846.028;2.256;171;37;0;9.693.033;1;1.531.115;4.386.060;2.591.457;869.333;0;0;9.377.966;2.028;462.463;159.223;0;0;0;206;623.920;0;0;0;0;0;0;0;0;0;363.659;439.440;0;0;0;0;803.100;0;0;0;0;0;0;0;0;0
