Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;09/2022;761.696.346;436.446;4.446.211;10.696.723;25.596.690;21.787.234;31.072.188;8;94.035.499;230.125;2.266.515;5.265.639;5.547.101;1.092.504;22.208;0;14.424.092;5.171;11.324;25.892;38.019;8.969;55;0;89.429;1.132.654;16.282.044;44.400.250;103.937.712;85.836.747;246.755.584;100.833.447;599.178.437;1.613.982;7.719.831;2.482.609;178.938;30.709;30.089;0;12.056.157;119.869;1.574.353;9.996.597;6.810.458;5.786.083;4.320.980;0;28.608.340;1.403.133;5.735.199;2.222.707;1.652.106;990.871;1.285.408;14.967;13.304.392;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;09/2022;534.336.509;324.274;5.918.615;17.110.950;38.058.346;28.351.756;22.898.830;656.289;113.319.059;1.169.912;3.711.408;10.861.552;15.430.814;7.706.175;3.679.517;374.026;42.933.404;38.125;461.521;1.203.496;1.832.436;430.211;550;111.485;4.077.823;54.993;454.888;1.326.782;3.542.546;3.557.986;18.266.193;18.821.996;46.025.384;6.206.109;37.279.195;9.164.281;803.160;33;0;337.194;53.789.971;1.302.477;27.242.919;93.502.481;68.200.279;37.212.970;28.712.080;253.908;256.427.114;754.555;1.283.718;3.674.043;2.361.686;1.851.436;2.360.401;135.779;12.421.617;5.342.137
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;09/2022;475.623.893;449.142;6.294.359;16.619.947;28.804.708;14.214.267;5.808.569;0;72.190.993;703.778;4.108.451;7.172.958;7.634.117;1.674.745;115.645;0;21.409.693;623.593;4.021.538;10.034.229;14.461.106;2.634.256;4.353;0;31.779.073;60.571;3.058.729;8.563.473;19.693.502;15.690.242;40.667.657;12.803.683;100.537.857;11.901.427;78.938.017;35.329.199;2.502.599;97.299;170;0;128.768.711;2.732;505.342;2.186.064;635.871;116.254;40.565;0;3.486.827;2.924.756;10.629.303;7.940.107;7.701.357;2.390.889;727.712;4.957;32.319.083;85.131.658
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;09/2022;348.936.019;432.188;6.834.342;18.893.948;34.080.434;18.252.247;9.832.462;1.650;88.327.272;1.674.716;7.563.457;11.926.134;12.448.426;2.511.738;416.235;1.726;36.542.431;512.980;4.506.931;11.330.210;16.326.748;3.012.146;19.517;38;35.708.569;73.067;2.252.191;6.575.483;15.030.650;11.989.061;31.560.723;11.561.015;79.042.190;6.812.866;39.373.537;14.813.532;2.735.975;407.668;63.135;0;64.206.712;110.550;1.780.398;7.572.072;6.299.181;1.639.553;635.236;0;18.036.990;2.013.479;7.190.882;4.502.194;5.680.823;2.010.719;502.636;741;21.901.474;5.170.381
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;09/2022;277.977.405;1.201.936;4.333.375;11.586.855;20.736.567;11.270.763;7.369.069;858;56.499.424;1.298.189;2.111.713;4.182.203;5.459.183;2.127.743;944.628;19.877;16.143.536;986.962;7.187.997;18.009.280;26.268.473;5.106.188;45.249;5.093;57.609.243;89.574;1.650.002;4.744.242;10.867.406;8.617.960;22.080.989;7.355.252;55.405.425;2.856.855;28.302.721;11.581.774;1.649.058;476.838;576.468;50;45.443.764;41.171;930.240;3.835.099;2.748.788;1.365.478;786.929;0;9.707.705;2.756.159;6.870.649;6.782.429;7.993.255;4.337.092;4.506.837;155.878;33.402.299;3.766.010
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;09/2022;48.774.685;33.316;91.258;200.367;161.620;10.408;21;0;496.990;151.112;762.641;1.865.250;2.395.753;664.514;72.072;0;5.911.343;700.989;4.736.167;11.539.353;16.825.962;2.887.779;13.563;0;36.703.814;0;0;0;0;0;0;0;0;1.184.871;2.757.325;1.362.058;184.520;423;0;0;5.489.197;0;494;1.782;1.607;0;0;0;3.883;738;70.498;77.123;11.113;5.778;4.185;23;169.458;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;09/2022;39.107.768;65.576;665.915;1.802.895;3.283.633;1.714.241;830.569;0;8.362.828;352.558;1.198.067;1.578.195;1.878.270;577.740;79.091;0;5.663.921;486.034;2.166.540;5.142.377;6.944.372;957.952;1.838;0;15.699.114;346;2.691;6.882;14.547;10.315;20.451;2.593;57.827;1.563.844;5.054.923;1.586.531;68.081;2.493;19;0;8.275.890;38;4.252;122.128;158.097;2.011;30.846;0;317.372;30.387;102.244;52.353;104.254;31.870;36.962;532;358.602;372.214
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;09/2022;36.729.333;27.900;632.525;1.730.230;3.263.350;1.838.075;791.189;0;8.283.269;46.136;1.060.720;2.795.063;2.889.566;887.920;156.842;0;7.836.246;145.374;2.204.649;5.561.778;8.177.753;1.332.243;1.704;0;17.423.501;271;10.862;31.162;81.629;77.629;312.123;287.390;801.065;176.514;1.029.844;412.346;19.012;3.490;0;0;1.641.206;336;16.363;54.791;81.712;36.991;9.410;0;199.603;18.349;190.837;264.763;28.273;20.075;10.730;0;533.028;11.414
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;09/2022;36.376.418;55.001;1.269.556;3.538.452;7.253.134;4.712.892;3.641.336;154;20.470.526;100.022;451.248;455.257;334.044;122.518;35.523;174;1.498.785;39;1.174;3.041;4.791;1.593;16;0;10.654;3.147;85.741;193.757;507.805;483.883;1.954.674;1.624.813;4.853.819;122.835;1.336.686;395.407;9.334;0;0;0;1.864.263;37.826;551.619;3.533.014;1.111.619;435.860;428.181;18.746;6.116.865;83.984;970.957;180.204;168.285;83.703;74.304;69;1.561.506;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S3;41;SAO PAULO;SP;09/2022;31.539.744;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.616.617;6.862.787;2.210;0;0;0;31.481.614;0;0;0;0;0;0;0;0;38.117;10.333;8.927;750;2;0;0;58.129;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;09/2022;23.672.858;27.530;507.352;576.567;798.447;5.239.939;3.084.150;0;10.233.984;183.840;2.232.469;885.390;1.423.935;766.495;1.057.131;98.645;6.647.906;305;4.294;10.905;14.957;2.839;4;0;33.304;1.029;82.481;179.296;478.501;465.921;2.058.422;1.933.943;5.199.594;307.647;89.563;74.039;31.840;12.923;12.677;0;528.689;299;105.066;169.027;79.478;70.254;81.770;0;505.894;36.862;41.396;189.187;84.031;38.860;125.611;7.540;523.487;0
