Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;;6;BRASILIA;DF;12/2013;348.049.599;5.535.656;5.555.559;7.717.081;16.049.230;8.493.251;2.273.781;0;45.624.558;1.633.392;1.327.441;2.224.968;2.866.436;342.881;607;0;8.395.724;500.257;880.455;1.987.446;3.374.970;688.884;927;0;7.432.937;1.449.996;8.688.654;23.227.806;52.385.253;40.843.289;102.199.403;32.425.379;261.219.780;773.145;5.912.263;1.512.605;76.325;374;0;0;8.274.712;1.273;483.724;552.010;84.248;71.543;112.093;0;1.304.891;1.772.142;4.119.223;3.815.421;2.663.715;1.527.661;1.767.510;131.324;15.796.997;0
BB;49.906;b1;C;1;;199;BRASILIA;DF;12/2013;232.329.763;229.549;4.001.529;10.985.942;22.420.327;10.916.149;3.883.607;0;52.437.103;421.000;2.913.658;6.718.945;9.558.190;3.582.105;1.264.645;0;24.458.543;50.785;1.304.809;3.443.500;5.291.420;1.028.555;0;0;11.119.069;13.641;304.961;703.428;1.845.478;1.776.634;7.660.381;5.947.152;18.251.675;1.058.915;16.272.898;2.527.618;8.286;10;0;0;19.867.726;971.083;6.989.647;35.062.409;22.251.696;14.336.023;16.423.962;1.492.597;97.527.417;307.588;1.493.400;2.897.189;960.247;405.969;334.211;29;6.398.633;2.269.598
ITAU;10.069;b1;C;2;;199;SAO PAULO;SP;12/2013;166.515.037;108.054;1.676.788;4.221.264;8.521.018;3.903.223;23.390;0;18.453.738;521.222;3.169.538;4.744.656;3.967.792;297.567;148.422;0;12.849.196;1.260.332;5.039.421;12.457.812;19.176.225;2.137.728;4.459;0;40.075.977;53.130;468.518;1.138.858;2.242.953;2.059.557;7.654.661;6.359.038;19.976.715;3.468.620;31.946.141;11.585.904;163.924;0;0;0;47.164.588;1.598;18.272;120.230;105.889;74.399;87.235;0;407.623;1.174.166;4.810.721;2.676.035;4.291.307;1.016.077;55.615;0;14.023.921;13.563.279
BRADESCO;10.045;b1;C;2;;199;OSASCO;SP;12/2013;127.095.408;150.914;2.731.384;6.875.983;11.282.953;4.004.978;525.963;0;25.572.175;637.206;4.091.257;5.329.097;4.009.047;563.161;166.629;26;14.796.422;503.734;3.884.524;9.223.465;11.667.309;1.197.599;6.065;6;26.482.702;40.052;223.729;628.354;1.603.116;1.463.432;5.267.344;3.598.337;12.824.364;2.808.424;14.532.253;5.761.900;137.490;1.018;46;0;23.241.132;100.737;1.149.559;6.998.147;3.629.752;1.717.777;740.686;0;14.336.658;990.061;4.296.067;1.921.439;1.674.586;459.405;189.914;9.907;9.541.380;300.576
SANTANDER;30.379;b1;C;3;;199;SAO PAULO;SP;12/2013;118.884.122;548.224;1.406.288;3.534.597;5.474.275;1.740.383;366.390;6.200;13.076.357;835.020;1.486.652;3.217.710;4.718.052;1.056.654;97.130;1.705;11.412.921;536.539;4.604.914;11.178.690;15.424.570;1.979.804;9.054;4.797;33.738.368;25.511;675.882;1.581.245;3.319.965;2.402.273;5.616.658;2.080.480;15.702.015;1.221.764;12.600.447;2.648.399;520.840;187.467;39.214;2.664;17.220.795;54.094;246.944;1.439.175;607.881;265.911;125.437;655;2.740.098;1.561.740;4.730.453;2.708.516;3.065.445;1.232.658;367.226;5.447;13.671.486;11.322.082
VOTORANTIM;51.011;b1;C;2;;199;SAO PAULO;SP;12/2013;39.434.584;159.632;996.832;2.399.149;3.365.762;671.082;317;0;7.592.774;3.708;22.374;37.961;11.167;421;2;0;75.632;916.970;4.569.480;10.823.335;13.560.730;1.410.682;556;0;31.281.753;0;0;0;0;0;0;0;0;128.156;121.729;23.003;25;0;0;0;272.913;1.145;2.196;17.866;27.888;34.500;46.842;0;130.437;2.867;15.677;28.025;19.088;12.991;2.427;0;81.075;0
HSBC;51.152;b1;C;3;;199;CURITIBA;PR;12/2013;19.728.706;8.276;93.835;248.727;408.502;76.160;2.325;21;837.846;583.255;1.467.555;2.056.660;1.134.624;53.458;2;1.648;5.297.203;58.066;401.214;961.619;1.280.946;168.186;269;0;2.870.301;5.661;86.217;195.862;506.338;281.066;1.994.533;1.170.153;4.239.831;343.306;2.668.283;392.576;741;0;0;32;3.404.939;22.917;125.731;1.141.895;426.713;1.749;0;0;1.719.005;180.864;578.686;503.619;45.712;15.084;31.771;3.846;1.359.581;0
BMG;30.290;b1;C;2;;199;SAO PAULO;SP;12/2013;18.595.556;208.926;1.758.577;4.571.735;7.246.495;2.366.527;215.577;77;16.367.914;9.011;5.651;3.817;9.237;552;25;0;28.292;46.329;154.022;339.985;268.535;19.880;0;0;828.750;5;45;108;330;406;1.220;0;2.114;123.042;1.033.005;0;0;0;0;0;1.156.048;0;0;0;0;0;0;0;0;4.341;29.197;73.915;95.954;9.013;17;0;212.438;0
CITIBANK;30.403;b1;C;3;;199;SAO PAULO;SP;12/2013;13.671.953;17.864;69.683;150.534;257.270;62.637;407;0;558.395;90.584;250.368;539.342;957.395;102.016;37;0;1.939.742;327;8.054;19.966;22.297;3.744;4;0;54.391;607;10.384;24.203;62.659;57.262;213.044;151.564;519.724;871.160;7.196.807;1.692.469;324.054;350;0;0;10.084.842;0;0;57.159;0;0;0;0;57.159;67.549;180.529;169.212;40.319;89;0;3;457.701;0
BANRISUL;30.173;b1;C;1;;199;PORTO ALEGRE;RS;12/2013;12.702.551;63.791;618.071;1.688.999;3.113.763;1.156.763;148.683;356;6.790.427;34.225;322.530;494.869;189.480;13.618;32.961;3;1.087.685;709;20.424;55.556;85.183;13.320;154;0;175.345;1.246;33.681;95.581;260.185;233.783;864.805;579.982;2.069.263;25.788;44.993;8.584;1.810;0;0;0;81.176;16.734;144.683;502.243;249.564;157.105;233.290;0;1.303.619;107.834;545.803;188.272;207.993;88.425;56.482;229;1.195.037;0
PANAMERICANO;31.323;b1;C;2;;199;SAO PAULO;SP;12/2013;11.483.042;36.552;177.198;466.168;792.570;338.950;67.492;0;1.878.930;8.447;15.563;34.003;20.283;95;6;0;78.398;215.844;660.701;1.741.444;4.033.687;907.156;1.328;0;7.560.160;2.709;12.600;31.845;71.410;54.740;126.836;31.725;331.864;167.983;803.182;124.337;25.229;1.875;134;0;1.122.740;0;0;0;0;0;0;0;0;6.073;29.814;132.206;161.886;61.232;103.852;15.887;510.950;0
