Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Capital de Giro Rotativo;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2019;365.110.395;383.572;8.933.551;14.202.988;15.305.260;2.925.175;712.027;101.507;42.564.080;16.468;1.043.487;2.714.079;4.285.326;1.205.272;206.343;0;9.470.976;753.945;9.700.062;219.710;52.667;0;0;0;10.726.384;76.282;13.801.527;4.653.288;1.187.849;761.846;3.471;0;20.484.264;14.817;4.172.935;6.796.182;3.978.157;4.047.668;2.920.714;0;21.930.473;774.897;3.085.238;4.685.375;2.617.282;994.146;480.143;891;12.637.971;31.404;1.354.537;3.032.468;4.683.626;1.438.972;1.463.592;289.867;12.294.465;35;1.621.575;3.198.037;440.284;186.532;189.973;0;5.636.437;136.921;271.504;698.381;898.352;102.508;29.619;10;2.137.295;227.228.050
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2019;287.170.705;517.582;6.951.880;15.832.633;18.386.370;3.960.966;603.419;25;46.252.874;108.903;2.663.740;5.344.745;7.213.441;1.668.490;184.475;0;17.183.795;454.560;5.858.562;1.062.320;240;0;0;0;7.375.682;171.659;22.713.368;5.321.340;124.573;4.801;0;0;28.335.741;430.856;8.354.448;16.263.641;5.309.642;4.476.082;5.758.169;0;40.592.837;1.514.562;4.536.588;4.793.083;2.697.658;1.574.512;1.789.196;839.935;17.745.535;41.624;1.688.310;3.494.621;6.708.234;3.496.296;6.564.292;296.286;22.289.663;4.623;558.805;2.646.692;550.338;101.265;87.644;0;3.949.367;121.919;376.992;785.926;2.161.486;681.744;45.480;2.241;4.175.787;99.269.425
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;I;1;S2;4;RIO DE JANEIRO;RJ;12/2019;261.077.245;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;605.985;8.294.972;21.695.686;49.156.455;35.678.553;114.385.268;30.484.736;260.301.654;0;33.175;55.724;167.189;101.889;411.364;6.250;775.590;0;0;0;0;0;0;0;0;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2019;246.652.278;749.335;7.102.573;15.803.003;18.304.865;3.621.144;1.260.568;385.365;47.226.854;390.916;1.121.800;5.537.040;11.360.568;8.945.679;25.738.739;345.307;53.440.050;135.901;1.917.982;689.351;20.146;0;0;19.919;2.783.299;106.752;4.732.025;2.072.835;354.742;0;0;0;7.266.354;396.188;6.829.092;11.488.481;4.676.645;7.259.316;1.951.535;0;32.601.257;1.314.907;3.467.516;3.906.984;3.132.920;2.097.003;3.636.505;777.929;18.333.763;330.487;2.105.564;6.665.137;10.122.867;6.046.024;13.877.960;4.873.883;44.021.921;70.456;396.302;2.806.228;2.879.175;1.191.229;1.366.809;0;8.710.199;319.764;287.056;362.169;624.097;30.360;0;62.453;1.685.898;30.582.683
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2019;145.684.729;440.646;4.413.401;6.842.175;7.440.112;1.962.371;1.094.073;325.932;22.518.711;63.704;1.141.044;2.657.563;3.833.271;939.389;2.643.255;650.106;11.928.331;283.427;3.626.824;1.282.400;252.342;70.386;76.114;10.849;5.602.342;127.640;21.797.718;10.352.463;334.781;22.110;19.915;6.200;32.660.827;154.017;4.479.487;7.403.839;1.942.614;2.458.490;1.262.615;0;17.701.062;716.885;1.657.017;2.127.168;2.576.673;820.923;323.427;247.543;8.469.636;67.559;535.183;1.293.753;2.250.054;925.421;557.757;14;5.629.741;1.716;674.601;4.682.585;398.754;101.319;45.464;0;5.904.439;102.754;231.292;484.092;465.537;25.822;29.330;0;1.338.827;33.930.813
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2019;138.195.218;1.259.708;3.136.722;8.368.716;12.651.307;3.966.510;598.970;2.184;29.984.118;20.235;41.307;89.041;237.891;65.372;2.465;28;456.340;237.288;244.141;901.643;7.018;0;0;0;1.390.089;11.090;187.099;14.887;0;0;0;0;213.077;65.947;411.231;1.119.396;229.530;4.323;0;0;1.830.427;1.248.711;770.734;1.090.930;1.052.159;445.132;213.070;390;4.821.125;476.090;5.913.461;9.437.961;18.342.624;13.179.841;34.659.177;7.551.124;89.560.278;1.479;72.289;1.999.330;25.788;4.626;1.425;0;2.104.936;475.924;1.227.226;2.706.804;3.147.590;155.473;121.812;0;7.834.829;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2019;51.882.454;41.566;3.480.147;6.447.987;5.721.544;1.160.962;557.073;0;17.409.278;5.506;493.278;1.029.841;1.113.238;242.806;35.422;0;2.920.091;58.789;932.804;86.370;0;2.181;0;0;1.080.144;14.469;5.626.652;1.704.337;10.720;0;0;0;7.356.177;2.423;2.398.667;2.949.691;1.641.748;709.059;1.654.819;0;9.356.407;19.543;192.656;1.086.372;471.706;95.249;12.521;0;1.878.046;1.220;149.386;395.542;837.146;354.665;242.380;0;1.980.340;0;143.704;550.493;333.182;173.697;177.883;0;1.378.959;816;11.536;47.145;176.803;1.088;0;0;237.388;8.285.623
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2019;26.967.224;4.244;289.654;793.396;2.266.940;494.678;822.696;0;4.671.608;0;0;0;0;0;0;0;0;0;4.337;0;0;0;0;0;4.337;170;1.479.857;736.498;16.660;15.520;244;0;2.248.949;22.533;568.228;1.829.156;1.505.445;330.995;11.582;0;4.267.940;290.794;217.926;168.941;479.560;12.175;5.562;0;1.174.958;0;27.358;56.615;158.816;154.226;1.058.408;1.418.613;2.874.035;0;2.677;2.677;0;0;0;0;5.354;0;0;0;0;0;0;0;0;11.720.042
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2019;16.861.607;13.581;905.382;1.502.673;1.552.527;320.837;36.825;0;4.331.825;350;296.010;779.471;620.891;122.349;3.821;0;1.822.891;1.255;80.660;44.298;0;0;0;0;126.214;0;913.621;551.104;7.160;0;0;0;1.471.885;9.966;609.751;1.549.515;1.201.918;260.715;56.079;0;3.687.945;159.764;601.635;304.476;367.203;141.589;70.400;0;1.645.068;6.204;40.328;97.551;201.353;76.286;31.462;0;453.184;0;138.117;402.894;307.747;130.388;121.562;0;1.100.708;0;0;0;0;0;0;0;0;2.221.887
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2019;16.645.463;23.456;685.576;1.551.182;1.681.600;197.453;3.926;0;4.143.193;2.876;145.394;349.660;541.962;130.058;13.180;38.228;1.221.357;6.501;675.842;1.033.115;7.367;0;0;0;1.722.825;19.373;5.067.708;1.212.976;34.884;4.662;0;0;6.339.602;53.975;677.439;707.132;209.230;19.558;0;0;1.667.334;2.715;36.495;48.511;6.135;352;0;0;94.208;1.973;33.581;83.899;88.725;16.855;358;0;225.392;5.638;10.408;135.761;60.688;0;0;0;212.495;0;0;0;0;0;0;0;0;1.019.057
