Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONOMICA FEDERAL;360.305;b1;I;1;S1;6;BRASILIA;DF;12/2020;602.887.837;2.209.872;5.093.407;13.548.952;24.850.900;13.601.002;10.860.945;56;70.165.134;679.812;1.266.876;2.895.013;3.653.289;214.081;18.948;10.788;8.738.806;17.132;45.902;85.274;79.820;11.918;40;14;240.100;752.495;13.711.903;38.168.748;88.622.890;72.515.928;204.556.093;82.292.600;500.620.657;981.626;6.474.801;2.213.973;188.379;26.582;25.329;0;9.910.691;109.388;358.035;2.416.731;781.314;301.263;225.478;0;4.192.209;1.266.778;2.615.589;2.006.093;1.642.521;761.765;700.852;26.643;9.020.240;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2020;396.467.666;224.067;4.968.343;14.261.905;31.254.327;22.258.619;17.489.489;3.036.448;93.493.199;398.778;2.947.912;7.127.975;11.485.006;5.543.496;3.062.487;422.614;30.988.267;27.319;454.832;1.207.602;1.929.908;467.164;38;108.753;4.195.615;44.025;433.390;1.286.402;3.449.296;3.425.135;17.545.632;20.530.677;46.714.556;1.468.883;25.694.586;5.831.254;301.880;196;0;207.575;33.504.373;1.422.636;10.141.335;62.995.574;47.140.748;27.133.854;24.382.406;243.502;173.460.054;508.779;1.127.851;2.682.757;2.059.410;1.427.032;1.817.222;139.792;9.762.843;4.348.758
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2020;339.398.851;477.918;4.604.303;13.027.278;22.150.984;10.394.964;4.609.519;4;55.264.969;230.192;1.927.812;3.921.116;4.230.820;782.479;88.541;0;11.180.959;204.690;2.862.715;7.276.561;10.996.032;1.993.699;4.619;0;23.338.316;37.379;1.765.946;4.766.382;11.050.809;8.730.351;22.233.647;6.796.693;55.381.207;4.881.097;54.416.145;25.029.556;1.902.451;39.218;13;0;86.268.480;1.416;73.734;1.052.603;127.941;58.626;24.296;0;1.338.616;2.282.493;7.472.800;9.196.676;8.513.217;2.202.913;471.238;499;30.139.836;76.486.468
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2020;259.683.772;292.790;5.931.867;15.006.946;27.198.155;13.863.062;7.334.934;658;69.628.413;706.836;5.460.117;8.558.891;8.426.414;1.548.166;460.376;707;25.161.504;186.649;3.797.301;9.475.756;13.739.183;2.196.090;10.344;33;29.405.356;47.847;1.797.095;4.954.099;11.254.889;8.759.500;22.355.181;7.231.054;56.399.664;3.121.409;26.208.541;9.604.889;1.259.257;136.008;19.638;0;40.349.742;198.473;923.482;5.957.774;5.572.135;1.328.792;492.657;0;14.473.313;882.013;4.628.923;3.638.686;5.134.491;1.962.338;940.436;12.977;17.199.863;7.065.917
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2020;228.282.361;749.404;3.589.067;9.600.186;17.288.171;9.206.920;6.523.706;914;46.958.368;499.268;1.510.355;3.091.320;4.025.040;1.609.719;470.057;16.439;11.222.199;556.540;6.667.798;16.970.092;25.963.275;5.196.532;29.042;4.367;55.387.646;37.021;1.390.040;3.779.039;8.813.865;6.915.556;17.390.243;5.667.369;43.993.132;1.415.961;23.915.938;10.735.399;958.417;267.282;138.370;40;37.431.407;41.120;408.325;3.720.581;2.259.343;1.131.318;722.213;0;8.282.900;1.285.401;4.518.800;4.992.898;5.498.776;3.269.582;2.478.420;115.630;22.159.508;2.847.202
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2020;45.652.684;61.948;123.557;241.668;197.060;10.300;20;0;634.553;41.959;216.210;298.934;346.383;129.561;11.109;0;1.044.156;597.558;5.273.048;13.186.065;19.164.761;2.744.174;4.397;0;40.970.003;0;0;0;0;0;0;0;0;403.240;1.695.585;760.179;50.688;0;0;0;2.909.692;0;287;1.771;3.439;1.409;0;0;6.907;771;4.090;47.666;17.231;9.186;8.305;124;87.373;0
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2020;28.397.522;54.127;1.068.974;3.037.260;6.326.154;3.981.241;2.590.374;44;17.058.172;21.480;503.468;988.495;341.809;51.694;17.472;69;1.924.487;66;1.421;4.079;6.271;1.542;5;0;13.384;2.158;66.657;157.735;408.827;380.251;1.502.501;1.134.423;3.652.553;34.034;1.124.759;352.979;3.624;0;0;0;1.515.396;17.309;182.358;1.285.034;612.703;288.634;185.348;106.851;2.678.238;81.855;919.543;213.907;175.137;82.666;82.129;55;1.555.292;0
PAN;31.323;b1;C;2;S3;199;SAO PAULO;SP;12/2020;27.112.088;118.441;754.689;2.418.068;4.517.070;2.473.254;1.341.258;0;11.622.780;3.828;31.392;37.884;1.634;11;0;0;74.750;294.411;1.505.872;3.627.103;5.139.595;659.954;1.057;0;11.227.991;691;3.756;9.491;20.439;14.815;29.992;4.334;83.518;522.467;2.903.390;370.253;7.437;273;2;0;3.803.823;0;0;0;0;0;0;0;0;4.778;21.082;49.441;97.189;55.225;69.730;1.781;299.226;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2020;26.687.004;32.746;602.868;1.681.385;3.260.965;1.852.829;830.844;0;8.261.637;8.747;306.421;1.371.825;1.163.151;246.899;21.480;0;3.118.523;167.812;1.771.042;4.529.506;6.620.889;827.623;1.687;0;13.918.558;0;360;128;788;300;856;923;3.355;14.296;681.527;287.648;16.178;3.157;0;0;1.002.806;782;14.403;94.842;69.099;44.613;14.643;0;238.381;7.502;97.548;36.386;548;0;0;0;141.983;1.761
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2020;15.922.135;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;89.634;380.266;2.083.998;1.075.169;601.785;351.243;3.142;4.585.237;288.053;581.329;5.649.255;3.338.516;1.188.334;288.847;2.563;11.336.898;0
NU PAGAMENTOS S.A.;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;12/2020;13.888.212;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10.637.455;2.458.654;553;0;0;0;13.096.662;0;0;0;0;0;0;0;0;500.812;177.512;108.882;4.345;0;0;0;791.550;0
