Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;12/2021;670.159.891;979.999;3.827.217;9.364.107;22.571.010;18.637.999;28.062.062;21;83.442.416;264.012;1.758.676;4.334.708;5.281.319;328.098;21.796;0;11.988.610;5.154;14.994;34.660;51.348;8.126;105;0;114.387;848.507;14.715.776;40.634.940;94.936.419;78.281.251;224.440.158;91.881.119;545.738.170;1.233.671;6.933.978;2.298.895;154.498;26.544;25.999;0;10.673.585;65.858;687.162;4.234.362;1.863.814;1.156.494;924.590;0;8.932.279;1.144.243;2.963.670;1.950.721;1.490.898;815.827;889.763;15.321;9.270.444;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2021;477.227.896;228.022;5.602.356;16.135.661;35.691.610;26.597.590;21.598.213;964.186;106.817.638;647.669;3.482.372;8.486.956;13.979.727;6.984.835;3.671.837;401.093;37.654.489;29.249;493.293;1.307.858;2.028.350;502.068;28;103.280;4.464.126;53.028;442.765;1.303.995;3.490.783;3.478.533;17.862.999;19.432.049;46.064.152;3.431.708;36.402.954;8.610.968;595.969;136;0;229.010;49.270.745;1.094.233;13.598.921;88.268.785;55.402.696;32.311.414;27.875.838;243.814;218.795.701;567.068;1.068.750;2.990.296;2.074.428;1.355.407;1.795.137;140.446;9.991.531;4.169.514
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2021;419.830.860;641.891;5.247.560;14.280.368;25.017.387;12.168.868;5.824.441;0;63.180.515;341.244;3.505.589;6.407.342;6.558.568;1.509.641;58.141;0;18.380.525;393.752;3.589.680;9.128.160;13.839.079;2.734.875;6.271;3;29.691.820;44.119;2.583.115;6.992.852;16.296.656;13.091.384;34.692.384;11.676.798;85.377.307;6.614.596;69.748.419;32.930.071;2.708.686;93.954;124;0;112.095.849;1.136;206.541;2.008.800;336.843;92.780;40.142;0;2.686.242;2.169.689;8.070.136;7.396.712;6.973.569;2.010.687;564.464;237;27.185.494;81.233.107
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2021;315.906.420;418.240;6.645.500;17.363.972;32.355.681;17.149.107;10.160.174;1.098;84.093.773;968.894;6.679.247;10.704.657;10.886.163;2.195.339;483.646;1.231;31.919.177;315.355;4.121.649;10.401.845;15.107.583;2.875.608;17.887;33;32.839.960;63.027;2.059.952;6.160.466;14.139.245;11.207.537;29.793.783;10.993.529;74.417.540;4.472.521;33.310.210;12.607.191;1.935.689;156.668;30.977;0;52.513.255;78.884;1.192.027;6.637.637;7.073.142;1.600.011;688.413;0;17.270.113;1.388.234;5.674.685;3.933.064;5.018.315;1.916.845;559.253;10.986;18.501.382;4.351.220
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2021;266.874.746;1.005.428;3.913.643;10.408.712;19.018.093;10.300.208;7.623.234;589;52.269.908;996.095;2.318.002;4.646.623;5.797.829;2.246.271;717.339;17.919;16.740.078;768.216;7.015.940;17.807.389;26.677.891;5.114.038;39.411;4.580;57.427.464;49.343;1.627.599;4.406.543;10.265.351;8.170.472;21.153.543;7.319.946;52.992.797;2.217.193;29.685.621;12.270.518;1.223.256;250.166;163.401;45;45.810.201;40.996;613.534;3.975.615;2.614.606;1.272.385;948.183;0;9.465.318;2.100.316;5.970.019;5.885.663;6.715.364;3.771.934;3.356.261;146.061;27.945.620;4.223.361
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2021;49.135.337;39.865;103.550;210.739;175.897;9.054;5;0;539.109;60.221;514.684;1.097.186;1.434.643;403.482;39.196;0;3.549.413;654.770;5.080.525;12.636.787;18.819.123;3.084.007;5.693;0;40.280.906;0;0;0;0;0;0;0;0;737.269;2.490.511;1.192.044;145.582;264;0;0;4.565.671;0;111;1.925;3.200;0;0;0;5.235;630;19.651;148.333;13.357;7.147;5.818;66;195.003;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2021;36.951.270;76.137;604.271;1.732.065;3.198.669;1.674.618;876.576;0;8.162.336;175.813;850.723;2.204.898;2.086.106;754.591;14.775;0;6.086.907;409.285;1.980.265;4.731.895;6.725.181;935.308;764;0;14.782.697;195;2.870;7.425;16.032;11.317;22.808;3.050;63.695;1.129.089;4.176.889;1.172.005;43.718;704;5;0;6.522.410;41;4.489;104.472;277.453;2.110;27.367;0;415.932;26.014;96.930;75.439;136.718;57.358;44.079;592;437.129;480.163
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2021;33.159.594;42.235;565.989;1.570.224;3.049.417;1.713.850;958.172;0;7.899.887;30.994;964.743;2.659.092;2.902.482;936.651;78.105;0;7.572.068;120.758;1.941.147;4.974.827;7.237.951;1.175.294;2.398;0;15.452.374;136;5.036;13.662;36.677;35.628;139.338;124.797;355.274;83.152;884.410;366.149;14.659;1.891;3;0;1.350.265;0;27.313;93.345;78.515;42.450;14.562;0;256.184;13.338;113.941;136.030;6.761;1.000;810;0;271.880;1.661
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2021;31.101.961;65.723;1.057.419;3.161.230;6.628.420;4.230.342;3.376.987;151;18.520.272;86.101;290.842;380.599;286.012;84.898;30.245;0;1.158.697;56;1.161;3.404;4.702;991;7;0;10.321;2.523;72.828;169.292;438.477;413.570;1.659.306;1.310.248;4.066.245;73.516;1.257.425;399.963;6.507;0;0;0;1.737.410;13.746;311.804;2.038.944;858.946;385.293;360.991;40.986;4.010.710;74.723;963.731;206.113;192.339;84.991;76.345;65;1.598.306;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S4;41;SAO PAULO;SP;12/2021;22.668.485;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;17.347.142;5.263.198;1.815;0;0;0;22.612.154;0;0;0;0;0;0;0;0;24.807;19.708;10.686;1.126;3;0;0;56.331;0
