Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;12/2022;794.159.120;447.866;5.440.576;13.370.004;30.266.682;22.397.086;30.531.309;0;102.453.523;262.728;2.140.228;4.991.720;5.020.625;1.069.356;19.093;0;13.503.750;2.278;10.294;25.627;37.879;11.028;42;0;87.149;1.163.775;16.797.542;45.880.214;107.458.589;88.770.386;255.336.187;104.296.599;619.703.291;1.831.604;8.241.675;2.737.430;184.285;31.815;30.316;0;13.057.126;201.180;3.005.133;9.961.800;7.720.661;6.536.579;4.637.814;0;32.063.167;1.813.143;5.281.150;2.077.756;1.683.570;1.026.917;1.392.780;15.798;13.291.114;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2022;556.909.825;328.998;6.130.157;17.423.889;38.897.759;28.993.900;22.795.532;600.779;115.171.014;1.251.163;4.104.152;9.852.403;16.184.064;7.957.129;3.763.336;419.254;43.531.501;41.374;459.959;1.178.074;1.799.899;436.835;797;116.404;4.033.341;55.868;455.268;1.336.107;3.586.241;3.567.196;18.370.108;18.608.649;45.979.437;6.282.995;39.293.646;9.675.753;789.042;19;0;408.099;56.449.554;1.402.178;17.630.762;115.993.924;69.159.444;39.569.026;30.609.962;266.787;274.632.083;799.504;1.492.352;3.461.646;2.445.654;1.919.936;2.592.656;153.263;12.865.012;4.247.881
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2022;496.251.089;473.910;6.567.981;17.093.445;29.414.327;14.473.333;5.342.202;0;73.365.198;630.059;3.694.090;7.255.970;7.650.891;1.657.879;150.973;0;21.039.862;704.153;4.099.187;10.089.316;14.245.313;2.483.574;3.866;0;31.625.408;76.121;3.422.718;9.020.229;20.856.643;16.567.198;42.645.255;13.216.326;105.804.491;12.730.964;82.913.618;36.942.009;2.402.219;88.768;272;1;135.077.850;3.379;362.368;3.238.084;694.924;126.826;42.072;0;4.467.654;3.099.297;10.255.641;8.512.352;8.427.896;2.777.381;845.640;6.888;33.925.096;90.945.530
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2022;357.498.884;433.463;7.591.049;18.841.282;34.278.009;18.427.578;9.593.556;1.868;89.166.806;1.879.626;7.211.627;11.857.598;12.678.409;2.541.063;436.800;1.678;36.606.801;575.158;4.651.733;11.412.064;16.296.362;2.856.052;15.746;35;35.807.152;93.200;2.478.732;6.750.362;15.453.003;12.223.885;32.182.569;11.538.451;80.720.202;7.607.046;41.044.312;15.988.107;2.986.647;543.860;73.219;0;68.243.191;114.214;1.262.090;9.109.406;6.938.946;1.536.981;588.947;0;19.550.583;2.101.952;6.598.801;4.549.858;5.849.218;2.132.814;530.776;759;21.764.176;5.639.974
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2022;283.550.509;1.176.286;4.572.704;12.036.528;21.650.897;11.694.247;7.402.327;925;58.533.914;1.172.846;2.145.167;4.095.133;5.477.085;2.177.034;952.781;21.040;16.041.087;963.054;7.323.371;18.113.568;26.190.448;5.133.653;39.925;5.262;57.769.280;98.953;1.761.755;4.778.092;11.070.548;8.769.533;22.414.626;7.377.311;56.270.817;2.816.424;29.881.618;12.318.953;1.720.636;524.435;645.671;52;47.907.788;82.992;640.409;4.241.066;2.980.219;1.462.453;744.723;0;10.151.861;2.721.281;6.386.174;6.832.036;8.053.427;4.403.947;4.632.852;151.779;33.181.496;3.694.266
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2022;50.497.460;30.102;96.265;190.917;163.083;11.115;32;0;491.514;188.529;910.698;2.068.483;2.750.354;742.732;84.271;0;6.745.067;748.959;4.820.711;11.708.321;16.992.479;2.969.840;13.732;0;37.254.042;0;0;0;0;0;0;0;0;1.205.977;2.873.387;1.478.255;184.867;496;0;0;5.742.982;0;62;1.765;1.628;0;0;0;3.456;718;49.438;191.066;9.957;5.378;3.827;16;260.401;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2022;43.670.884;73.441;991.291;2.613.011;4.372.357;2.123.906;1.062.309;0;11.236.314;246.423;941.667;1.884.713;2.070.641;711.128;121.690;0;5.976.262;497.046;2.305.837;5.405.204;7.200.246;1.039.294;1.730;0;16.449.358;354;2.565;6.474;13.604;9.740;18.936;2.288;53.960;1.791.254;5.903.116;1.516.127;67.213;5.629;42;0;9.283.381;92;20.710;55.135;73.764;0;31.061;0;180.763;22.022;87.516;45.503;94.605;28.108;32.435;469;310.657;180.190
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2022;37.747.776;32.421;656.725;1.750.490;3.300.256;1.851.456;729.445;0;8.320.794;47.483;1.137.117;2.800.651;2.911.178;889.101;165.020;0;7.950.551;181.024;2.278.158;5.653.259;8.495.134;1.547.265;3.131;0;18.157.971;188;11.416;31.168;81.437;77.479;308.594;280.679;790.961;205.760;980.130;498.140;16.785;1.769;0;0;1.702.584;0;12.290;130.291;83.055;48.142;19.904;0;293.682;22.370;278.148;157.696;31.677;20.000;729;0;510.620;20.613
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2022;37.606.279;50.344;1.268.407;3.539.159;7.203.866;4.699.236;3.444.243;337;20.205.592;101.400;373.793;591.255;375.496;138.735;38.648;394;1.619.722;28;1.132;3.105;4.916;1.734;9;0;10.923;3.199;89.289;198.238;517.740;491.757;1.988.270;1.656.894;4.945.387;126.366;1.416.471;453.246;10.284;0;0;0;2.006.367;28.127;875.893;3.906.616;1.346.986;504.653;526.816;16.803;7.205.893;84.138;1.004.074;199.145;170.199;81.582;73.202;53;1.612.394;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;I;2;S3;41;SAO PAULO;SP;12/2022;35.802.074;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;27.568.076;8.195.151;2.402;0;0;0;35.765.629;0;0;0;0;0;0;0;0;22.923;6.505;6.358;658;1;0;0;36.444;0
C6 BANK;52.072;b1;C;2;S3;199;SAO PAULO;SP;12/2022;25.351.568;30.926;756.891;2.107.299;4.117.185;2.477.662;1.055.256;0;10.545.218;32.869;465.624;1.111.832;1.554.066;586.646;258.208;128;4.009.373;6.833;222.904;587.773;1.061.078;297.024;735;0;2.176.346;0;0;0;0;0;0;0;0;1.521.271;4.742.203;2.043.002;49.040;14;0;0;8.355.530;0;0;0;0;0;0;0;0;42.969;27.065;83.769;67.487;14.485;25.814;3.512;265.101;0
BRB;31.976;b1;C;1;S3;199;BRASILIA;DF;12/2022;24.288.569;25.551;616.697;622.799;841.745;5.430.753;3.204.274;0;10.741.819;94.156;1.565.669;1.105.038;1.530.498;563.073;193.989;219.259;5.271.681;350;4.256;10.641;14.507;2.910;14;0;32.678;1.097;92.698;195.353;517.541;503.738;2.228.225;2.103.320;5.641.971;302.538;85.436;71.134;33.451;12.783;8.579;0;513.921;455;16.999;203.456;85.613;77.153;85.636;0;469.311;10.413;39.394;112.380;313.095;290.802;826.303;24.800;1.617.187;0
NUBANK;52.058;n1;C;2;S3;197;SAO PAULO;SP;12/2022;20.058.474;0;1;2;3;0;0;0;5;1.216.198;4.307.274;5.237.276;1.098.359;11.085;28;0;11.870.220;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.961.797;4.241.969;932.407;51.947;21;2;0;8.188.143;0;0;0;0;0;0;0;0;0;25;39;41;1;0;0;105;0
BANCO RABOBANK INTERNATIONAL BRASIL S.A.;1.023.570;b1;I;3;S3;8;SAO PAULO;SP;12/2022;18.540.428;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;45.907;121.093;1.222.679;860.193;478.649;354.713;323;3.083.558;79.067;847.345;6.649.012;4.643.715;2.378.890;857.949;893;15.456.871;0
BANCO COOPERATIVO SICREDI S.A.;1.181.521;b1;I;2;S3;11;PORTO ALEGRE;RS;12/2022;18.370.016;0;96.407;254.540;433.635;198.818;68.840;0;1.052.240;0;30;99;82;52;23;0;285;0;1.221;2.754;1.775;653;1.033;0;7.435;0;24.711;54.834;142.647;139.614;629.969;627.592;1.619.367;0;0;0;0;0;0;0;0;0;339.519;2.583.010;5.143.686;3.973.134;3.566.950;0;15.606.299;579;8.189;28.883;40.851;4.921;967;0;84.390;0
INTER;51.884;b1;C;2;S3;199;BELO HORIZONTE;MG;12/2022;16.966.864;25.827;268.944;772.361;1.586.457;1.110.308;698.779;37;4.462.713;62.067;142.850;267.873;281.521;89.592;48.335;0;892.237;0;0;0;0;0;0;0;0;8.814;76.011;166.837;427.459;400.785;1.588.741;1.221.115;3.889.763;866.425;4.289.194;1.257.611;78.820;3.300;0;18;6.495.367;1.554;43.796;155.805;23.883;0;0;0;225.039;15.008;64.165;130.119;202.310;145.589;404.208;40.346;1.001.744;0
BMG;30.290;b1;C;2;S3;199;SAO PAULO;SP;12/2022;16.909.913;34.246;354.293;955.042;1.842.670;1.091.578;489.042;13;4.766.883;301.852;453.501;723.435;653.986;248.962;161.644;0;2.543.380;20;9;21;25;0;0;0;74;0;0;0;0;0;0;0;0;554.417;3.698.014;1.132.543;1.322.299;631.118;108.785;0;7.447.176;0;0;0;0;0;0;0;0;1.112;1.861;8.541;46.701;1.311;935;0;60.461;2.091.938
XP;52.120;b1;C;2;S3;199;RIO DE JANEIRO;RJ;12/2022;16.405.179;0;0;0;0;0;0;0;0;7.414;496.970;1.572.142;1.669.870;7.044.135;314.328;0;11.104.858;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33.238;3.755.915;1.358.187;13.268;0;0;0;5.160.608;0;0;0;0;0;0;0;0;959;7.249;19.351;39.954;26.681;45.518;0;139.713;0
BANCO CSF S.A.;8.357.240;b2;I;3;S3;8;SAO PAULO;SP;12/2022;15.898.078;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2.706.244;8.328.655;3.937.320;925.734;124;0;0;15.898.077;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BANCO SICOOB;51.750;b1;C;2;S3;199;BRASILIA;DF;12/2022;15.265.952;5.403;160.502;413.743;926.352;596.578;322.232;0;2.424.809;2.225;31.483;88.212;155.079;71.553;22.935;0;371.488;0;0;2;0;0;0;0;2;1.000;13.370;27.644;73.821;73.118;344.241;371.735;904.929;78.129;1.225.784;6.133.717;162.991;1.641;0;0;7.602.262;0;116.793;537.571;1.229.177;1.032.295;1.018.197;0;3.934.032;74;1.857;2.692;7.374;6.324;10.109;0;28.431;0
PORTO SEGURO;51.444;n1;C;2;S3;197;SAO PAULO;SP;12/2022;14.527.749;3.477;16.109;37.060;47.709;9.212;68;0;113.636;17.330;47.342;78.685;39.017;1.243;2;0;183.618;51.731;238.850;587.419;788.431;109.406;165;0;1.776.004;0;0;0;0;0;0;0;0;1.137.531;6.882.637;3.788.519;290.403;81.616;1.108;0;12.181.815;0;0;0;0;0;0;0;0;1.785;34.851;96.036;127.069;12.936;0;0;272.676;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2022;13.656.613;78.352;676.121;1.838.028;3.534.251;2.109.694;995.725;0;9.232.171;9.611;25.191;44.514;30.040;5.763;3.663;0;118.781;68.553;291.182;680.587;952.101;128.589;982;0;2.121.995;9;411;1.073;2.326;1.721;3.494;397;9.431;55.502;1.181.823;33.808;4.568;1.280;768;0;1.277.749;0;317;388;1.431;940;0;0;3.076;5.345;124.947;417.054;222.457;63.410;54.262;3.930;891.403;2.007
