Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Física;Empréstimo com Consignação em Folha;;;;;;;;Empréstimo sem Consignação em Folha;;;;;;;;Veículos;;;;;;;;Habitação;;;;;;;;Cartão de Crédito;;;;;;;;Rural e Agroindustrial;;;;;;;;Outros Créditos;;;;;;;;Total Exterior Pessoa Física;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 dias;A Vencer Entre 1801 a 5400 Dias;A Vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;12/2023;893.688.815;919.494;5.834.057;14.809.870;27.626.749;24.177.818;29.851.293;6;103.219.288;162.065;1.954.380;3.869.738;3.826.354;757.520;4.303;0;10.574.360;1.535;9.280;22.635;40.921;15.414;146;0;89.931;1.713.173;19.051.941;51.658.518;121.085.241;100.153.304;292.773.750;121.852.207;708.288.134;2.103.360;9.228.657;3.165.031;242.125;48.794;47.427;0;14.835.392;726.200;3.487.433;13.669.511;11.670.230;9.113.460;6.638.046;0;45.304.882;1.417.250;3.600.611;1.963.711;1.772.283;1.090.085;1.524.254;8.634;11.376.829;0
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2023;613.309.724;332.877;6.825.988;19.184.282;43.743.873;31.906.350;24.116.274;284.780;126.394.423;1.335.618;4.360.219;10.385.418;17.395.818;8.684.814;4.397.164;507.021;47.066.072;56.902;458.743;1.200.279;1.917.955;565.712;26.232;157.213;4.383.036;54.759;477.262;1.394.722;3.751.755;3.714.359;19.321.765;18.475.345;47.189.969;4.585.048;41.222.940;9.990.429;644.235;6;0;428.447;56.871.105;3.328.222;20.194.784;130.025.145;79.299.875;44.236.076;31.386.342;411.645;308.882.090;1.085.361;1.682.494;4.178.237;2.942.424;2.323.719;3.737.473;146.180;16.095.889;6.427.141
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2023;504.536.345;496.604;6.975.933;17.878.620;29.961.054;13.912.768;4.163.389;0;73.388.368;462.737;4.107.190;8.616.099;9.155.696;1.913.598;210.109;0;24.465.430;636.436;4.436.317;10.736.725;14.898.675;2.508.812;11.627;0;33.228.593;96.297;3.750.873;10.048.408;23.012.020;18.035.372;45.172.295;12.897.759;113.013.024;10.601.396;85.219.357;37.929.523;1.699.238;39.247;40;0;135.488.801;15.279;639.231;4.488.090;1.015.010;176.069;35.348;0;6.369.026;3.112.693;10.875.416;8.781.926;9.894.968;3.343.006;981.502;19.104;37.008.616;81.574.487
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2023;360.104.663;405.026;7.938.000;19.674.495;35.366.905;18.771.570;9.678.374;4.068;91.838.437;1.326.903;6.003.036;10.386.187;10.964.581;2.107.403;404.824;1.174;31.194.107;681.973;4.542.724;10.926.283;14.699.195;2.163.327;11.740;22;33.025.264;121.873;2.658.401;7.263.944;16.627.839;13.061.566;38.570.597;6.690.226;84.994.446;10.343.132;40.570.290;15.536.408;3.004.127;364.208;66.429;0;69.884.594;327.373;1.102.010;8.410.674;7.710.620;1.425.515;398.801;0;19.374.993;1.756.526;6.086.611;4.849.608;7.165.233;2.645.653;757.343;644;23.261.617;6.531.206
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2023;298.235.294;1.377.875;5.228.555;13.773.408;24.621.980;13.319.847;7.851.429;1.636;66.174.730;893.660;2.006.905;3.921.795;5.420.109;2.161.363;836.760;23.272;15.263.866;985.177;7.732.495;19.314.415;27.911.177;5.112.337;40.712;5.844;61.102.157;84.525;1.973.203;5.177.285;11.967.387;9.384.565;23.601.972;7.314.200;59.503.137;2.690.460;32.313.558;12.910.208;1.742.151;552.485;656.753;60;50.865.674;149.947;525.901;4.897.599;4.052.542;1.704.423;699.741;0;12.030.153;2.193.413;6.155.471;5.930.392;7.017.152;4.006.340;4.191.901;149.647;29.644.316;3.651.262
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2023;57.781.570;28.222;101.027;200.790;181.848;14.123;26;0;526.037;187.363;1.038.479;2.359.368;3.067.282;604.511;25.464;0;7.282.467;877.245;5.747.528;14.041.760;20.380.480;3.695.765;35.109;0;44.777.886;0;0;0;0;0;0;0;0;1.107.180;2.463.979;1.243.679;176.747;462;0;0;4.992.046;0;54;1.697;0;0;0;0;1.750;507;21.784;165.624;7.339;3.612;2.515;3;201.384;0
NU PAGAMENTOS S.A. - INSTITUIÇÃO DE PAGAMENTO;18.236.120;n4;C;2;S3;41;SAO PAULO;SP;12/2023;46.647.767;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;35.814.216;10.821.240;3.825;0;0;0;46.639.282;0;0;0;0;0;0;0;0;1.548;3.427;3.058;452;0;0;0;8.485;0
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2023;44.282.254;134.614;978.263;2.508.570;3.781.934;1.991.239;1.027.673;0;10.422.294;169.776;506.949;1.644.613;1.241.775;399.253;79.029;0;4.041.394;784.259;3.039.731;7.104.942;9.260.581;1.393.605;1.623;0;21.584.742;328;2.257;5.615;11.853;8.681;16.253;1.760;46.747;652.811;2.333.279;1.633.943;536.953;798.938;1.113.770;0;7.069.694;76;20.263;49.470;68.743;0;5.498;0;144.050;33.558;165.540;301.756;188.659;36.465;28.050;72.516;826.544;146.789
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2023;42.336.000;54.570;1.279.041;3.569.090;7.108.482;4.627.634;3.268.997;2.118;19.909.933;89.075;518.132;720.583;560.762;187.186;94.338;2.383;2.172.461;88;1.029;2.369;3.773;1.074;9;0;8.341;4.071;96.419;219.174;576.802;544.749;2.215.610;1.906.791;5.563.615;177.995;1.555.076;506.152;10.943;0;0;0;2.250.166;128.457;1.339.114;5.431.053;2.002.057;936.494;801.355;8.657;10.647.187;98.488;1.068.164;229.659;201.261;95.806;90.303;615;1.784.297;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2023;41.189.010;46.959;907.150;2.330.774;4.228.808;2.201.047;787.723;0;10.502.460;48.238;935.341;2.454.696;2.402.979;574.968;83.036;0;6.499.259;260.922;2.753.568;6.897.022;9.756.816;1.410.633;2.974;0;21.081.935;380;11.112;29.993;76.955;73.041;281.621;240.084;713.186;188.434;862.061;436.397;19.081;1.818;0;0;1.507.792;0;12.226;89.972;74.179;41.587;6.582;0;224.545;24.457;234.648;205.736;71.018;20.861;701;0;557.421;102.413
NUBANK;52.058;n1;C;2;S3;197;SAO PAULO;SP;12/2023;37.698.138;325;46.000;121.812;199.376;101.872;70.001;0;539.387;1.466.559;7.276.428;7.870.201;1.824.525;105.751;46.814;5;18.590.284;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5.322.548;10.748.945;2.168.953;193.004;63;1;0;18.433.514;0;0;0;0;0;0;0;0;10.879;23.545;49.824;50.645;59;0;0;134.953;0
