Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total da Carteira de Pessoa Jurídica;Capital de Giro;;;;;;;;Investimento;;;;;;;;Cheque Especial e Conta Garantida;;;;;;;;Operações com Recebíveis;;;;;;;;Comércio Exterior;;;;;;;;Outros Créditos;;;;;;;;Financiamento de Infraestrutura/Desenvolvimento/Projeto e Outros Créditos;;;;;;;;Rural e Agroindustrial;;;;;;;;Habitacional;;;;;;;;Total Exterior Pessoa Jurídica;
;;;;;;;;;;;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;Vencido a Partir de 15 Dias;A Vencer em até 90 Dias;A Vencer Entre 91 a 360 Dias;A Vencer Entre 361 a 1080 Dias;A Vencer Entre 1081 a 1800 Dias;A Vencer Entre 1801 a 5400 Dias;A vencer Acima de 5400 Dias;Total;;
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2023;474.170.977;485.310;12.855.612;26.574.456;32.609.733;6.115.788;1.794.769;83.415;80.519.083;108.683;2.762.411;6.742.574;9.267.301;1.624.064;9.879;0;20.514.912;980.052;12.157.221;98.427;4.031;0;0;0;13.239.730;115.378;26.015.085;5.529.099;485.883;110.102;25.526;0;32.281.073;16.678;7.453.368;9.966.479;5.894.107;4.893.751;3.955.567;0;32.179.950;1.195.660;5.997.919;7.044.250;8.058.720;1.081.060;183.198;65.087;23.625.895;23.734;1.662.527;3.707.370;5.956.633;2.171.883;2.038.283;12.989;15.573.418;3.220;710.740;2.328.594;2.954.457;443.152;122.862;0;6.563.025;530;1.290.499;3.097.809;2.452.996;85.473;108.656;0;7.035.963;242.637.928
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2023;345.354.217;1.623.513;11.501.174;30.942.787;48.335.852;9.334.381;314.181;589.410;102.641.298;98.356;1.631.427;6.706.912;16.438.355;13.415.465;27.096.819;608.571;65.995.905;302.756;2.866.370;391.137;4.254;0;0;15.564;3.580.082;873.490;8.494.490;3.389.002;280.980;19;0;1;13.037.982;397.591;10.106.015;21.462.073;12.068.048;5.135.690;7.409.409;37.158;56.615.983;1.715.741;8.136.482;5.659.392;5.650.951;3.395.077;4.507.107;813.029;29.877.779;197.726;995.268;2.980.248;5.787.381;4.187.810;14.814.903;2.300.590;31.263.926;23.889;271.077;1.621.264;1.427.280;991.937;1.221.945;41.399;5.598.791;0;13.652;377.324;1.510.566;154.676;0;0;2.056.218;34.686.254
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2023;291.863.097;1.927.368;14.621.318;25.228.546;31.453.027;6.986.619;1.557.147;23.595;81.797.620;265.932;5.085.211;10.789.884;13.654.356;2.847.825;159.945;0;32.803.152;668.485;4.199.386;512.075;42;0;0;0;5.379.989;1.785.006;25.716.840;3.640.248;1.273.840;358.657;3.902;0;32.778.492;11.050;8.106.617;7.931.113;6.036.235;2.339.251;747.167;0;25.171.433;1.432.748;7.490.159;9.347.972;3.378.727;149.444;19.766;0;21.818.816;107.193;1.873.828;4.712.229;7.976.620;3.249.997;4.969.362;43.658;22.932.886;6.261;273.328;1.604.307;454.980;207.787;88.553;0;2.635.215;10.301;131.633;2.352.158;4.879.959;261.802;117.455;1.249;7.754.555;58.790.938
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;C;1;S2;4;RIO DE JANEIRO;RJ;12/2023;277.660.640;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;78.864;6.975.131;19.030.728;46.016.387;45.550.229;120.237.100;34.215.997;272.104.436;0;104.942;344.310;898.077;942.705;3.265.533;637;5.556.204;0;0;0;0;0;0;0;0;0
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;12/2023;221.498.694;1.796.931;7.679.764;21.714.842;37.590.839;6.972.189;1.676.657;62;77.431.283;21.486;227.704;591.221;1.196.775;393.382;88.113;0;2.518.681;451.765;2.309.364;0;0;0;0;0;2.761.128;3.304;31.675;2.518;0;0;0;0;37.497;109.429;905.526;2.303.097;1.672.202;180.036;0;0;5.170.291;556.413;2.068.111;3.102.644;2.400.958;561.562;491.824;457;9.181.969;10.613;3.418.906;9.905.371;24.332.715;19.682.651;40.626.281;4.132.068;102.108.605;33.093;874.435;1.998.526;597.490;567.922;677.934;0;4.749.399;106.283;2.444.695;6.504.057;6.474.866;806.952;1.202.712;276;17.539.840;0
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2023;213.473.039;497.453;4.590.864;11.411.333;13.644.666;2.457.238;1.304.432;16.171;33.922.156;197.007;2.180.681;5.359.375;8.210.752;1.925.040;2.561.993;1.339;20.436.187;420.369;3.986.920;1.286.254;286.968;106.120;87.458;11.583;6.185.671;90.208;23.267.299;9.408.512;193.076;55.244;69.329;6.234;33.089.902;28.672;3.439.376;5.281.583;4.188.476;151.314;3.307;2.811;13.095.539;1.266.109;6.044.484;4.332.010;4.145.642;1.898.445;3.001.018;23.961;20.711.667;40.333;1.380.290;1.976.837;1.629.830;458.600;168.929;143;5.654.963;5.669;313.159;6.534.840;2.850.950;520.749;89.284;1.107;10.315.757;583;707;2.188;3.977;1.128;2.069;0;10.652;70.050.544
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2023;83.299.263;172.061;3.999.301;8.939.358;8.737.994;1.395.415;409.894;0;23.654.023;40.988;867.041;2.076.668;2.894.433;548.614;94.559;0;6.522.303;51.812;679.918;187.209;0;0;0;0;918.939;24.392;11.022.769;3.059.472;23.056;0;0;0;14.129.689;4.455;2.141.195;4.433.541;2.492.775;1.450.678;568.949;0;11.091.594;52.135;987.284;3.069.957;1.470.076;366.070;2.103.446;0;8.048.968;92.122;900.069;1.888.943;2.672.747;983.155;334.347;0;6.871.383;0;233.026;535.634;486.256;233.786;162.715;0;1.651.416;0;37.125;191.837;627.321;7.771;0;0;864.053;9.546.895
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2023;61.692.943;19.445;1.026.969;2.572.017;3.698.036;765.186;61.221;0;8.142.874;40.009;4.944;8.763;7.993;740;0;0;62.450;192.836;91.222;100.527;839.376;122.523;162.590;0;1.509.075;1.909.275;6.827.837;3.588.045;376.030;14.570;5.856;0;12.721.613;0;1.261.461;2.798.843;1.750.255;122.663;0;0;5.933.222;143.755;327.214;1.366.206;1.181.893;193.656;20.000;255;3.232.978;0;82.475;173.781;376.548;440.912;2.769.509;1.541.008;5.384.233;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;24.706.498
CITIBANK;30.403;b1;C;3;S2;199;SAO PAULO;SP;12/2023;33.312.873;907;1.039.769;694.594;782.210;65.326;0;0;2.582.806;0;1.224;984;403;0;0;0;2.612;0;14.170;117.261;0;0;0;0;131.431;4.248;9.806.349;2.141.293;141;19;0;0;11.952.050;0;4.209.563;6.076.214;1.850.572;4.323.535;726.105;0;17.185.989;10.985;913.362;78.978;0;0;0;0;1.003.325;0;0;0;0;0;0;0;0;0;66.281;388.379;0;0;0;0;454.660;0;0;0;0;0;0;0;0;0
DAYCOVAL;51.987;b1;C;2;S3;199;SAO PAULO;SP;12/2023;30.469.588;129.243;1.520.794;3.084.210;3.185.027;431.598;9.127;14;8.360.014;6.731;360.556;867.321;1.322.946;334.681;16.012;55.741;2.963.988;60.861;877.533;783.320;956;0;0;0;1.722.671;562.492;9.548.478;1.847.532;21.072;130;0;0;11.979.704;46.919;1.125.618;756.582;415.729;39.744;188;0;2.384.780;11.651;19.721;21.981;19.452;564;0;0;73.370;1.032;37.119;122.959;264.033;85.548;473;0;511.165;0;6.969;154.169;202.582;2.009;16;0;365.745;0;0;0;0;0;0;0;0;2.108.152
ABC-BRASIL;41.856;b1;C;3;S3;199;SAO PAULO;SP;12/2023;23.520.148;99.878;1.628.711;3.260.242;2.866.205;367.408;84.375;0;8.306.819;156;92.662;649.068;666.486;23.967;0;0;1.432.338;26.029;142.353;91.087;0;0;0;0;259.469;453.896;611.274;200.988;0;0;0;0;1.266.158;3.330;1.505.780;1.643.962;616.377;44.688;0;0;3.814.137;54.368;988.470;469.361;132.272;41.945;41.699;0;1.728.115;0;708.906;653.582;528.476;106.121;3.604;0;2.000.689;0;210.836;1.112.484;803.337;99.658;72.134;0;2.298.449;0;0;0;0;0;0;0;0;2.413.974
