Instituição;Código;TCB;TD;TC;SR;Segmento;Cidade;UF;Data;Total Geral;AA;A;B;C;D;E;F;G;H;Total Exterior;
CAIXA ECONÔMICA FEDERAL;51.626;b1;C;1;S1;199;BRASILIA;DF;12/2023;1.115.187.509;507.800.908;184.961.944;206.940.358;136.655.525;27.759.223;13.881.891;8.800.369;12.020.979;16.366.312;0
ITAU;10.069;b1;C;2;S1;199;SAO PAULO;SP;12/2023;978.707.322;287.347.665;239.807.987;58.351.742;22.673.325;5.606.714;4.945.415;5.835.224;8.635.711;21.291.123;324.212.416
BB;49.906;b1;C;1;S1;199;BRASILIA;DF;12/2023;958.663.940;532.538.427;105.270.796;108.092.395;93.579.766;17.653.576;13.864.516;6.242.244;5.994.562;34.314.264;41.113.395
BRADESCO;10.045;b1;C;2;S1;199;OSASCO;SP;12/2023;651.967.760;218.914.300;170.100.283;88.742.593;31.247.568;17.879.101;17.627.428;6.893.042;5.801.172;29.440.130;65.322.143
SANTANDER;30.379;b1;C;3;S1;199;SAO PAULO;SP;12/2023;511.708.333;145.762.592;149.764.124;47.610.083;39.380.313;16.315.179;7.644.687;4.844.086;9.224.862;17.460.603;73.701.806
BANCO NACIONAL DE DESENVOLVIMENTO ECONOMICO E SOCIAL;33.657.248;b4;C;1;S2;4;RIO DE JANEIRO;RJ;12/2023;277.663.238;50.651.970;111.254.999;93.545.455;5.943.007;4.682.493;5.407.573;14.262;378.410;5.785.068;0
SAFRA;10.083;b1;C;2;S2;199;SAO PAULO;SP;12/2023;124.488.273;59.483.638;18.983.723;26.602.192;2.873.340;1.334.758;434.223;998.656;1.915.885;2.212.550;9.649.307
BTG PACTUAL;49.944;b1;C;2;S1;199;RIO DE JANEIRO;RJ;12/2023;105.975.196;16.384.559;47.431.922;7.168.142;2.375.415;1.563.845;731.236;2.844.568;827.498;1.794.725;24.853.287
VOTORANTIM;51.011;b1;C;2;S2;199;SAO PAULO;SP;12/2023;71.959.743;2.699.318;33.610.346;16.755.302;8.946.905;2.659.947;1.178.169;980.595;1.512.281;2.938.939;677.940
BANRISUL;30.173;b1;C;1;S2;199;PORTO ALEGRE;RS;12/2023;53.677.637;7.175.102;39.735.864;2.414.506;794.156;595.204;502.573;253.882;493.071;1.644.878;68.402
