Instituição;Código;TCB;SR;TCip;TD;TC;Cidade;UF;Data;Patrimônio de Referência para Comparação com o RWA;;;;;Ativos Ponderados pelo Risco (RWA);;;;;;;;;;Exposição Total (k);Índice de Capital Principal (l) = (a) / (j);Índice de Capital Nível I (m) = (c) / (j);Índice de Basileia (n) = (e) / (j);Adicional de Capital Principal;Razão de Alavancagem (o) = (c) / (k);Índice de Imobilização (p);
;;;;;;;;;;Patrimônio de Referência Nível I para Comparação com RWA;;;Capital Nível II (d);Patrimônio de Referência para Comparação com o RWA;RWA para Risco de Crédito (f);RWA para Risco de Mercado;;;;;;RWA para Risco Operacional (h);RWAsp (i);Ativos Ponderados pelo Risco (RWA) (j) = (f) + (g) + (h) + (i);;;;;;;;
;;;;;;;;;;Capital Principal para Comparação com RWA (a);Capital Complementar (b);Patrimônio de Referência Nível I para Comparação com RWA (c) = (a) + (b);;;;RWAcam (g1);RWAcom (g2);RWAjur (g3);RWAacs (g4);RWAcva (g5);RWA para Risco de Mercado (g) = (g1) + (g2) + (g3) + (g4) + (g5);;;;;;;;;;;
ITAU - PRUDENCIAL;1000080099;b1;S1;1;C;2;SAO PAULO;SP;12/2023;166.389.149;18.752.041;185.141.190;21.720.670;206.861.859;1.068.746.243;6.707.217;5.579.466;19.035.926;5.161.180;6.699.114;43.182.902;103.093.836;0;1.215.022.981;2.488.098.936;13,69%;15,24%;17,03%;42.525.804;7,44%;21,54%
BB - PRUDENCIAL;1000080329;b1;S1;1;C;1;BRASILIA;DF;12/2023;136.356.255;20.074.697;156.430.953;17.602.139;174.033.091;938.286.509;15.726.474;1.942.890;7.754.630;6.273;2.855.112;28.285.378;158.182.406;0;1.124.754.293;2.165.354.836;12,12%;13,91%;15,47%;39.366.400;7,22%;16,36%
BRADESCO - PRUDENCIAL;1000080075;b1;S1;1;C;2;OSASCO;SP;12/2023;110.689.318;14.722.748;125.412.066;24.557.079;149.969.145;842.399.937;1.674.317;1.380.738;7.609.953;427.600;7.864.271;18.956.878;86.380.759;0;947.737.574;1.714.042.678;11,68%;13,23%;15,82%;33.170.815;7,32%;26,10%
CAIXA ECONÔMICA FEDERAL - PRUDENCIAL;1000080738;b1;S1;1;C;1;BRASILIA;DF;12/2023;105.307.092;1.713.241;107.020.333;19.410.912;126.431.244;668.681.422;490.221;0;13.225.018;32.877;0;13.748.115;75.492.251;0;757.921.788;1.900.870.079;13,89%;14,12%;16,68%;26.527.263;5,63%;8,70%
SANTANDER - PRUDENCIAL;1000080185;b1;S1;1;C;3;SAO PAULO;SP;12/2023;75.042.768;6.216.337;81.259.105;13.644.241;94.903.346;560.960.679;5.351.837;1.101.418;13.330.692;3.847.994;9.370.759;33.002.701;60.491.060;0;654.454.439;1.125.753.855;11,47%;12,42%;14,50%;22.905.905;7,22%;18,44%
BNDES - PRUDENCIAL;1000081847;b4;S2;;C;1;RIO DE JANEIRO;RJ;12/2023;157.241.495;0;157.241.495;31.607.390;188.848.885;503.917.240;11.401.360;0;1.015.490;0;1.095.559;13.512.408;81.509.041;0;598.938.689;854.052.676;26,25%;26,25%;31,53%;14.976.165;18,41%;1,06%
BTG PACTUAL - PRUDENCIAL;1000080336;b1;S1;1;C;2;RIO DE JANEIRO;RJ;12/2023;45.911.863;422.663;46.334.526;17.771.352;64.105.878;242.672.327;11.523.474;20.919.039;45.290.433;10.597.809;5.059.430;93.390.184;29.844.615;0;365.907.127;564.832.752;12,55%;12,66%;17,52%;9.147.678;8,20%;22,88%
SAFRA - PRUDENCIAL;1000080109;b1;S2;1;C;2;SAO PAULO;SP;12/2023;25.493.352;2.739.759;28.233.110;3.497.432;31.730.543;150.591.376;1.183.602;0;9.248.036;1.147.842;1.002.319;12.581.799;16.652.694;0;179.825.868;317.136.951;14,18%;15,70%;17,65%;4.495.647;8,90%;27,91%
BCO DO NORDESTE DO BRASIL S.A. - PRUDENCIAL;1000081593;b1;S2;;C;1;FORTALEZA;CE;12/2023;10.342.360;790.489;11.132.849;1.369.563;12.502.412;81.195.837;35.947;2.895;86.961;100.215;68.415;294.433;16.208.604;0;97.698.874;132.405.191;10,59%;11,40%;12,80%;2.442.472;8,41%;2,52%
NU PAGAMENTOS - PRUDENCIAL;1000084693;n1;S3;3;C;2;SAO PAULO;SP;12/2023;10.672.168;965.720;11.637.888;1.133.007;12.770.895;66.904.075;290.291;0;414.550;0;55;704.895;19.605.042;6.343.027;93.557.039;NA;11,41%;12,44%;13,65%;0;NA%;NA%
