Data;IPCA Mensal;IPCA Fator
;;1,0
12/2012;0,0079;1,0079
01/2013;0,0086;1,01656794
02/2013;0,006;1,0226673476400001
03/2013;0,0047;1,027473884173908
04/2013;0,0055;1,0331249905368645
05/2013;0,0037;1,0369475530018508
06/2013;0,0026;1,0396436166396557
07/2013;0,0003;1,0399555097246476
08/2013;0,0024;1,0424514029479868
09/2013;0,0035;1,0460999828583049
10/2013;0,0057;1,0520627527605972
11/2013;0,0054;1,0577438916255046
12/2013;0,0092;1,0674751354284593
01/2014;0,0055;1,0733462486733159
02/2014;0,0069;1,0807523377891617
03/2014;0,0092;1,090695259296822
04/2014;0,0067;1,0980029175341106
05/2014;0,0046;1,1030537309547674
06/2014;0,004;1,1074659458785865
07/2014;1e-04;1,1075766924731743
08/2014;0,0025;1,1103456342043572
09/2014;0,0057;1,116674604319322
10/2014;0,0042;1,1213646376574633
11/2014;0,0051;1,1270835973095166
12/2014;0,0078;1,135874849368531
01/2015;0,0124;1,1499596975007007
02/2015;0,0122;1,1639892058102093
03/2015;0,0132;1,179353863326904
04/2015;0,0071;1,1877272757565251
05/2015;0,0074;1,1965164575971234
06/2015;0,0079;1,2059689376121407
07/2015;0,0062;1,213445945025336
08/2015;0,0022;1,2161155261043919
09/2015;0,0054;1,2226825499453557
10/2015;0,0082;1,2327085468549077
11/2015;0,0101;1,2451589031781423
12/2015;0,0096;1,2571124286486526
01/2016;0,0127;1,2730777564924904
02/2016;0,009;1,2845354563009228
03/2016;0,0043;1,2900589587630167
04/2016;0,0061;1,2979283184114712
05/2016;0,0078;1,3080521592950807
06/2016;0,0035;1,3126303418526135
07/2016;0,0052;1,3194560196302472
08/2016;0,0044;1,3252616261166201
09/2016;0,0008;1,3263218354175133
10/2016;0,0026;1,3297702721895988
11/2016;0,0018;1,3321638586795401
12/2016;0,003;1,3361603502555786
01/2017;0,0038;1,34123775958655
02/2017;0,0033;1,3456638441931856
03/2017;0,0025;1,3490280038036686
04/2017;0,0014;1,3509166430089938
05/2017;0,0031;1,355104484602322
06/2017;-0,0023;1,3519877442877366
07/2017;0,0024;1,3552325148740272
08/2017;0,0019;1,3578074566522877
09/2017;0,0016;1,3599799485829314
10/2017;0,0042;1,3656918643669798
11/2017;0,0028;1,369515801587207
12/2017;0,0044;1,3755416711141908
01/2018;0,0029;1,379530741960422
02/2018;0,0032;1,3839452403346955
03/2018;0,0009;1,3851907910509966
04/2018;0,0022;1,3882382107913087
05/2018;0,004;1,393791163634474
06/2018;0,0126;1,4113529322962683
07/2018;0,0033;1,4160103969728461
08/2018;-0,0009;1,4147359876155705
09/2018;0,0048;1,421526720356125
10/2018;0,0045;1,4279235905977274
11/2018;-0,0021;1,4249249510574722
12/2018;0,0015;1,4270623384840584
01/2019;0,0032;1,4316289379672076
02/2019;0,0043;1,4377849424004665
03/2019;0,0075;1,4485683294684701
04/2019;0,0057;1,4568251689464404
05/2019;0,0013;1,458719041666071
06/2019;1e-04;1,4588649135702374
07/2019;0,0019;1,461636756906021
08/2019;0,0011;1,4632445573386177
09/2019;-0,0004;1,4626592595156822
10/2019;0,001;1,4641219187751977
11/2019;0,0051;1,4715889405609515
12/2019;0,0115;1,4885122133774025
01/2020;0,0021;1,491638089025495
02/2020;0,0025;1,4953671842480587
03/2020;0,0007;1,4964139412770323
04/2020;-0,0031;1,4917750580590736
05/2020;-0,0038;1,486106312838449
06/2020;0,0026;1,489970189251829
07/2020;0,0036;1,4953340819331356
08/2020;0,0024;1,498922883729775
09/2020;0,0064;1,5085159901856455
10/2020;0,0086;1,521489227701242
11/2020;0,0089;1,535030481827783
12/2020;0,0135;1,555753393332458
01/2021;0,0025;1,5596427768157892
02/2021;0,0086;1,5730557046964049
03/2021;0,0093;1,5876851227500817
04/2021;0,0031;1,592606946630607
05/2021;0,0083;1,605825584287641
06/2021;0,0053;1,6143364598843657
07/2021;0,0096;1,6298340898992556
08/2021;0,0087;1,644013646481379
09/2021;0,0116;1,6630842047805632
10/2021;0,0125;1,68387275734032
11/2021;0,0095;1,6998695485350532
12/2021;0,0073;1,7122785962393592
01/2022;0,0054;1,7215249006590518
02/2022;0,0101;1,7389123021557082
03/2022;0,0162;1,7670826814506306
04/2022;0,0106;1,7858137578740072
05/2022;0,0047;1,7942070825360148
06/2022;0,0067;1,806228269989006
07/2022;-0,0068;1,7939459177530808
08/2022;-0,0036;1,7874877124491695
09/2022;-0,0029;1,7823039980830668
10/2022;0,0059;1,7928195916717569
11/2022;0,0041;1,800170151997611
12/2022;0,0062;1,811331206939996
01/2023;0,0053;1,8209312623367782
02/2023;0,0084;1,836227084940407
03/2023;0,0071;1,849264297243484
04/2023;0,0061;1,8605448094566692
05/2023;0,0023;1,8648240625184196
06/2023;-0,0008;1,8633322032684048
07/2023;0,0012;1,865568201912327
08/2023;0,0023;1,8698590087767253
09/2023;0,0026;1,8747206421995446
10/2023;0,0024;1,8792199717408233
11/2023;0,0028;1,8844817876616975
12/2023;0,0056;1,8950348856726031
01/2024;0,0042;1,9029940321924281
02/2024;0,0083;1,9187888826596253
03/2024;0,0016;1,9218589448718808
04/2024;0,0038;1,929162008862394
05/2024;0,0046;1,9380361541031608
