Data;SELIC Mensal;SELIC Fator
;;1,0
01/2012;0,0089;1,0089
02/2012;0,0075;1,01646675
03/2012;0,0082;1,02480177735
04/2012;0,0071;1,032077869969185
05/2012;0,0074;1,039715246206957
06/2012;0,0064;1,0463694237826815
07/2012;0,0068;1,0534847358644037
08/2012;0,0069;1,060753780541868
09/2012;0,0054;1,0664818509567942
10/2012;0,0061;1,0729873902476306
11/2012;0,0055;1,0788888208939926
12/2012;0,0055;1,0848227094089096
01/2013;0,006;1,091331645665363
02/2013;0,0049;1,0966791707291232
03/2013;0,0055;1,1027109061681335
04/2013;0,0061;1,1094374426957592
05/2013;0,006;1,1160940673519337
06/2013;0,0061;1,1229022411627805
07/2013;0,0072;1,1309871372991527
08/2013;0,0071;1,1390171459739769
09/2013;0,0071;1,1471041677103921
10/2013;0,0081;1,1563957114688463
11/2013;0,0072;1,1647217605914222
12/2013;0,0079;1,1739230625000945
01/2014;0,0085;1,1839014085313453
02/2014;0,0079;1,193254229658743
03/2014;0,0077;1,2024422872271152
04/2014;0,0082;1,2123023139823776
05/2014;0,0087;1,2228493441140242
06/2014;0,0082;1,2328767087357593
07/2014;0,0095;1,2445890374687492
08/2014;0,0087;1,255416962094727
09/2014;0,0091;1,2668412564497893
10/2014;0,0095;1,2788762483860623
11/2014;0,0084;1,2896188088725051
12/2014;0,0096;1,3019991494376812
01/2015;0,0094;1,3142379414423955
02/2015;0,0082;1,325014692562223
03/2015;0,0104;1,3387948453648701
04/2015;0,0095;1,3515133963958366
05/2015;0,0099;1,3648933790201554
06/2015;0,0107;1,379497738175671
07/2015;0,0118;1,395775811486144
08/2015;0,0111;1,4112689229936404
09/2015;0,0111;1,42693400803887
10/2015;0,0111;1,4427729755281016
11/2015;0,0106;1,4580663690686995
12/2015;0,0116;1,4749799389498965
01/2016;0,0106;1,4906147263027654
02/2016;0,01;1,505520873565793
03/2016;0,0116;1,5229849156991564
04/2016;0,0106;1,5391285558055674
05/2016;0,0111;1,5562128827750095
06/2016;0,0116;1,5742649522151997
07/2016;0,0111;1,5917392931847887
08/2016;0,0122;1,611158512561643
09/2016;0,0111;1,6290423720510774
10/2016;0,0105;1,6461473169576135
11/2016;0,0104;1,6632672490539726
12/2016;0,0112;1,6818958422433772
01/2017;0,0109;1,7002285069238299
02/2017;0,0087;1,715020494934067
03/2017;0,0105;1,7330282101308747
04/2017;0,0079;1,7467191329909086
05/2017;0,0093;1,7629636209277242
06/2017;0,0081;1,7772436262572386
07/2017;0,008;1,7914615752672967
08/2017;0,008;1,805793267869435
09/2017;0,0064;1,8173503447837993
10/2017;0,0064;1,8289813869904155
11/2017;0,0057;1,839406580896261
12/2017;0,0054;1,849339376433101
01/2018;0,0058;1,860065544816413
02/2018;0,0047;1,86880785287705
03/2018;0,0053;1,8787125344972986
04/2018;0,0052;1,8884818396766847
05/2018;0,0052;1,8983019452430037
06/2018;0,0052;1,9081731153582675
07/2018;0,0054;1,9184772501812022
08/2018;0,0057;1,9294125705072351
09/2018;0,0047;1,938480809588619
10/2018;0,0054;1,9489486059603978
11/2018;0,0049;1,9584984541296035
12/2018;0,0049;1,9680950965548385
01/2019;0,0054;1,9787228100762349
02/2019;0,0049;1,9884185518456081
03/2019;0,0047;1,9977641190392823
04/2019;0,0052;2,008152492458287
05/2019;0,0054;2,018996515917562
06/2019;0,0047;2,0284857995423744
07/2019;0,0057;2,0400481685997662
08/2019;0,005;2,050248409442765
09/2019;0,0046;2,0596795521262017
10/2019;0,0048;2,069566013976407
11/2019;0,0038;2,0774303648295174
12/2019;0,0037;2,0851168571793868
01/2020;0,0038;2,0930403012366683
02/2020;0,0029;2,0991101181102545
03/2020;0,0034;2,1062470925118295
04/2020;0,0028;2,1121445843708626
