Data;SELIC Mensal;SELIC Fator
;;1,0
01/2000;0,0146;1,0146
02/2000;0,0145;1,0293116999999998
03/2000;0,0145;1,0442367196499998
04/2000;0,013;1,0578117970054497
05/2000;0,0149;1,0735731927808307
06/2000;0,0139;1,0884958601604844
07/2000;0,0131;1,1027551559285869
08/2000;0,0141;1,1183040036271799
09/2000;0,0122;1,1319473124714314
10/2000;0,0129;1,1465494328023127
11/2000;0,0122;1,1605373358825009
12/2000;0,012;1,174463783913091
01/2001;0,0127;1,189379473968787
02/2001;0,0102;1,2015111446032687
03/2001;0,0126;1,2166501850252698
04/2001;0,0119;1,2311283222270706
05/2001;0,0134;1,2476254417449135
06/2001;0,0127;1,2634702848550738
07/2001;0,015;1,2824223391279
08/2001;0,016;1,3029410965539463
09/2001;0,0132;1,3201399190284586
10/2001;0,0153;1,3403380597895942
11/2001;0,0139;1,3589687588206696
12/2001;0,0139;1,377858424568277
01/2002;0,0153;1,3989396584641718
02/2002;0,0125;1,416426404194974
03/2002;0,0137;1,435831445932445
04/2002;0,0148;1,4570817513322452
05/2002;0,0141;1,4776266040260297
06/2002;0,0133;1,4972790378595762
07/2002;0,0154;1,5203371350426138
08/2002;0,0144;1,5422299897872274
09/2002;0,0138;1,563512763646291
10/2002;0,0165;1,5893107242464548
11/2002;0,0154;1,6137861093998502
12/2002;0,0174;1,6418659877034079
01/2003;0,0197;1,6742107476611652
02/2003;0,0183;1,7048488043433645
03/2003;0,0178;1,7351951130606764
04/2003;0,0187;1,767643261674911
05/2003;0,0197;1,8024658339299067
06/2003;0,0186;1,8359916984410027
07/2003;0,0208;1,8741803257685754
08/2003;0,0177;1,9073533175346793
09/2003;0,0168;1,9393968532692618
10/2003;0,0164;1,9712029616628777
11/2003;0,0134;1,9976170813491605
12/2003;0,0137;2,024984435363644
01/2004;0,0127;2,050701737692762
02/2004;0,0108;2,072849316459844
03/2004;0,0138;2,1014546370269898
04/2004;0,0118;2,1262518017439085
05/2004;0,0123;2,1524046989053587
06/2004;0,0123;2,1788792767018945
07/2004;0,0129;2,2069868193713487
08/2004;0,0129;2,235456949341239
09/2004;0,0125;2,2634001612080046
10/2004;0,0121;2,2907873031586212
11/2004;0,0125;2,319422144448104
12/2004;0,0148;2,353749592185936
01/2005;0,0138;2,386231336558102
02/2005;0,0122;2,4153433588641104
03/2005;0,0153;2,4522981122547316
04/2005;0,0141;2,4868755156375233
